"","LastName","FirstName","DatasetID","Dataset","SpeciesName","AccSpeciesID","AccSpeciesName","ObservationID","ObsDataID","TraitID","TraitName","DataID","DataName","OriglName","OrigValueStr","OrigUnitStr","ValueKindName","OrigUncertaintyStr","UncertaintyName","Replicates","StdValue","UnitName","RelUncertaintyPercent","OrigObsDataID","ErrorRisk","Reference","Comment","StdValueStr","X"
"18","Niinemets","lo",87,"Global Leaf Robustness and Physiology Database","Quercus alba",45315,"Quercus alba",221306,2326919,NA,"",60,"Longitude","Longitude","-89.45","dec","Single","","","",-89.45,"",NA,NA,NA,"Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.","","",NA
"19","Niinemets","lo",87,"Global Leaf Robustness and Physiology Database","Quercus alba",45315,"Quercus alba",221307,2326934,NA,"",59,"Latitude","Latitude","43.55","dec","Single","","","",43.55,"",NA,NA,NA,"Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.","","",NA
"20","Niinemets","lo",87,"Global Leaf Robustness and Physiology Database","Quercus alba",45315,"Quercus alba",221307,2326935,NA,"",60,"Longitude","Longitude","-89.45","dec","Single","","","",-89.45,"",NA,NA,NA,"Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.","","",NA
"21","Niinemets","lo",87,"Global Leaf Robustness and Physiology Database","Quercus ellipsoidalis",45367,"Quercus ellipsoidalis",221308,2326950,NA,"",59,"Latitude","Latitude","43.55","dec","Single","","","",43.55,"",NA,NA,NA,"Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.","","",NA
"22","Niinemets","lo",87,"Global Leaf Robustness and Physiology Database","Quercus ellipsoidalis",45367,"Quercus ellipsoidalis",221308,2326951,NA,"",60,"Longitude","Longitude","-89.45","dec","Single","","","",-89.45,"",NA,NA,NA,"Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.","","",NA
"23","Niinemets","lo",87,"Global Leaf Robustness and Physiology Database","Quercus ellipsoidalis",45367,"Quercus ellipsoidalis",221309,2326966,NA,"",59,"Latitude","Latitude","43.55","dec","Single","","","",43.55,"",NA,NA,NA,"Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.","","",NA
"24","Niinemets","lo",87,"Global Leaf Robustness and Physiology Database","Quercus ellipsoidalis",45367,"Quercus ellipsoidalis",221309,2326967,NA,"",60,"Longitude","Longitude","-89.45","dec","Single","","","",-89.45,"",NA,NA,NA,"Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.","","",NA
"25","Niinemets","lo",87,"Global Leaf Robustness and Physiology Database","Quercus macrocarpa",45424,"Quercus macrocarpa",221310,2326982,NA,"",59,"Latitude","Latitude","43.55","dec","Single","","","",43.55,"",NA,NA,NA,"Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.","","",NA
"26","Niinemets","lo",87,"Global Leaf Robustness and Physiology Database","Quercus macrocarpa",45424,"Quercus macrocarpa",221310,2326983,NA,"",60,"Longitude","Longitude","-89.45","dec","Single","","","",-89.45,"",NA,NA,NA,"Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.","","",NA
"27","Niinemets","lo",87,"Global Leaf Robustness and Physiology Database","Quercus macrocarpa",45424,"Quercus macrocarpa",221311,2326998,NA,"",59,"Latitude","Latitude","43.55","dec","Single","","","",43.55,"",NA,NA,NA,"Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.","","",NA
"28","Niinemets","lo",87,"Global Leaf Robustness and Physiology Database","Quercus macrocarpa",45424,"Quercus macrocarpa",221311,2326999,NA,"",60,"Longitude","Longitude","-89.45","dec","Single","","","",-89.45,"",NA,NA,NA,"Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.","","",NA
