,species,family,VegMaxHeight,leafN,WDensity,leafP,LDMC,SeedDryMass,SLA,LA
41,Guatteria_eriopoda,Annonaceae,9.680549277,18.38653954,0.560918805,0.757530285,0.371963221,121.5905996,9.315367652,2841.842468
42,Guatteria_darienensis,Annonaceae,8.918668052,17.99285168,0.569901762,0.73434476,0.374110588,116.439411,9.094943386,2926.173009
43,Guatteria_cryandra,Annonaceae,9.598425536,18.7154382,0.553095341,0.788860118,0.369147558,120.6979795,9.609482495,2695.876544
44,Guatteria_blepharophylla,Annonaceae,21.48819814,20.42393878,0.594518381,0.588292587,0.374068435,530.5131669,9.210616978,9411.73401
45,Lecardia_megaphylla,Celastraceae,3.209962804,10.12045411,0.629506183,1.180864319,0.452272311,58.1969199,7.493763796,297.3719495
46,Feronia_elephantum,Rutaceae,4.133329237,9.693932693,0.53938641,1.219831938,0.438328793,33.32728996,8.997047223,643.5762368
47,Viposia_integerrima,Celastraceae,2,8.243279017,0.615176873,1.63907943,0.481060834,43.67169015,7.179595885,84.64474481
48,Vernoniopsis_caudata,Asteraceae,2,15.3886315,0.352452017,7.471448999,0.310598962,1.695508612,43.45102242,5.665978203
49,Urbananthus_critoniformis,Asteraceae,2,24.0960452,0.562398855,1.315339144,0.289638821,4.4711001,17.81086516,2664.595523
50,Salvadoropsis_arenicola,Celastraceae,2,7.030678571,0.640469285,1.649559993,0.515628822,94.75372157,6.370415034,58.80549085
51,Quelchia_cardonae,Asteraceae,2,14.96580217,0.353264503,7.471448999,0.312751931,1.515304804,42.49129821,5.665978203
52,Piptocoma_schomburgkii,Asteraceae,2,21.45359116,0.307822244,7.471448999,0.289134556,2.625427319,39.33688807,5.665978203
53,Piptocoma_samanensis,Asteraceae,2,24.23817965,0.300330888,7.471448999,0.276949127,2.916083799,43.69180634,7.24769652
54,Piptocoma_niceforoi,Asteraceae,2,23.10468224,0.308318795,7.471448999,0.282813411,2.876735946,41.20026411,7.36376635
55,Piptocoma_milleri,Asteraceae,2,23.56676656,0.316446284,7.471448999,0.280607969,2.568620829,36.34126161,12.44801205
56,Piptocoma_macrophylla,Asteraceae,2,24.63769077,0.324638483,7.471448999,0.276248545,3.063373845,37.85297344,17.13168183
57,Piptocoma_discolor,Asteraceae,2,20.23951028,0.324041027,7.471448999,0.293494522,2.266209209,38.08026833,5.665978203
58,Piptocoma_acuminata,Asteraceae,2,20.37042078,0.331359938,7.471448999,0.294374373,2.095559517,34.88992212,8.195963205
59,Oliganthes_tsaratananensis,Asteraceae,2,18.91036885,0.315282598,7.471448999,0.301995172,3.07893131,37.39383436,5.665978203
60,Oliganthes_pseudocentauropsis,Asteraceae,2,20.16972607,0.308745048,7.471448999,0.295801247,3.269640468,39.93925872,5.665978203
61,Oliganthes_meranoides,Asteraceae,2,23.42070695,0.305844025,7.471448999,0.280607969,3.647539469,44.69922568,6.130557921
62,Oliganthes_lecomtei,Asteraceae,2,18.46290351,0.310241577,7.471448999,0.301925643,2.700847108,36.90625686,5.665978203
63,Mattfeldanthus_andrade-limae,Asteraceae,2,31.84930795,0.273526873,7.471448999,0.242214423,4.680583529,83.02330159,5.665978203
64,Joseanthus_trichotomus,Asteraceae,2,16.04353256,0.346258147,7.471448999,0.322403687,2.604353905,30.06076303,5.665978203
65,Joseanthus_sparrei,Asteraceae,2,19.92507661,0.333349647,7.471448999,0.298057463,2.961419965,36.35800123,6.452083809
66,Joseanthus_cuatrecasasii,Asteraceae,2,16.90440932,0.344746607,7.471448999,0.316082171,2.761213576,31.76874071,5.665978203
67,Joseanthus_chimborazensis,Asteraceae,2,14.61167487,0.371022289,7.471448999,0.3300654,1.994802942,28.70119636,5.665978203
68,Jaramilloa_hylibates,Asteraceae,2,15.65308703,0.347216216,7.471448999,0.312248241,2.208004733,27.82274658,5.665978203
69,Jailoloa_halmaherensis,Arecaceae,34.09573053,34.13500729,0.529419581,0.41048756,0.314050869,2104.747489,10.20234487,116385.801
70,Idiopappus_saloyensis,Asteraceae,4.1514518,29.58693653,0.396825891,2.700225287,0.261396639,3.447466066,22.95620001,470.2188121
71,Grosvenoria_rimbachii,Asteraceae,2,24.74571461,0.281449188,7.471448999,0.26674728,4.410623631,65.37323852,5.665978203
72,Grosvenoria_campii,Asteraceae,2,31.47023602,0.296210194,7.471448999,0.245753663,4.496763012,59.93768983,11.9371321
73,Eurydochus_bracteatus,Asteraceae,2,23.54507076,0.293224328,7.471448999,0.271456347,4.057887476,58.23713479,5.665978203
74,Eremosis_triflosculosa,Asteraceae,2,19.69246127,0.333733651,7.471448999,0.296824674,2.740942974,37.27348497,6.217273893
75,Eremosis_shannonii,Asteraceae,2,17.61164813,0.359666509,7.471448999,0.307184996,2.169701554,34.00165058,5.91153139
76,Eremosis_leiocarpa,Asteraceae,2,16.88495859,0.362493313,7.471448999,0.310956758,2.093148303,33.41180976,5.665978203
77,Dendroviguiera_puruana,Asteraceae,2,32.51621601,0.271268896,7.471448999,0.24266101,5.899293451,84.56682001,5.665978203
78,Crossothamnus_gentryi,Asteraceae,2,26.04353905,0.283857256,7.471448999,0.260015956,3.249376236,64.26877173,5.665978203
79,Critoniella_acuminata,Asteraceae,2,21.82227378,0.286615716,7.471448999,0.276184944,3.205531139,60.72954118,5.665978203
80,Critoniadelphus_nubigenus,Asteraceae,3.459393778,35.31018557,0.358591508,3.696579068,0.244061907,4.142857545,30.64784905,364.7539469
81,Critoniadelphus_microdon,Asteraceae,3.293821045,34.74561475,0.359666509,3.739383436,0.245470892,3.96917274,30.38085556,341.2714832
82,Condylopodium_cuatrecasasii,Asteraceae,2,18.75858174,0.338220557,7.471448999,0.298744556,2.339914561,32.35191553,8.059349691
83,Brenandendron_titanophyllum,Asteraceae,5.141620281,35.45683775,0.231472819,7.471448999,0.244680861,5.112107761,61.10827157,7.634841052
84,Brenandendron_frondosum,Asteraceae,7.089245236,39.90249024,0.22156441,7.471448999,0.237410542,6.6911382,60.28371389,12.82035349
85,Brenandendron_donianum,Asteraceae,7.242691717,43.31117839,0.233829876,7.471448999,0.229350663,6.66499764,58.00961725,26.00758341
86,Berylsimpsonia_vanillosma,Asteraceae,2,26.86581377,0.28326962,7.471448999,0.257750787,3.594181463,65.41841236,5.665978203
87,Austrocritonia_angulicaulis,Asteraceae,2,14.36481377,0.3516414,7.471448999,0.32232946,2.175204034,26.33904353,5.665978203
88,Aristeguietia_discolor,Asteraceae,2,21.55261644,0.299019837,7.471448999,0.282748298,3.093143011,50.54753714,5.665978203
89,Aristeguietia_arborea,Asteraceae,2,22.11057312,0.296141997,7.471448999,0.281125344,3.198158622,50.7574739,5.665978203
90,Apodocephala_urschiana,Asteraceae,2,13.07976677,0.393822024,7.471448999,0.3547317,3.008846277,20.52579561,6.015891571
91,Apodocephala_pauciflora,Asteraceae,2,10.48080929,0.438017244,6.325299841,0.389510775,3.014223566,15.84633484,6.239657673
92,Apodocephala_oliganthoides,Asteraceae,2,13.7467489,0.388418583,7.471448999,0.348818893,3.077513736,21.66207225,6.629793477
93,Apodocephala_multiflora,Asteraceae,2,14.31528504,0.380802683,7.471448999,0.343241665,3.048596874,22.50608734,6.79360043
94,Apodocephala_coursii,Asteraceae,2,13.38751591,0.404575892,6.426877173,0.351317675,2.713938488,18.78884138,9.770122297
95,Apodocephala_begueana,Asteraceae,2,11.26678482,0.410582089,7.471448999,0.371791965,2.22638363,18.40348197,5.665978203
96,Apodocephala_angustifolia,Asteraceae,2,14.15467819,0.400959031,6.220137713,0.344905405,2.768853641,19.35530414,11.93438379
97,Amolinia_heydeana,Asteraceae,2,16.58059075,0.289067988,7.471448999,0.29744043,2.445682072,49.2379542,5.665978203
98,Acoelorrhaphe_wrightii,Arecaceae,120,60.9817664,0.558213069,0.15254571,0.269463533,5227.571722,10.50993427,128450
99,Achuaria_hirsuta,Rutaceae,4.485387826,9.451483924,0.536660956,1.231969625,0.443915184,34.76962446,8.770008211,575.9701813
100,Saribus_tothur,Arecaceae,33.27361598,38.78823338,0.566761055,0.321588122,0.296619706,871.9669013,11.05095982,128450
101,Saribus_chocolatinus,Arecaceae,55.06808828,61.31969697,0.529907419,0.270644995,0.254976409,1478.42739,15.07648153,128450
102,Pholidocarpus_kingianus,Arecaceae,120,63.38792,0.515228645,0.150591341,0.233722219,6681.900434,14.9176358,128450
103,Pholidocarpus_ihur,Arecaceae,120,63.38792,0.515703406,0.145847839,0.232113286,6810.829368,14.94858207,128450
104,Tetradia_horsfieldii,Malvaceae,4.17637993,23.63741608,0.425010833,2.884695652,0.320479312,57.57049982,23.57219364,497.0499106
105,Velaga_xylocarpa,Malvaceae,11.29795915,11.28755813,0.51677322,1.073000687,0.417637993,28.1190083,8.898155684,1067.824793
106,Tarrietia_peralata,Malvaceae,9.806183143,32.11441387,0.487079666,1.369935122,0.308816147,662.3690022,21.30100037,6756.161151
107,Tarrietia_densiflora,Malvaceae,11.03824426,28.80049817,0.497851706,1.251411092,0.319374325,640.0295121,18.50972643,5743.809135
108,Tarrietia_borneensis,Malvaceae,9.965520801,32.02580095,0.482614093,1.400876984,0.308816147,613.6206975,21.33536121,6266.138647
109,Tarrietia_albiflora,Malvaceae,11.16092012,28.58906816,0.492379542,1.317953234,0.319521436,628.492356,18.79749595,5003.800659
110,Tarrietia_utilis,Malvaceae,6.688057527,23.56965541,0.548560449,1.213938639,0.343460296,996.8887942,15.73886421,3933.283177
111,Erioxylum_palmeri,Malvaceae,10.85675407,19.1293406,0.532721224,1.198671005,0.351317675,32.06269325,13.20687295,2275.097431
112,Bombycidendron_vidalianum,Malvaceae,4.716284553,23.82868082,0.433012068,2.533961429,0.319815862,60.31148196,22.50608734,736.0375991
113,Basiloxylon_brasiliensis,Malvaceae,8.493760286,23.17928311,0.46344692,1.545610288,0.328095293,46.25940048,17.01374816,1919.994568
114,Atkinsia_cubensis,Malvaceae,10.27779616,12.4566138,0.506757284,1.104332873,0.403738346,29.98472016,9.871883011,1325.256674
115,Berberis_sanctipetrii,Berberidaceae,3.539158396,13.15830655,0.547520015,1.300169578,0.390660948,14.88332619,9.082386933,438.7326951
116,Berberis_mikuna,Berberidaceae,4.126672463,13.43692831,0.540754323,1.290327639,0.389045145,15.95511725,9.088662991,457.5093773
117,Berberis_medellinensis,Berberidaceae,3.728206849,13.30148105,0.545757861,1.287952955,0.389583002,15.26511217,9.090755974,456.6673896
118,Berberis_lobbiana,Berberidaceae,3.391563869,13.19167673,0.549161396,1.290624782,0.389493308,13.49584246,9.08657049,446.1696246
119,Berberis_iliensis,Berberidaceae,3.614930899,12.92409078,0.553350109,1.24939568,0.393912715,14.90733462,8.788201377,455.4073127
120,Berberis_hartwegii,Berberidaceae,3.438745222,13.03466878,0.555136777,1.245374589,0.391922322,14.16772114,8.86543398,472.2804844
121,Berberis_grandiflora,Berberidaceae,3.801018646,13.4307418,0.547015963,1.267068225,0.388686986,15.34616983,9.107517198,489.2152651
122,Berberis_bergeriana,Berberidaceae,3.731642237,12.90327639,0.549794005,1.264736347,0.393822024,14.36812177,8.767989075,434.9106072
123,Amyxa_pluricornis,Thymelaeaceae,3.426099725,19.06199084,0.613056377,0.814328375,0.342931355,20.47818955,12.02022335,5730.405555
124,Ochrocarpos_papuanus,Clusiaceae,8.16958508,5.12625257,0.926189813,0.468597535,0.597723045,158.8546749,3.064079294,746.1050852
125,Ochrocarpos_glaucus,Clusiaceae,8.186532683,5.372791656,0.914955559,0.486631256,0.59047294,158.2340704,3.227007688,769.6619203
126,Ochrocarpos_acuminatus,Clusiaceae,7.741052271,5.036165574,0.921509889,0.492719783,0.601727694,146.1840534,3.071849964,620.0118642
127,Xantonnea_quocensis,Rubiaceae,120,51.90390102,0.719946127,0.1,0.245640515,22.62559453,8.633760556,128450
128,Xantonnea_parvifolia,Rubiaceae,116.3054323,48.70796665,0.628637088,0.148627783,0.25269695,28.78061036,11.23828393,128450
129,Vaupesia_cataractarum,Euphorbiaceae,15.00721139,11.39724804,0.690080889,0.583310777,0.434610285,51.20354149,6.052015059,2518.836628
130,Tovomitidium_speciosum,Clusiaceae,16.01031955,5.992389026,0.801124475,0.453523713,0.55284069,173.3404821,3.445878814,1251.699273
131,Thyrsanthera_suborbicularis,Euphorbiaceae,11.59044205,7.643636049,0.775711089,0.562859499,0.495906728,30.2064717,4.443242331,1166.272405
132,Teijsmanniodendron_zainudinii,Lamiaceae,8.701617722,18.45865276,0.615318539,0.870362157,0.358591508,149.0047112,11.42615208,4604.685784
133,Teijsmanniodendron_unifoliolatum,Lamiaceae,8.623826292,17.63193597,0.617731859,0.878011087,0.363663739,149.7269576,11.02046704,3955.487351
134,Teijsmanniodendron_subspicatum,Lamiaceae,8.59607112,19.41332835,0.612773535,0.869560893,0.351884389,148.4909549,11.98119123,5367.84541
135,Teijsmanniodendron_smilacifolium,Lamiaceae,8.020473348,19.21321311,0.610379586,0.917698454,0.35318317,159.7349683,12.19551094,4645.152752
136,Teijsmanniodendron_sinclairii,Lamiaceae,8.381080267,17.69293981,0.617874113,0.887360311,0.363412616,152.5105896,11.11475771,3915.615148
137,Teijsmanniodendron_simplicioides,Lamiaceae,8.790225168,18.15515663,0.61333818,0.909075597,0.360578643,144.74381,11.49476243,4024.389433
138,Teijsmanniodendron_simplicifolium,Lamiaceae,7.284504233,17.3021471,0.645505579,0.79652608,0.36736688,139.9265093,10.59985685,4953.361223
139,Teijsmanniodendron_scaberrimum,Lamiaceae,9.388581919,18.62515947,0.603531581,0.902817565,0.35760205,141.8730809,11.59044205,4235.454299
140,Teijsmanniodendron_sarawakanum,Lamiaceae,7.957927899,19.1293406,0.615743733,0.877202781,0.35302056,137.847851,11.94813167,5066.406124
141,Teijsmanniodendron_punctatum,Lamiaceae,9.189671773,19.7696964,0.606317356,0.867760745,0.34954251,140.9613337,12.04481129,5472.679311
142,Teijsmanniodendron_pteropodum,Lamiaceae,7.807284401,17.18835334,0.663801363,0.80508967,0.376350189,406.8182501,10.86543593,5378.158174
143,Teijsmanniodendron_obscurinerve,Lamiaceae,8.584203409,18.62087137,0.617874113,0.872971368,0.356861749,135.9565076,11.57977178,4782.995805
144,Teijsmanniodendron_latiffii,Lamiaceae,9.057326009,18.28100216,0.614327561,0.855460576,0.358426408,136.9619719,11.19695673,4559.319217
145,Teijsmanniodendron_holophyllum,Lamiaceae,8.659643234,18.24274132,0.6622487,0.803083996,0.369298094,454.3229247,11.47681384,6478.659333
146,Teijsmanniodendron_hollrungii,Lamiaceae,11.67615899,24.29964898,0.533089342,1.181408252,0.32292376,156.5669171,15.99189759,4429.961991
147,Teijsmanniodendron_havilandii,Lamiaceae,8.731724006,17.51459099,0.622013771,0.847617667,0.36458601,134.8652308,10.76217377,4173.495985
148,Teijsmanniodendron_glabrum,Lamiaceae,9.240596356,19.0502202,0.608975751,0.868160456,0.354486744,139.4119494,11.6573544,4964.7799
149,Teijsmanniodendron_coriaceum,Lamiaceae,8.154550001,18.32941652,0.626327025,0.845202377,0.360086795,150.5833938,11.31458758,4960.828679
150,Teijsmanniodendron_bullatum,Lamiaceae,8.611920261,18.90601508,0.611645803,0.88328326,0.355467582,148.6620099,11.76250985,4763.212971
151,Teijsmanniodendron_bogoriense,Lamiaceae,13.60817858,26.34801946,0.521373465,1.183663382,0.313449919,152.7539499,17.01142585,5386.003129
152,Teijsmanniodendron_bintuluense,Lamiaceae,8.290867986,18.53104881,0.623160619,0.847617667,0.358426408,151.7050367,11.39462403,5031.52923
153,Teijsmanniodendron_ahernianum,Lamiaceae,6.337237742,14.44213152,0.696740949,0.704399219,0.393201914,130.8154349,8.765282062,4240.500797
154,Taonabo_japonica,Pentaphylacaceae,5.327212243,17.51987085,0.501541563,2.022862179,0.344834253,25.29249603,15.22064432,464.8354557
155,Strempeliopsis_arborea,Apocynaceae,31.71027439,63.38792,0.486407206,0.729625493,0.22156441,127.8792263,30.28307694,128450
156,Semaphyllanthe_intonsa,Rubiaceae,120,55.94998829,0.653130553,0.1,0.24054703,27.30863545,10.01843766,128450
157,Scyphiphora_hydrophylacea,Rubiaceae,120,48.85398559,0.729289566,0.1,0.246376908,13.35672548,7.908607094,128450
158,Schizocalyx_sterculioides,Rubiaceae,120,63.38792,0.553604995,0.160694125,0.206205384,41.12444027,17.03334724,128450
159,Schizocalyx_peruvianus,Rubiaceae,108.0189621,63.38792,0.529541498,0.229403479,0.20883342,41.6389721,20.10944108,128450
160,Schizocalyx_obovatus,Rubiaceae,120,63.38792,0.575704998,0.151774916,0.217070097,35.71083458,14.37805035,128450
161,Schizocalyx_multiflorus,Rubiaceae,111.8149825,63.38792,0.53542667,0.226464431,0.212324446,45.69829533,19.38652636,128450
162,Schizocalyx_cuspidatus,Rubiaceae,120,63.38792,0.549920614,0.161696269,0.203001852,42.81539943,17.77869993,128450
163,Schizocalyx_bracteosus,Rubiaceae,95.69736946,63.38792,0.537402893,0.236755458,0.21607275,38.98522096,18.6680949,128450
164,Schizocalyx_bracteosa,Rubiaceae,120,63.38792,0.555520385,0.160066335,0.20346982,40.79434834,17.58733354,128450
165,Sacleuxia_tuberosa,Apocynaceae,10.43277881,40.82253781,0.442180921,1.803848252,0.257632116,104.3277881,32.23294595,7723.248345
166,Rivea_hypocrateriformis,Convolvulaceae,32.43396173,43.77236379,0.539883432,0.520475151,0.252871567,43.88337287,17.88545529,119371.321
167,Rheedia_martinii,Clusiaceae,10.88178147,12.54007113,0.727109803,0.668651772,0.45666739,404.3896205,7.47825035,3746.277983
168,Rheedia_arubayensis,Clusiaceae,10.27306415,11.83313992,0.743019138,0.648783804,0.467412153,355.959018,6.972684264,3333.496473
169,Renistipula_galeottii,Rubiaceae,5.155846749,19.18220098,0.911491716,0.103085484,0.308500714,0.107949873,4.817437265,128450
