"spp_name","trait_name","value","unit","source","id_dfdo","comment","kind"
"Liriodendron tulipifera","SLA",28.13,"mm2 mg-1","TRY.The LEDA Traitbase","25_6584_209904"," | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Best estimate"
"Nerium oleander","SLA",15.4,"mm2 mg-1","TRY.The LEDA Traitbase","25_6584_1130563"," | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Best estimate"
"Nerium oleander","SLA",26.6,"mm2 mg-1","TRY.The LEDA Traitbase","25_6584_210318"," | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Best estimate"
"Nerium oleander","SLA",5.51,"mm2 mg-1","TRY.The LEDA Traitbase","25_6584_210319"," | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Best estimate"
"Olea europaea","SLA",4.57,"mm2 mg-1","TRY.The LEDA Traitbase","25_6584_1130685"," | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Best estimate"
"Platanus occidentalis","SLA",23.28,"mm2 mg-1","TRY.The LEDA Traitbase","25_6584_210708"," | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Best estimate"
"Populus alba","SLA",10.87,"mm2 mg-1","TRY.The LEDA Traitbase","25_6584_210851"," | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Best estimate"
"Populus alba","SLA",11.72,"mm2 mg-1","TRY.The LEDA Traitbase","25_6584_210853"," | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Best estimate"
"Populus nigra","SLA",10.07,"mm2 mg-1","TRY.The LEDA Traitbase","25_6584_210855"," | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Best estimate"
"Prunus avium","SLA",16.8,"mm2 mg-1","TRY.The LEDA Traitbase","25_6584_211001"," | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Best estimate"
"Prunus avium","SLA",10.1,"mm2 mg-1","TRY.The LEDA Traitbase","25_6584_211002"," | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Best estimate"
"Quercus ilex","SLA",5.13,"mm2 mg-1","TRY.The LEDA Traitbase","25_6584_211084"," | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Best estimate"
"Quercus petraea","SLA",8.68,"mm2 mg-1","TRY.The LEDA Traitbase","25_6584_211098"," | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Best estimate"
"Quercus robur","SLA",16.7,"mm2 mg-1","TRY.The LEDA Traitbase","25_6584_211117"," | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Best estimate"
"Quercus robur","SLA",11.3,"mm2 mg-1","TRY.The LEDA Traitbase","25_6584_1132261"," | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Best estimate"
"Quercus rubra","SLA",12.1,"mm2 mg-1","TRY.The LEDA Traitbase","25_6584_211128"," | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Best estimate"
"Quercus suber","SLA",5.7,"mm2 mg-1","TRY.The LEDA Traitbase","25_6584_211130"," | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Best estimate"
"Rhamnus cathartica","SLA",15.63,"mm2 mg-1","TRY.The LEDA Traitbase","25_6584_211252"," | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Best estimate"
"Rhamnus cathartica","SLA",11.5,"mm2 mg-1","TRY.The LEDA Traitbase","25_6584_211253"," | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Best estimate"
"Sambucus nigra","SLA",20.9,"mm2 mg-1","TRY.The LEDA Traitbase","25_6584_211595"," | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Best estimate"
"Syringa vulgaris","SLA",10.74,"mm2 mg-1","TRY.The LEDA Traitbase","25_6584_212091"," | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Best estimate"
"Tilia cordata","SLA",20.7,"mm2 mg-1","TRY.The LEDA Traitbase","25_6584_212204"," | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Best estimate"
"Vitex agnus-castus","SLA",12.01,"mm2 mg-1","TRY.The LEDA Traitbase","25_6584_212734"," | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Best estimate"
