"spp_name","trait_name","value","unit","comment","kind","source"
"Pera bumeliifolia","Leaf Dry Matter Content",0.370083736,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Pera bumeliifolia","Seed Dry Mass",21.28139046,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Pera bumeliifolia","SLA",11.53187696,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Pera bumeliifolia","Leaf area",3476.161938,NA,"Leaf area (in case of compound leaves: leaflet, petiole and rachis excluded)","imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Mallotus philippensis","Plant height (maximum)",6.013121788,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Mallotus philippensis","Leaf nitrogen concentration",16.13890117,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Mallotus philippensis","Wood Density",0.538259275,NA,"Stem specific density (SSD)","imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Mallotus philippensis","Leaf phosphorous concentration",2.196607055,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Mallotus philippensis","Leaf Dry Matter Content",0.372229697,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Mallotus philippensis","Seed Dry Mass",25.11555447,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Mallotus philippensis","SLA",16.28462816,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Mallotus philippensis","Leaf area",478.8256837,NA,"Leaf area (in case of compound leaves: leaflet, petiole and rachis excluded)","imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Mallotus tiliifolius","Plant height (maximum)",6.462491725,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Mallotus tiliifolius","Leaf nitrogen concentration",23.24877102,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Mallotus tiliifolius","Wood Density",0.574777819,NA,"Stem specific density (SSD)","imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Mallotus tiliifolius","Leaf phosphorous concentration",1.204203818,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Mallotus tiliifolius","Leaf Dry Matter Content",0.32232946,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Mallotus tiliifolius","Seed Dry Mass",18.41619904,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Mallotus tiliifolius","SLA",17.53072996,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
