"","spp_name","trait_name","value","unit","kind","source","comment"
"9318","Coccoloba coronata","nmass","24.85","mg g-1","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13676, growth form = tree"
"9319","Coccoloba coronata","lma","44.85265614","g m-2","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13676, growth form = tree"
"9320","Coccoloba coronata","plant height","16.14525937","m","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13676, growth form = tree"
"9321","Coccoloba coronata","ssd observed","0.784984076","mg mm-3","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13676, growth form = tree"
"9322","Coccoloba coronata","ssd combined","0.784984076","mg mm-3","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13676, growth form = tree"
"9323","Coccoloba densifrons","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13677, growth form = tree"
"9324","Coccoloba densifrons","leaf area","12475.9","mm2","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13677, growth form = tree"
"9325","Coccoloba densifrons","nmass","18.86488802","mg g-1","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13677, growth form = tree"
"9326","Coccoloba densifrons","lma","81.43365677","g m-2","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13677, growth form = tree"
"9327","Coccoloba densifrons","plant height","16.50963624","m","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13677, growth form = tree"
"9328","Coccoloba densifrons","ssd observed","0.628870067","mg mm-3","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13677, growth form = tree"
"9329","Coccoloba densifrons","ssd combined","0.628870067","mg mm-3","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13677, growth form = tree"
"9330","Coccoloba diversifolia","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13678, growth form = tree"
"9331","Coccoloba diversifolia","plant height","7.62","m","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13678, growth form = tree"
"9332","Coccoloba diversifolia","diaspore mass","56.12","mg","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13678, growth form = tree"
"9333","Coccoloba diversifolia","ssd observed","0.8","mg mm-3","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13678, growth form = tree"
"9334","Coccoloba diversifolia","ssd combined","0.8","mg mm-3","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13678, growth form = tree"
"9335","Coccoloba fallax","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13679, growth form = tree"
"9336","Coccoloba fallax","leaf area","55000","mm2","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13679, growth form = tree"
"9337","Coccoloba hondurensis","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13680, growth form = tree"
"9338","Coccoloba hondurensis","leaf area","4178.15","mm2","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13680, growth form = tree"
"9339","Coccoloba hondurensis","lma","103.7344398","g m-2","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13680, growth form = tree"
"9340","Coccoloba hondurensis","plant height","20","m","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13680, growth form = tree"
"9341","Coccoloba hondurensis","diaspore mass","80","mg","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13680, growth form = tree"
"9342","Coccoloba johnstonii","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 66754, growth form = tree"
"9343","Coccoloba johnstonii","ssd observed","0.684981752","mg mm-3","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 66754, growth form = tree"
"9344","Coccoloba johnstonii","ssd combined","0.684981752","mg mm-3","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 66754, growth form = tree"
"9345","Coccoloba krugii","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13681, growth form = tree"
"9346","Coccoloba krugii","leaf area","675","mm2","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13681, growth form = tree"
"9347","Coccoloba latifolia","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13682, growth form = tree"
"9348","Coccoloba latifolia","leaf area","55000","mm2","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13682, growth form = tree"
"9349","Coccoloba latifolia","ssd observed","0.58","mg mm-3","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13682, growth form = tree"
"9350","Coccoloba latifolia","ssd combined","0.58","mg mm-3","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13682, growth form = tree"
"9351","Coccoloba lehmannii","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13684, growth form = tree"
"9352","Coccoloba lehmannii","leaf area","29574.62","mm2","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13684, growth form = tree"
"9353","Coccoloba lehmannii","plant height","20","m","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13684, growth form = tree"
"9354","Coccoloba lehmannii","diaspore mass","120.1406","mg","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13684, growth form = tree"
"9355","Coccoloba lehmannii","ssd observed","0.58","mg mm-3","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13684, growth form = tree"
"9356","Coccoloba lehmannii","ssd combined","0.58","mg mm-3","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13684, growth form = tree"
"9357","Coccoloba liebmannii","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13686, growth form = tree"
"9358","Coccoloba liebmannii","lma","85.10638298","g m-2","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13686, growth form = tree"
"9359","Coccoloba manzinellensis","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13688, growth form = tree"
"9360","Coccoloba manzinellensis","leaf area","32598.86","mm2","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13688, growth form = tree"
"9361","Coccoloba manzinellensis","nmass","18.33167392","mg g-1","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13688, growth form = tree"
"9362","Coccoloba manzinellensis","lma","87.65122696","g m-2","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13688, growth form = tree"
"9363","Coccoloba manzinellensis","plant height","12.10181805","m","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13688, growth form = tree"
"9364","Coccoloba manzinellensis","diaspore mass","29.87","mg","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13688, growth form = tree"
"9365","Coccoloba manzinellensis","ssd observed","0.719930552","mg mm-3","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13688, growth form = tree"
"9366","Coccoloba manzinellensis","ssd combined","0.719930552","mg mm-3","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13688, growth form = tree"
"9367","Coccoloba microstachya","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13691, growth form = tree"
"9368","Coccoloba microstachya","nmass","7.313229214","mg g-1","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13691, growth form = tree"
"9369","Coccoloba microstachya","diaspore mass","37","mg","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13691, growth form = tree"
"9370","Coccoloba mollis","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13692, growth form = tree"
"9371","Coccoloba mollis","leaf area","15690.53","mm2","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13692, growth form = tree"
"9372","Coccoloba mollis","nmass","24.44481448","mg g-1","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13692, growth form = tree"
"9373","Coccoloba mollis","lma","66.42657547","g m-2","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13692, growth form = tree"
"9374","Coccoloba mollis","plant height","20","m","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13692, growth form = tree"
"9375","Coccoloba mollis","diaspore mass","186.48","mg","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13692, growth form = tree"
"9376","Coccoloba mollis","ssd observed","0.603787157","mg mm-3","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13692, growth form = tree"
"9377","Coccoloba mollis","ssd combined","0.603787157","mg mm-3","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13692, growth form = tree"
"9378","Coccoloba montana","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13689, growth form = tree"
"9379","Coccoloba montana","plant height","20","m","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13689, growth form = tree"
"9380","Coccoloba padiformis","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13693, growth form = tree"
"9381","Coccoloba padiformis","leaf area","9500","mm2","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13693, growth form = tree"
"9382","Coccoloba padiformis","ssd observed","0.8","mg mm-3","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13693, growth form = tree"
"9383","Coccoloba padiformis","ssd combined","0.8","mg mm-3","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13693, growth form = tree"
"9384","Coccoloba peruviana","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13695, growth form = tree"
"9385","Coccoloba peruviana","leaf area","4513.59","mm2","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13695, growth form = tree"
"9386","Coccoloba peruviana","plant height","10","m","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13695, growth form = tree"
"9387","Coccoloba pubescens","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13696, growth form = tree"
"9388","Coccoloba pubescens","plant height","18.28","m","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13696, growth form = tree"
"9389","Coccoloba pubescens","diaspore mass","56.12","mg","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13696, growth form = tree"
"9390","Coccoloba pubescens","ssd observed","1","mg mm-3","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13696, growth form = tree"
"9391","Coccoloba pubescens","ssd combined","1","mg mm-3","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13696, growth form = tree"
"9392","Coccoloba tuerckheimii","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13699, growth form = tree"
"9393","Coccoloba tuerckheimii","leaf area","46300.58","mm2","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13699, growth form = tree"
"9394","Coccoloba tuerckheimii","nmass","18.54","mg g-1","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13699, growth form = tree"
"9395","Coccoloba tuerckheimii","lma","118.9060642","g m-2","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13699, growth form = tree"
"9396","Coccoloba tuerckheimii","ssd observed","0.61","mg mm-3","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13699, growth form = tree"
"9397","Coccoloba tuerckheimii","ssd combined","0.61","mg mm-3","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13699, growth form = tree"
"9398","Coccoloba uvifera","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13700, growth form = tree"
"9399","Coccoloba uvifera","lma","86.35578584","g m-2","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13700, growth form = tree"
"9400","Coccoloba uvifera","plant height","7.62","m","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13700, growth form = tree"
"9401","Coccoloba uvifera","diaspore mass","855","mg","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13700, growth form = tree"
"9402","Coccoloba uvifera","ssd observed","0.7","mg mm-3","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13700, growth form = tree"
"9403","Coccoloba uvifera","ssd combined","0.7","mg mm-3","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13700, growth form = tree"
"9404","Coccoloba williamsii","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13702, growth form = tree"
"9405","Coccoloba williamsii","leaf area","7047.6","mm2","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13702, growth form = tree"
"9406","Cochlospermum fraseri","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13725, growth form = tree"
"9407","Cochlospermum fraseri","leaf area","8200","mm2","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13725, growth form = tree"
"9408","Cochlospermum fraseri","nmass","16.83658304","mg g-1","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13725, growth form = tree"
"9409","Cochlospermum fraseri","lma","67.73897063","g m-2","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13725, growth form = tree"
"9410","Cochlospermum fraseri","diaspore mass","38.7629","mg","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13725, growth form = tree"
"9411","Cochlospermum gillivraei","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13726, growth form = tree"
"9412","Cochlospermum gillivraei","lma","60.60606061","g m-2","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13726, growth form = tree"
"9413","Cochlospermum gillivraei","plant height","7.5","m","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13726, growth form = tree"
"9414","Cochlospermum gillivraei","diaspore mass","36.85","mg","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13726, growth form = tree"
"9415","Cochlospermum gillivraei","ssd observed","0.3","mg mm-3","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13726, growth form = tree"
"9416","Cochlospermum gillivraei","ssd combined","0.3","mg mm-3","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13726, growth form = tree"
"9417","Cochlospermum gillivraei subsp. gregorii","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 66762, growth form = tree"
"9418","Cochlospermum gillivraei subsp. gregorii","diaspore mass","45.18","mg","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 66762, growth form = tree"
"9419","Cochlospermum planchonii","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13730, growth form = tree"
"9420","Cochlospermum planchonii","leaf area","3019","mm2","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13730, growth form = tree"
"9421","Cochlospermum planchonii","nmass","15.39226486","mg g-1","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13730, growth form = tree"
"9422","Cochlospermum planchonii","lma","93.11459813","g m-2","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13730, growth form = tree"
"9423","Cochlospermum planchonii","plant height","3.872983346","m","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13730, growth form = tree"
"9424","Cochlospermum planchonii","diaspore mass","37.83","mg","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13730, growth form = tree"
"9425","Cochlospermum religiosum","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13731, growth form = tree"
"9426","Cochlospermum religiosum","diaspore mass","96.5303","mg","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13731, growth form = tree"
"9427","Cochlospermum religiosum","ssd observed","0.25","mg mm-3","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13731, growth form = tree"
"9428","Cochlospermum religiosum","ssd combined","0.25","mg mm-3","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13731, growth form = tree"
"9429","Cochlospermum tinctorium","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13733, growth form = tree"
"9430","Cochlospermum tinctorium","leaf area","3019","mm2","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13733, growth form = tree"
"9431","Cochlospermum tinctorium","plant height","4","m","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13733, growth form = tree"
"9432","Cochlospermum tinctorium","diaspore mass","24.33","mg","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13733, growth form = tree"
"9433","Cochlospermum vitifolium","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13734, growth form = tree"
"9434","Cochlospermum vitifolium","nmass","20.49326386","mg g-1","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13734, growth form = tree"
"9435","Cochlospermum vitifolium","lma","55.57255581","g m-2","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13734, growth form = tree"
"9436","Cochlospermum vitifolium","diaspore mass","25.4737","mg","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13734, growth form = tree"
"9437","Cochlospermum vitifolium","ssd observed","0.218707666","mg mm-3","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13734, growth form = tree"
"9438","Cochlospermum vitifolium","ssd combined","0.218707666","mg mm-3","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13734, growth form = tree"
"9439","Cocos nucifera","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13737, growth form = tree"
"9440","Cocos nucifera","leaf area","18166.75","mm2","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13737, growth form = tree"
"9441","Cocos nucifera","plant height","18.28","m","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13737, growth form = tree"
"9442","Cocos nucifera","diaspore mass","503988.8259","mg","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13737, growth form = tree"
"9443","Codia discolor","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13740, growth form = tree"
"9444","Codia discolor","nmass","6.745368782","mg g-1","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13740, growth form = tree"
"9445","Codia discolor","lma","266.6666667","g m-2","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13740, growth form = tree"
"9446","Codonocarpus attenuatus","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13751, growth form = tree"
"9447","Codonocarpus attenuatus","ssd observed","0.319680671","mg mm-3","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13751, growth form = tree"
"9448","Codonocarpus attenuatus","ssd combined","0.319680671","mg mm-3","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13751, growth form = tree"
"9449","Codonocarpus cotinifolius","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13752, growth form = tree"
"9450","Codonocarpus cotinifolius","leaf area","350","mm2","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13752, growth form = tree"
"9451","Codonocarpus cotinifolius","lma","165.8374793","g m-2","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13752, growth form = tree"
"9452","Codonocarpus cotinifolius","plant height","10","m","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13752, growth form = tree"
"9453","Codonocarpus cotinifolius","diaspore mass","2.9765","mg","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13752, growth form = tree"
"9454","Codonocarpus cotinifolius","ssd observed","0.37","mg mm-3","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13752, growth form = tree"
"9455","Codonocarpus cotinifolius","ssd combined","0.37","mg mm-3","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13752, growth form = tree"
"9456","Coelocaryon klainei","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13774, growth form = tree"
"9457","Coelocaryon klainei","ssd observed","0.53","mg mm-3","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13774, growth form = tree"
"9458","Coelocaryon klainei","ssd combined","0.53","mg mm-3","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13774, growth form = tree"
"9459","Coelocaryon oxycarpum","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13775, growth form = tree"
"9460","Coelocaryon oxycarpum","ssd observed","0.446491231","mg mm-3","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13775, growth form = tree"
"9461","Coelocaryon oxycarpum","ssd combined","0.446491231","mg mm-3","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13775, growth form = tree"
"9462","Coelocaryon preussii","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13776, growth form = tree"
"9463","Coelocaryon preussii","leaf area","9050","mm2","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13776, growth form = tree"
"9464","Coelocaryon preussii","plant height","7.071067812","m","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13776, growth form = tree"
"9465","Coelocaryon preussii","ssd observed","0.485776111","mg mm-3","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13776, growth form = tree"
"9466","Coelocaryon preussii","ssd combined","0.485776111","mg mm-3","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13776, growth form = tree"
"9467","Coelostegia borneensis","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13808, growth form = tree"
"9468","Coelostegia borneensis","ssd observed","0.58","mg mm-3","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13808, growth form = tree"
"9469","Coelostegia borneensis","ssd combined","0.58","mg mm-3","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13808, growth form = tree"
"9470","Coelostegia griffithii","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13807, growth form = tree"
"9471","Coelostegia griffithii","leaf area","1653.34","mm2","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13807, growth form = tree"
"9472","Coelostegia griffithii","nmass","14.26","mg g-1","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13807, growth form = tree"
"9473","Coelostegia griffithii","lma","78.18608288","g m-2","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13807, growth form = tree"
"9474","Coelostegia griffithii","ssd observed","0.586304586","mg mm-3","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13807, growth form = tree"
"9475","Coelostegia griffithii","ssd combined","0.586304586","mg mm-3","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13807, growth form = tree"
"9476","Coffea racemosa","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13823, growth form = tree"
"9477","Coffea racemosa","diaspore mass","41.7","mg","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13823, growth form = tree"
"9478","Cojoba arborea","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13844, growth form = tree"
"9479","Cojoba arborea","plant height","20.65187643","m","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13844, growth form = tree"
"9480","Cojoba arborea","diaspore mass","467.6772","mg","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13844, growth form = tree"
"9481","Cojoba arborea","ssd observed","0.687562866","mg mm-3","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13844, growth form = tree"
"9482","Cojoba arborea","ssd combined","0.687562866","mg mm-3","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13844, growth form = tree"
"9483","Cojoba catenata","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13845, growth form = tree"
"9484","Cojoba catenata","leaf area","16041.11","mm2","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13845, growth form = tree"
"9485","Cojoba rufescens","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13846, growth form = tree"
"9486","Cojoba rufescens","leaf area","2486.62","mm2","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13846, growth form = tree"
"9487","Cojoba rufescens","nmass","26.61570787","mg g-1","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13846, growth form = tree"
"9488","Cojoba rufescens","lma","64.11994323","g m-2","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13846, growth form = tree"
"9489","Cojoba rufescens","plant height","10.22577136","m","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13846, growth form = tree"
"9490","Cojoba rufescens","diaspore mass","236.19","mg","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13846, growth form = tree"
"9491","Cojoba rufescens","ssd observed","0.674981481","mg mm-3","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13846, growth form = tree"
"9492","Cojoba rufescens","ssd combined","0.674981481","mg mm-3","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13846, growth form = tree"
"9493","Cola acuminata","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13848, growth form = tree"
"9494","Cola acuminata","leaf area","5330.14","mm2","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13848, growth form = tree"
"9495","Cola acuminata","diaspore mass","20000","mg","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13848, growth form = tree"
"9496","Cola acuminata","ssd observed","0.503311355","mg mm-3","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13848, growth form = tree"
"9497","Cola acuminata","ssd combined","0.503311355","mg mm-3","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13848, growth form = tree"
"9498","Cola caricifolia","leaf area","27879.91","mm2","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 79262, growth form = tree"
"9499","Cola caricifolia","nmass","31.70302227","mg g-1","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 79262, growth form = tree"
"9500","Cola caricifolia","lma","64.98108271","g m-2","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 79262, growth form = tree"
"9501","Cola chlamydantha","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 12416, growth form = tree"
"9502","Cola chlamydantha","leaf area","9050","mm2","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 12416, growth form = tree"
"9503","Cola chlamydantha","plant height","20","m","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 12416, growth form = tree"
"9504","Cola cordifolia","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13853, growth form = tree"
"9505","Cola cordifolia","ssd observed","0.52","mg mm-3","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13853, growth form = tree"
"9506","Cola cordifolia","ssd combined","0.52","mg mm-3","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13853, growth form = tree"
"9507","Cola discoglypremnophylla","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 13854, growth form = tree"
