"","spp_name","trait_name","value","unit","kind","source","comment"
"46","Acacia albicorticata","ssd observed","0.49","mg mm-3","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 157, growth form = tree"
"47","Acacia albicorticata","ssd combined","0.49","mg mm-3","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 157, growth form = tree"
"48","Acacia alleniana","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 159, growth form = tree"
"49","Acacia alleniana","ssd observed","0.55","mg mm-3","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 159, growth form = tree"
"50","Acacia alleniana","ssd combined","0.55","mg mm-3","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 159, growth form = tree"
"51","Acacia allenii","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 160, growth form = tree"
"52","Acacia allenii","diaspore mass","22.7","mg","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 160, growth form = tree"
"53","Acacia amabilis","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 162, growth form = tree"
"54","Acacia amabilis","diaspore mass","181.81","mg","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 162, growth form = tree"
"55","Acacia ammobia","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 163, growth form = tree"
"56","Acacia ammobia","diaspore mass","8.1069","mg","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 163, growth form = tree"
"57","Acacia amoena","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 164, growth form = tree"
"58","Acacia amoena","diaspore mass","6.9613","mg","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 164, growth form = tree"
"59","Acacia ampliceps","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 165, growth form = tree"
"60","Acacia ampliceps","diaspore mass","26.5","mg","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 165, growth form = tree"
"61","Acacia ampliceps","ssd observed","0.56","mg mm-3","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 165, growth form = tree"
"62","Acacia ampliceps","ssd combined","0.56","mg mm-3","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 165, growth form = tree"
"63","Acacia amythethophylla","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 166, growth form = tree"
"64","Acacia amythethophylla","plant height","5.477225575","m","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 166, growth form = tree"
"65","Acacia amythethophylla","diaspore mass","103.3023","mg","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 166, growth form = tree"
"66","Acacia amythethophylla","ssd observed","1","mg mm-3","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 166, growth form = tree"
"67","Acacia amythethophylla","ssd combined","1","mg mm-3","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 166, growth form = tree"
"68","Acacia ancistrocarpa","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 167, growth form = tree"
"69","Acacia ancistrocarpa","diaspore mass","41.9543","mg","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 167, growth form = tree"
"70","Acacia anegadensis","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 168, growth form = tree"
"71","Acacia anegadensis","diaspore mass","19.83","mg","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 168, growth form = tree"
"72","Acacia anfractuosa","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 170, growth form = tree"
"73","Acacia anfractuosa","diaspore mass","3.75","mg","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 170, growth form = tree"
"74","Acacia angustissima","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 171, growth form = tree"
