"","spp_name","trait_name","value","unit","kind","source","comment"
"8170","Sporobolus maximus","seed dispersal category","Hydrochory",NA,"TRY data","Jin et al. (2016) | Ecological Flora of the British Isles",NA
"8171","Sporobolus metallicola","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Species able to reproduce after fire in a Brazilian Savanna",NA
"8172","Sporobolus mitchellii","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
"8173","Sporobolus natalensis","seed dispersal category","Autochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
"8174","Sporobolus neglectus","seed dispersal category","Autochory",NA,"TRY data","Jin et al. (2016) | Seed dispersal distance classes and dispersal modes for the European flora",NA
"8175","Sporobolus partimpatens","seed dispersal category","Autochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
"8176","Sporobolus piliferus","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Species able to reproduce after fire in a Brazilian Savanna",NA
"8177","Sporobolus pseudairoides","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Species able to reproduce after fire in a Brazilian Savanna",NA
"8178","Sporobolus pulchellus","seed dispersal category","Autochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
"8179","Sporobolus purpurascens","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Species able to reproduce after fire in a Brazilian Savanna",NA
"8180","Sporobolus pyramidalis","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
"8181","Sporobolus pyramidatus","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Species able to reproduce after fire in a Brazilian Savanna",NA
"8182","Sporobolus recurvatus","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Species able to reproduce after fire in a Brazilian Savanna",NA
"8183","Sporobolus scabridus","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
"8184","Sporobolus sessilis","seed dispersal category","Autochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
"8185","Sporobolus tenuissimus","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Species able to reproduce after fire in a Brazilian Savanna",NA
"8186","Sporobolus vaginiflorus","seed dispersal category","Autochory",NA,"TRY data","Jin et al. (2016) | Seed dispersal distance classes and dispersal modes for the European flora",NA
"8187","Sporobolus virginicus","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
"8188","Steinchisma decipiens","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Species able to reproduce after fire in a Brazilian Savanna",NA
"8189","Steinchisma hians","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Species able to reproduce after fire in a Brazilian Savanna",NA
"8190","Steinchisma laxum","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Species able to reproduce after fire in a Brazilian Savanna",NA
"8191","Steinchisma stenophyllum","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Species able to reproduce after fire in a Brazilian Savanna",NA
"8192","Stenotaphrum micranthum","seed dispersal category","Anemochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
"8193","Stenotaphrum secundatum","seed dispersal category","Anemochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
"8194","Stephanachne nigrescens","seed dispersal category","Anemochory",NA,"TRY data","Jin et al. (2016) | Disentangling ecological, allometric and evolutionary determinants of the relationship between seed mass and elevation: insights from multiple analyses of 1355 angiosperm species on the eastern Tibetan Plateau",NA
"8195","Stipa adoxa","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Seed dispersal distance classes and dispersal modes for the European flora",NA
"8196","Stipa aliena","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Disentangling ecological, allometric and evolutionary determinants of the relationship between seed mass and elevation: insights from multiple analyses of 1355 angiosperm species on the eastern Tibetan Plateau",NA
"8197","Stipa annua","seed dispersal category","Anemochory",NA,"TRY data","Jin et al. (2016) | Seed dispersal distance classes and dispersal modes for the European flora",NA
"8198","Stipa arabica","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Seed dispersal distance classes and dispersal modes for the European flora",NA
"8199","Austrostipa aristiglumis","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
"8200","Stipa asperella","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Seed dispersal distance classes and dispersal modes for the European flora",NA
"8201","Stipa atlantica","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Seed dispersal distance classes and dispersal modes for the European flora",NA
"8202","Stipa austroitalica","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Seed dispersal distance classes and dispersal modes for the European flora",NA
"8203","Stipa baicalensis","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Disentangling ecological, allometric and evolutionary determinants of the relationship between seed mass and elevation: insights from multiple analyses of 1355 angiosperm species on the eastern Tibetan Plateau",NA
"8204","Stipa barbata","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Seed dispersal distance classes and dispersal modes for the European flora",NA
"8205","Austrostipa bigeniculata","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
"8206","Austrostipa blackii","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
"8207","Stipa borysthenica","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Seed dispersal distance classes and dispersal modes for the European flora",NA
"8208","Stipa breviflora","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Disentangling ecological, allometric and evolutionary determinants of the relationship between seed mass and elevation: insights from multiple analyses of 1355 angiosperm species on the eastern Tibetan Plateau",NA
"8209","Austrostipa breviglumis","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
"8210","Achnatherum bromoides","seed dispersal category","Anemochory",NA,"TRY data","Jin et al. (2016) | Plant Traits from Circeo National Park, Italy",NA
"8211","Stipa bungeana","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Disentangling ecological, allometric and evolutionary determinants of the relationship between seed mass and elevation: insights from multiple analyses of 1355 angiosperm species on the eastern Tibetan Plateau",NA
"8212","Achnatherum calamagrostis","seed dispersal category","Anemochory",NA,"TRY data","Jin et al. (2016) | EuDiS - A comprehensive database of the seed dispersal syndromes of the European flora",NA
"8213","Stipa dregeana","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Seed dispersal distance classes and dispersal modes for the European flora",NA
"8214","Stipa capillacea","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Disentangling ecological, allometric and evolutionary determinants of the relationship between seed mass and elevation: insights from multiple analyses of 1355 angiosperm species on the eastern Tibetan Plateau",NA
"8215","Stipa capillata","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Seed dispersal distance classes and dispersal modes for the European flora",NA
"8216","Stipa caucasica","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Seed dispersal distance classes and dispersal modes for the European flora",NA
"8217","Stipa chingii","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Disentangling ecological, allometric and evolutionary determinants of the relationship between seed mass and elevation: insights from multiple analyses of 1355 angiosperm species on the eastern Tibetan Plateau",NA
"8218","Ptilagrostis concinna","seed dispersal category","Anemochory",NA,"TRY data","Jin et al. (2016) | Disentangling ecological, allometric and evolutionary determinants of the relationship between seed mass and elevation: insights from multiple analyses of 1355 angiosperm species on the eastern Tibetan Plateau",NA
"8219","Eriocoma coronata","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | KEW Seed Information Database (SID)",NA
"8220","Austrostipa curticoma","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
"8221","Stipa daghestanica","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Seed dispersal distance classes and dispersal modes for the European flora",NA
"8222","Stipa pennata","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Seed dispersal distance classes and dispersal modes for the European flora",NA
"8223","Stipa dasyphylla","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | The LEDA Traitbase",NA
"8224","Stipa dasyvaginata","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Seed dispersal distance classes and dispersal modes for the European flora",NA
"8225","Austrostipa densiflora","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
"8226","Austrostipa dongicola","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
"8227","Austrostipa drummondii","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
"8228","Austrostipa echinata","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
"8229","Stipa ehrenbergiana","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Seed dispersal distance classes and dispersal modes for the European flora",NA
"8230","Austrostipa elegantissima","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
"8231","Stipa endotricha","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Seed dispersal distance classes and dispersal modes for the European flora",NA
"8232","Austrostipa eremophila","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
"8233","Austrostipa exilis","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
"8234","Austrostipa flavescens","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
"8235","Austrostipa gibbosa","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
"8236","Celtica gigantea","seed dispersal category","Autochory",NA,"TRY data","Jin et al. (2016) | Seed dispersal distance classes and dispersal modes for the European flora",NA
"8237","Stipa grandis","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Disentangling ecological, allometric and evolutionary determinants of the relationship between seed mass and elevation: insights from multiple analyses of 1355 angiosperm species on the eastern Tibetan Plateau",NA
"8238","Austrostipa hemipogon","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
"8239","Stipa holosericea","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Seed dispersal distance classes and dispersal modes for the European flora",NA
"8240","Stipa iberica","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Seed dispersal distance classes and dispersal modes for the European flora",NA
"8241","Achnatherum inebrians","seed dispersal category","Autochory",NA,"TRY data","Jin et al. (2016) | Disentangling ecological, allometric and evolutionary determinants of the relationship between seed mass and elevation: insights from multiple analyses of 1355 angiosperm species on the eastern Tibetan Plateau",NA
"8242","Stipa juncea","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Seed dispersal distance classes and dispersal modes for the European flora",NA
"8243","Stipa korshinskyi","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Seed dispersal distance classes and dispersal modes for the European flora",NA
"8244","Stipa krylovii","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Disentangling ecological, allometric and evolutionary determinants of the relationship between seed mass and elevation: insights from multiple analyses of 1355 angiosperm species on the eastern Tibetan Plateau",NA
"8245","Stipa lagascae","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Seed dispersal distance classes and dispersal modes for the European flora",NA
"8246","Austrostipa lanata","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
"8247","Stipa lessingiana","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Seed dispersal distance classes and dispersal modes for the European flora",NA
"8248","Stipa letourneuxii","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Seed dispersal distance classes and dispersal modes for the European flora",NA
"8249","Austrostipa macalpinei","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
"8250","Stipa mayeri","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Seed dispersal distance classes and dispersal modes for the European flora",NA
"8251","Austrostipa metatoris","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
"8252","Austrostipa muelleri","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
"8253","Austrostipa multispiculis","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
"8254","Austrostipa mundula","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
"8255","Austrostipa nitida","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
"8256","Austrostipa nivicola","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
"8257","Austrostipa nodosa","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
"8258","Stipa novakii","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Seed dispersal distance classes and dispersal modes for the European flora",NA
"8259","Austrostipa oligostachya","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
"8260","Achnatherum parviflorum","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Seed dispersal distance classes and dispersal modes for the European flora",NA
"8261","Achnatherum pekinense","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Disentangling ecological, allometric and evolutionary determinants of the relationship between seed mass and elevation: insights from multiple analyses of 1355 angiosperm species on the eastern Tibetan Plateau",NA
"8262","Austrostipa petraea","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
"8263","Austrostipa pilata","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
"8264","Austrostipa platychaeta","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
"8265","Austrostipa plumigera","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
"8266","Stipa przewalskyi","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Disentangling ecological, allometric and evolutionary determinants of the relationship between seed mass and elevation: insights from multiple analyses of 1355 angiosperm species on the eastern Tibetan Plateau",NA
"8267","Austrostipa puberula","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
"8268","Austrostipa pubescens","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
"8269","Austrostipa pubinodis","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
"8270","Stipa pulcherrima","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Seed dispersal distance classes and dispersal modes for the European flora",NA
"8271","Stipa purpurea","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Disentangling ecological, allometric and evolutionary determinants of the relationship between seed mass and elevation: insights from multiple analyses of 1355 angiosperm species on the eastern Tibetan Plateau",NA
"8272","Austrostipa ramosissima","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
"8273","Stipa rechingeri","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Seed dispersal distance classes and dispersal modes for the European flora",NA
"8274","Stipa regeliana","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Disentangling ecological, allometric and evolutionary determinants of the relationship between seed mass and elevation: insights from multiple analyses of 1355 angiosperm species on the eastern Tibetan Plateau",NA
"8275","Austrostipa rudis","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
"8276","Stipa sareptana","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Seed dispersal distance classes and dispersal modes for the European flora",NA
"8277","Austrostipa scabra","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
"8278","Austrostipa semibarbata","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
"8279","Austrostipa setacea","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
"8280","Achnatherum sibiricum","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Disentangling ecological, allometric and evolutionary determinants of the relationship between seed mass and elevation: insights from multiple analyses of 1355 angiosperm species on the eastern Tibetan Plateau",NA
"8281","Neotrinia splendens","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Disentangling ecological, allometric and evolutionary determinants of the relationship between seed mass and elevation: insights from multiple analyses of 1355 angiosperm species on the eastern Tibetan Plateau",NA
"8282","Austrostipa stipoides","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
"8283","Austrostipa stuposa","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
"8284","Austrostipa tenuifolia","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
"8285","Stipa tianschanica","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Disentangling ecological, allometric and evolutionary determinants of the relationship between seed mass and elevation: insights from multiple analyses of 1355 angiosperm species on the eastern Tibetan Plateau",NA
"8286","Stipa tirsa","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | The LEDA Traitbase",NA
"8287","Stipa transcarpatica","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Seed dispersal distance classes and dispersal modes for the European flora",NA
"8288","Austrostipa trichophylla","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
"8289","Austrostipa tuckeri","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | New South Wales Plant Traits Database",NA
"8290","Austrostipa variabilis","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | New South Wales Plant Traits Database",NA
"8291","Austrostipa velutina","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
"8292","Austrostipa verticillata","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
"8293","Austrostipa vickeryana","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
"8294","Austrostipa wakoolica","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
"8295","Stipa zalesskii","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Seed dispersal distance classes and dispersal modes for the European flora",NA
"8296","Stipagrostis obtusa","seed dispersal category","Anemochory",NA,"TRY data","Jin et al. (2016) | KEW Seed Information Database (SID)",NA
"8297","Koordersiochloa longiarista","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | KEW Seed Information Database (SID)",NA
"8298","Streptogyna americana","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | KEW Seed Information Database (SID)",NA
"8299","Oncorachis macrantha","seed dispersal category","Autochory",NA,"TRY data","Jin et al. (2016) | Species able to reproduce after fire in a Brazilian Savanna",NA
"8300","Oncorachis ramosa","seed dispersal category","Autochory",NA,"TRY data","Jin et al. (2016) | Species able to reproduce after fire in a Brazilian Savanna",NA
"8301","Taeniatherum caput-medusae","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | The LEDA Traitbase",NA
"8302","Tetrarrhena turfosa","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
"8303","Thaumastochloa brassii","seed dispersal category","Anemochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
"8304","Thaumastochloa heteromorpha","seed dispersal category","Anemochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
"8305","Thaumastochloa major","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
"8306","Thaumastochloa monilifera","seed dispersal category","Anemochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
"8307","Thaumastochloa pubescens","seed dispersal category","Anemochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
"8308","Thaumastochloa rariflora","seed dispersal category","Anemochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
"8309","Themeda arguens","seed dispersal category","Anemochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
"8310","Themeda avenacea","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
"8311","Themeda intermedia","seed dispersal category","Anemochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
"8312","Themeda quadrivalvis","seed dispersal category","Anemochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
"8313","Themeda triandra","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | KEW Seed Information Database (SID)",NA
"8314","Paspalum auricomum","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Species able to reproduce after fire in a Brazilian Savanna",NA
"8315","Paspalum glaziovii","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Species able to reproduce after fire in a Brazilian Savanna",NA
"8316","Paspalum oreophilum","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Species able to reproduce after fire in a Brazilian Savanna",NA
"8317","Paspalum foliiforme","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Species able to reproduce after fire in a Brazilian Savanna",NA
"8318","Paspalum robustum","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Species able to reproduce after fire in a Brazilian Savanna",NA
"8319","Paspalum schumannii","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Species able to reproduce after fire in a Brazilian Savanna",NA
"8320","Paspalum thrasyoides","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Species able to reproduce after fire in a Brazilian Savanna",NA
"8321","Paspalum trinitense","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Species able to reproduce after fire in a Brazilian Savanna",NA
"8322","Thyridolepis mitchelliana","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
"8323","Thyridolepis multiculmis","seed dispersal category","Anemochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
"8324","Thyridolepis xerophila","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
"8325","Trachypogon macroglossus","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Species able to reproduce after fire in a Brazilian Savanna",NA
"8326","Trachypogon vestitus","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Species able to reproduce after fire in a Brazilian Savanna",NA
"8327","Tragus australianus","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | KEW Seed Information Database (SID)",NA
"8328","Tragus berteronianus","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | KEW Seed Information Database (SID)",NA
"8329","Tragus racemosus","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | KEW Seed Information Database (SID)",NA
"8330","Tribolium acutiflorum","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
"8331","Tricholaena teneriffae","seed dispersal category","Anemochory",NA,"TRY data","Jin et al. (2016) | EuDiS - A comprehensive database of the seed dispersal syndromes of the European flora",NA
"8332","Trichoneura ciliata","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Species able to reproduce after fire in a Brazilian Savanna",NA
"8333","Tridens flaccidus","seed dispersal category","Autochory",NA,"TRY data","Jin et al. (2016) | Species able to reproduce after fire in a Brazilian Savanna",NA
"8334","Tridens flavus","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Ozark glade grassland plants",NA
"8335","Triodia basedowii","seed dispersal category","Anemochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
"8336","Triodia bitextura","seed dispersal category","Anemochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
"8337","Triodia brizoides","seed dispersal category","Anemochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
"8338","Triodia scariosa","seed dispersal category","Anemochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
"8339","Triodia claytonii","seed dispersal category","Anemochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
"8340","Triodia compacta","seed dispersal category","Anemochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
"8341","Triodia concinna","seed dispersal category","Anemochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
"8342","Triodia helmsii","seed dispersal category","Anemochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
"8343","Triodia irritans","seed dispersal category","Anemochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
"8344","Triodia lanata","seed dispersal category","Anemochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
"8345","Triodia lanigera","seed dispersal category","Anemochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
"8346","Triodia longiceps","seed dispersal category","Anemochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
"8347","Triodia marginata","seed dispersal category","Anemochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
