"","spp_name","trait_name","value","unit_name","source","id_dfdo","comment","kind"
"23","Fagus sylvatica","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",9.77,"mm2 mg-1","TRY.The LEDA Traitbase","25_6584_208947"," | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Best estimate"
"24","Fagus sylvatica","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",22.1,"mm2 mg-1","TRY.The LEDA Traitbase","25_6584_208955"," | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Best estimate"
"25","Ficus carica","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",12.09,"mm2 mg-1","TRY.The LEDA Traitbase","25_6584_209007"," | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Best estimate"
"26","Fraxinus angustifolia","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",10.7,"mm2 mg-1","TRY.The LEDA Traitbase","25_6584_209049"," | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Best estimate"
"27","Fraxinus angustifolia","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",13.36,"mm2 mg-1","TRY.The LEDA Traitbase","25_6584_1127894"," | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Best estimate"
"28","Fraxinus angustifolia","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",8.85,"mm2 mg-1","TRY.The LEDA Traitbase","25_6584_209053"," | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Best estimate"
"29","Fraxinus angustifolia","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",18.6,"mm2 mg-1","TRY.The LEDA Traitbase","25_6584_209054"," | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Best estimate"
"30","Fraxinus excelsior","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",11.8,"mm2 mg-1","TRY.The LEDA Traitbase","25_6584_209057"," | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Best estimate"
"31","Fraxinus pennsylvanica","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",22.7,"mm2 mg-1","TRY.The LEDA Traitbase","25_6584_209067"," | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Best estimate"
"32","Ilex aquifolium","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",4.6,"mm2 mg-1","TRY.The LEDA Traitbase","25_6584_209547"," | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Best estimate"
"33","Liriodendron tulipifera","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",28.13,"mm2 mg-1","TRY.The LEDA Traitbase","25_6584_209904"," | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Best estimate"
"34","Nerium oleander","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",15.4,"mm2 mg-1","TRY.The LEDA Traitbase","25_6584_1130563"," | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Best estimate"
"35","Nerium oleander","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",26.6,"mm2 mg-1","TRY.The LEDA Traitbase","25_6584_210318"," | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Best estimate"
"36","Nerium oleander","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",5.51,"mm2 mg-1","TRY.The LEDA Traitbase","25_6584_210319"," | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Best estimate"
"37","Olea europaea","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",4.57,"mm2 mg-1","TRY.The LEDA Traitbase","25_6584_1130685"," | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Best estimate"
"38","Platanus occidentalis","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",23.28,"mm2 mg-1","TRY.The LEDA Traitbase","25_6584_210708"," | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Best estimate"
"39","Populus alba","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",10.87,"mm2 mg-1","TRY.The LEDA Traitbase","25_6584_210851"," | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Best estimate"
"40","Populus alba","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",11.72,"mm2 mg-1","TRY.The LEDA Traitbase","25_6584_210853"," | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Best estimate"
"41","Populus nigra","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",10.07,"mm2 mg-1","TRY.The LEDA Traitbase","25_6584_210855"," | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Best estimate"
"42","Prunus avium","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",16.8,"mm2 mg-1","TRY.The LEDA Traitbase","25_6584_211001"," | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Best estimate"
"43","Prunus avium","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",10.1,"mm2 mg-1","TRY.The LEDA Traitbase","25_6584_211002"," | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Best estimate"
"44","Quercus ilex","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",5.13,"mm2 mg-1","TRY.The LEDA Traitbase","25_6584_211084"," | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Best estimate"
"45","Quercus petraea","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",8.68,"mm2 mg-1","TRY.The LEDA Traitbase","25_6584_211098"," | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Best estimate"
"46","Quercus robur","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",16.7,"mm2 mg-1","TRY.The LEDA Traitbase","25_6584_211117"," | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Best estimate"
"47","Quercus robur","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",11.3,"mm2 mg-1","TRY.The LEDA Traitbase","25_6584_1132261"," | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Best estimate"
"48","Quercus rubra","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",12.1,"mm2 mg-1","TRY.The LEDA Traitbase","25_6584_211128"," | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Best estimate"
"49","Quercus suber","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",5.7,"mm2 mg-1","TRY.The LEDA Traitbase","25_6584_211130"," | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Best estimate"
"50","Rhamnus cathartica","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",15.63,"mm2 mg-1","TRY.The LEDA Traitbase","25_6584_211252"," | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Best estimate"
