Iteration	Posterior	Likelihood	Prior	interval_times[1]	interval_times[2]	interval_times[3]	interval_times[4]	interval_times[5]	interval_times[6]	interval_times[7]	interval_times[8]	interval_times[9]
Iteration	Posterior	Likelihood	Prior	interval_times[1]	interval_times[2]	interval_times[3]	interval_times[4]	interval_times[5]	interval_times[6]	interval_times[7]	interval_times[8]	interval_times[9]
260	-1573.965	-1625.123	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
270	-1574.364	-1625.521	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
270	-1574.364	-1625.521	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
280	-1574.265	-1625.423	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
280	-1574.265	-1625.423	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
290	-1574.501	-1625.659	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
290	-1574.501	-1625.659	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
300	-1573.913	-1625.071	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
300	-1573.913	-1625.071	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
310	-1574.02	-1625.177	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
310	-1574.02	-1625.177	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
320	-1574.426	-1625.584	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
320	-1574.426	-1625.584	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
330	-1575.411	-1626.569	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
330	-1575.411	-1626.569	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
340	-1573.933	-1625.091	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
340	-1573.933	-1625.091	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
350	-1574.64	-1625.798	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
350	-1574.64	-1625.798	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
360	-1573.929	-1625.086	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
360	-1573.929	-1625.086	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
370	-1573.969	-1625.126	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
370	-1573.969	-1625.126	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
380	-1574.766	-1625.924	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
380	-1574.766	-1625.924	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
390	-1573.983	-1625.141	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
