Iteration	Replicate_ID	Posterior	Likelihood	Prior	delta_log_lambda[1]	delta_log_lambda[2]	delta_log_lambda[3]	delta_log_lambda[4]	delta_log_lambda[5]	delta_log_lambda[6]	delta_log_lambda[7]	delta_log_lambda[8]	delta_log_lambda[9]	delta_log_mu[1]	delta_log_mu[2]	delta_log_mu[3]	delta_log_mu[4]	delta_log_mu[5]	delta_log_mu[6]	delta_log_mu[7]	delta_log_mu[8]	delta_log_mu[9]	lambda[1]	lambda[2]	lambda[3]	lambda[4]	lambda[5]	lambda[6]	lambda[7]	lambda[8]	lambda[9]	lambda[10]	lambda_global_scale	log_lambda_at_present	log_mu_at_present	mu[1]	mu[2]	mu[3]	mu[4]	mu[5]	mu[6]	mu[7]	mu[8]	mu[9]	mu[10]	mu_global_scale	sigma_lambda[1]	sigma_lambda[2]	sigma_lambda[3]	sigma_lambda[4]	sigma_lambda[5]	sigma_lambda[6]	sigma_lambda[7]	sigma_lambda[8]	sigma_lambda[9]	sigma_mu[1]	sigma_mu[2]	sigma_mu[3]	sigma_mu[4]	sigma_mu[5]	sigma_mu[6]	sigma_mu[7]	sigma_mu[8]	sigma_mu[9]
1182	0	-1573.962	-1625.12	51.15772	-0.003375712	0.006796717	0.002779811	-0.005413642	-0.0360585	0.01129893	-0.002915134	-0.01737193	0.0370792	0.0007585152	0.002968987	0.001110184	-0.002971055	0.0007767385	0.001839677	-0.002587288	-0.0004095664	0.0008774975	1	0.99663	1.00343	1.00622	1.00079	0.965343	0.976313	0.973471	0.956706	0.992845	4.043887	0	-0.03554568	0.965079	0.965811	0.968683	0.969759	0.966882	0.967633	0.969415	0.96691	0.966514	0.967362	0.6794359	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.03556038	0.09215622	0.02997937	0.09301229	0.04672601	0.08914457	0.07552294	0.08769808	0.02375092
1183	1	-1557.628	-1625.069	67.44141	-0.004795011	-0.002013735	0.001712008	0.001220361	0.001791829	0.0009400296	0.0002913102	-0.002956657	0.002413219	0.0004103444	-0.0005000996	0.0002168915	0.000952174	-0.002730804	-0.004201191	0.003280164	0.008510991	-0.0008688534	1	0.995216	0.993214	0.994916	0.996131	0.997918	0.998856	0.999147	0.996197	0.998604	0.5460528	0	-0.03019477	0.970257	0.970655	0.970169	0.97038	0.971304	0.968655	0.964595	0.967764	0.976036	0.975188	0.9191218	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.03556038	0.09215622	0.02997937	0.09301229	0.04672601	0.08914457	0.07552294	0.08769808	0.02375092
1184	0	-1574.154	-1625.312	51.15772	-0.003375712	0.006796717	0.002779811	-0.005413642	-0.0360585	0.01129893	-0.002915134	-0.01737193	0.0370792	-0.002971055	0.002968987	0.001839677	0.0007585152	-0.0004095664	0.001110184	0.0008774975	0.0007767385	-0.002587288	1	0.99663	1.00343	1.00622	1.00079	0.965343	0.976313	0.973471	0.956706	0.992845	4.043887	0	-0.02160337	0.978628	0.975725	0.978626	0.980428	0.981172	0.98077	0.98186	0.982722	0.983485	0.980944	0.6794359	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.09301229	0.09215622	0.08914457	0.03556038	0.08769808	0.02997937	0.02375092	0.04672601	0.07552294
1185	1	-1558.441	-1625.882	67.44141	-0.004795011	-0.002013735	0.001712008	0.001220361	0.001791829	0.0009400296	0.0002913102	-0.002956657	0.002413219	0.003280164	-0.0008688534	-0.002730804	0.008510991	0.0002168915	-0.004201191	0.0004103444	0.000952174	-0.0005000996	1	0.995216	0.993214	0.994916	0.996131	0.997918	0.998856	0.999147	0.996197	0.998604	0.5460528	0	-0.04894913	0.95223	0.955358	0.954528	0.951925	0.960062	0.96027	0.956244	0.956637	0.957548	0.957069	0.9191218	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.07552294	0.02375092	0.04672601	0.08769808	0.02997937	0.08914457	0.03556038	0.09301229	0.09215622
1186	0	-1574.068	-1625.226	51.15772	-0.003375712	0.006796717	0.002779811	-0.005413642	-0.0360585	0.01129893	-0.002915134	-0.01737193	0.0370792	0.001839677	-0.0004095664	-0.002971055	0.0008774975	0.002968987	-0.002587288	0.0007585152	0.0007767385	0.001110184	1	0.99663	1.00343	1.00622	1.00079	0.965343	0.976313	0.973471	0.956706	0.992845	4.043887	0	-0.03885558	0.96189	0.963661	0.963266	0.960409	0.961252	0.96411	0.961619	0.962348	0.963096	0.964166	0.6794359	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.08914457	0.08769808	0.09301229	0.02375092	0.09215622	0.07552294	0.03556038	0.04672601	0.02997937
1187	1	-1557.946	-1625.387	67.44141	-0.004795011	-0.002013735	0.001712008	0.001220361	0.001791829	0.0009400296	0.0002913102	-0.002956657	0.002413219	-0.0005000996	0.0004103444	0.000952174	0.0002168915	-0.004201191	-0.002730804	0.008510991	0.003280164	-0.0008688534	1	0.995216	0.993214	0.994916	0.996131	0.997918	0.998856	0.999147	0.996197	0.998604	0.5460528	0	-0.04217669	0.9587	0.958221	0.958614	0.959528	0.959736	0.955712	0.953106	0.961252	0.964411	0.963573	0.9191218	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.09215622	0.03556038	0.09301229	0.02997937	0.08914457	0.04672601	0.08769808	0.07552294	0.02375092
1188	0	-1575.035	-1626.193	51.15772	-0.003375712	0.006796717	0.002779811	-0.005413642	-0.0360585	0.01129893	-0.002915134	-0.01737193	0.0370792	0.0007767385	0.001110184	-0.002587288	0.0007585152	0.0008774975	0.002968987	-0.0004095664	-0.002971055	0.001839677	1	0.99663	1.00343	1.00622	1.00079	0.965343	0.976313	0.973471	0.956706	0.992845	4.043887	0	-0.05217368	0.949164	0.949902	0.950957	0.948499	0.949219	0.950053	0.952877	0.952487	0.949662	0.95141	0.6794359	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.04672601	0.02997937	0.07552294	0.03556038	0.02375092	0.09215622	0.08769808	0.09301229	0.08914457
1189	1	-1558.014	-1625.456	67.44141	-0.004795011	-0.002013735	0.001712008	0.001220361	0.001791829	0.0009400296	0.0002913102	-0.002956657	0.002413219	0.0002168915	0.0004103444	-0.002730804	-0.0005000996	0.003280164	0.000952174	-0.0008688534	-0.004201191	0.008510991	1	0.995216	0.993214	0.994916	0.996131	0.997918	0.998856	0.999147	0.996197	0.998604	0.5460528	0	-0.01918322	0.981	0.981212	0.981615	0.978938	0.978449	0.981663	0.982599	0.981745	0.977629	0.985986	0.9191218	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.02997937	0.03556038	0.04672601	0.09215622	0.07552294	0.09301229	0.02375092	0.08914457	0.08769808
1190	0	-1574.412	-1625.569	51.15772	-0.003375712	0.006796717	0.002779811	-0.005413642	-0.0360585	0.01129893	-0.002915134	-0.01737193	0.0370792	0.001110184	0.0007767385	0.0007585152	-0.002587288	0.002968987	0.0008774975	-0.002971055	-0.0004095664	0.001839677	1	0.99663	1.00343	1.00622	1.00079	0.965343	0.976313	0.973471	0.956706	0.992845	4.043887	0	-0.04503438	0.955965	0.957027	0.95777	0.958497	0.95602	0.958863	0.959705	0.956858	0.956466	0.958227	0.6794359	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.02997937	0.04672601	0.03556038	0.07552294	0.09215622	0.02375092	0.09301229	0.08769808	0.08914457
1191	1	-1558.564	-1626.005	67.44141	-0.004795011	-0.002013735	0.001712008	0.001220361	0.001791829	0.0009400296	0.0002913102	-0.002956657	0.002413219	0.000952174	-0.0005000996	-0.004201191	0.0004103444	0.008510991	0.0002168915	-0.0008688534	-0.002730804	0.003280164	1	0.995216	0.993214	0.994916	0.996131	0.997918	0.998856	0.999147	0.996197	0.998604	0.5460528	0	-0.05028344	0.95096	0.951866	0.95139	0.947401	0.94779	0.955891	0.956099	0.955268	0.952663	0.955793	0.9191218	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.09301229	0.09215622	0.08914457	0.03556038	0.08769808	0.02997937	0.02375092	0.04672601	0.07552294
1192	0	-1574.485	-1625.642	51.15772	-0.003375712	0.006796717	0.002779811	-0.005413642	-0.0360585	0.01129893	-0.002915134	-0.01737193	0.0370792	0.001110184	0.0007767385	0.0007585152	-0.002587288	0.002968987	0.0008774975	-0.002971055	-0.0004095664	0.001839677	1	0.99663	1.00343	1.00622	1.00079	0.965343	0.976313	0.973471	0.956706	0.992845	4.043887	0	-0.04603656	0.955007	0.956068	0.956811	0.957537	0.955063	0.957902	0.958743	0.955899	0.955508	0.957267	0.6794359	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.02997937	0.04672601	0.03556038	0.07552294	0.09215622	0.02375092	0.09301229	0.08769808	0.08914457
1193	1	-1558.213	-1625.654	67.44141	-0.004795011	-0.002013735	0.001712008	0.001220361	0.001791829	0.0009400296	0.0002913102	-0.002956657	0.002413219	-0.002730804	0.0002168915	0.003280164	0.0004103444	-0.0008688534	-0.0005000996	0.008510991	0.000952174	-0.004201191	1	0.995216	0.993214	0.994916	0.996131	0.997918	0.998856	0.999147	0.996197	0.998604	0.5460528	0	-0.04618789	0.954863	0.952259	0.952465	0.955594	0.955987	0.955156	0.954679	0.962839	0.963756	0.959716	0.9191218	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.04672601	0.02997937	0.07552294	0.03556038	0.02375092	0.09215622	0.08769808	0.09301229	0.08914457
1194	0	-1575.502	-1626.66	51.15772	-0.003375712	0.006796717	0.002779811	-0.005413642	-0.0360585	0.01129893	-0.002915134	-0.01737193	0.0370792	-0.002971055	0.001839677	0.002968987	-0.0004095664	0.0007585152	0.0008774975	0.001110184	-0.002587288	0.0007767385	1	0.99663	1.00343	1.00622	1.00079	0.965343	0.976313	0.973471	0.956706	0.992845	4.043887	0	-0.0563082	0.945248	0.942444	0.944179	0.946986	0.946599	0.947317	0.948149	0.949202	0.946749	0.947485	0.6794359	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.09301229	0.08914457	0.09215622	0.08769808	0.03556038	0.02375092	0.02997937	0.07552294	0.04672601
1195	1	-1557.626	-1625.067	67.44141	-0.004795011	-0.002013735	0.001712008	0.001220361	0.001791829	0.0009400296	0.0002913102	-0.002956657	0.002413219	0.000952174	-0.0005000996	-0.004201191	0.0004103444	0.008510991	0.0002168915	-0.0008688534	-0.002730804	0.003280164	1	0.995216	0.993214	0.994916	0.996131	0.997918	0.998856	0.999147	0.996197	0.998604	0.5460528	0	-0.03146356	0.969026	0.969949	0.969464	0.9654	0.965796	0.974051	0.974263	0.973416	0.970762	0.973951	0.9191218	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.09301229	0.09215622	0.08914457	0.03556038	0.08769808	0.02997937	0.02375092	0.04672601	0.07552294
1196	0	-1574.182	-1625.34	51.15772	-0.003375712	0.006796717	0.002779811	-0.005413642	-0.0360585	0.01129893	-0.002915134	-0.01737193	0.0370792	0.0007585152	0.001110184	0.002968987	0.0007767385	-0.002971055	-0.002587288	0.001839677	0.0008774975	-0.0004095664	1	0.99663	1.00343	1.00622	1.00079	0.965343	0.976313	0.973471	0.956706	0.992845	4.043887	0	-0.02109345	0.979127	0.97987	0.980959	0.983876	0.98464	0.981719	0.979182	0.980985	0.981847	0.981445	0.6794359	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.03556038	0.02997937	0.09215622	0.04672601	0.09301229	0.07552294	0.08914457	0.02375092	0.08769808
1197	1	-1557.629	-1625.07	67.44141	-0.004795011	-0.002013735	0.001712008	0.001220361	0.001791829	0.0009400296	0.0002913102	-0.002956657	0.002413219	-0.004201191	0.000952174	0.008510991	-0.0005000996	-0.0008688534	0.0004103444	0.003280164	0.0002168915	-0.002730804	1	0.995216	0.993214	0.994916	0.996131	0.997918	0.998856	0.999147	0.996197	0.998604	0.5460528	0	-0.02999784	0.970448	0.966379	0.9673	0.975568	0.97508	0.974233	0.974633	0.977835	0.978047	0.97538	0.9191218	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.08914457	0.09301229	0.08769808	0.09215622	0.02375092	0.03556038	0.07552294	0.02997937	0.04672601
1198	0	-1575.306	-1626.464	51.15772	-0.003375712	0.006796717	0.002779811	-0.005413642	-0.0360585	0.01129893	-0.002915134	-0.01737193	0.0370792	0.0007585152	0.001110184	0.002968987	0.0007767385	-0.002971055	-0.002587288	0.001839677	0.0008774975	-0.0004095664	1	0.99663	1.00343	1.00622	1.00079	0.965343	0.976313	0.973471	0.956706	0.992845	4.043887	0	-0.00877119	0.991267	0.992019	0.993121	0.996074	0.996848	0.993891	0.991323	0.993148	0.99402	0.993613	0.6794359	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.03556038	0.02997937	0.09215622	0.04672601	0.09301229	0.07552294	0.08914457	0.02375092	0.08769808
1199	1	-1558.401	-1625.843	67.44141	-0.004795011	-0.002013735	0.001712008	0.001220361	0.001791829	0.0009400296	0.0002913102	-0.002956657	0.002413219	0.008510991	-0.0008688534	-0.004201191	0.003280164	0.000952174	-0.002730804	-0.0005000996	0.0002168915	0.0004103444	1	0.995216	0.993214	0.994916	0.996131	0.997918	0.998856	0.999147	0.996197	0.998604	0.5460528	0	-0.01436075	0.985742	0.994167	0.993304	0.98914	0.992389	0.993335	0.990626	0.990131	0.990345	0.990752	0.9191218	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.08769808	0.02375092	0.08914457	0.07552294	0.09301229	0.04672601	0.09215622	0.02997937	0.03556038
1200	0	-1575.118	-1626.276	51.15772	-0.003375712	0.006796717	0.002779811	-0.005413642	-0.0360585	0.01129893	-0.002915134	-0.01737193	0.0370792	0.001110184	0.0007767385	0.0007585152	-0.002587288	0.002968987	0.0008774975	-0.002971055	-0.0004095664	0.001839677	1	0.99663	1.00343	1.00622	1.00079	0.965343	0.976313	0.973471	0.956706	0.992845	4.043887	0	-0.01029578	0.989757	0.990856	0.991626	0.992379	0.989815	0.992758	0.993629	0.990681	0.990276	0.992099	0.6794359	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.02997937	0.04672601	0.03556038	0.07552294	0.09215622	0.02375092	0.09301229	0.08769808	0.08914457
1201	1	-1558.167	-1625.609	67.44141	-0.004795011	-0.002013735	0.001712008	0.001220361	0.001791829	0.0009400296	0.0002913102	-0.002956657	0.002413219	0.000952174	-0.004201191	-0.0005000996	0.008510991	0.0004103444	-0.0008688534	0.0002168915	0.003280164	-0.002730804	1	0.995216	0.993214	0.994916	0.996131	0.997918	0.998856	0.999147	0.996197	0.998604	0.5460528	0	-0.04558116	0.955442	0.956352	0.952343	0.951867	0.960003	0.960397	0.959563	0.959771	0.962924	0.960298	0.9191218	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.09301229	0.08914457	0.09215622	0.08769808	0.03556038	0.02375092	0.02997937	0.07552294	0.04672601
1202	0	-1573.936	-1625.093	51.15772	-0.003375712	0.006796717	0.002779811	-0.005413642	-0.0360585	0.01129893	-0.002915134	-0.01737193	0.0370792	-0.0004095664	0.001839677	0.0008774975	-0.002971055	-0.002587288	0.002968987	0.0007767385	0.0007585152	0.001110184	1	0.99663	1.00343	1.00622	1.00079	0.965343	0.976313	0.973471	0.956706	0.992845	4.043887	0	-0.02795448	0.972433	0.972034	0.973824	0.974679	0.971788	0.969277	0.972159	0.972914	0.973652	0.974734	0.6794359	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.08769808	0.08914457	0.02375092	0.09301229	0.07552294	0.09215622	0.04672601	0.03556038	0.02997937
1203	1	-1557.686	-1625.128	67.44141	-0.004795011	-0.002013735	0.001712008	0.001220361	0.001791829	0.0009400296	0.0002913102	-0.002956657	0.002413219	0.008510991	-0.004201191	-0.0008688534	0.000952174	0.003280164	-0.0005000996	-0.002730804	0.0004103444	0.0002168915	1	0.995216	0.993214	0.994916	0.996131	0.997918	0.998856	0.999147	0.996197	0.998604	0.5460528	0	-0.02632992	0.974014	0.982339	0.978221	0.977371	0.978302	0.981516	0.981026	0.97835	0.978752	0.978964	0.9191218	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.08769808	0.08914457	0.02375092	0.09301229	0.07552294	0.09215622	0.04672601	0.03556038	0.02997937
1204	0	-1573.961	-1625.119	51.15772	-0.003375712	0.006796717	0.002779811	-0.005413642	-0.0360585	0.01129893	-0.002915134	-0.01737193	0.0370792	-0.002587288	0.0007767385	0.0008774975	0.001110184	-0.0004095664	0.0007585152	0.001839677	0.002968987	-0.002971055	1	0.99663	1.00343	1.00622	1.00079	0.965343	0.976313	0.973471	0.956706	0.992845	4.043887	0	-0.02668061	0.973672	0.971156	0.971911	0.972764	0.973845	0.973446	0.974185	0.975978	0.97888	0.975976	0.6794359	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.07552294	0.04672601	0.02375092	0.02997937	0.08769808	0.03556038	0.08914457	0.09215622	0.09301229
1205	1	-1557.627	-1625.069	67.44141	-0.004795011	-0.002013735	0.001712008	0.001220361	0.001791829	0.0009400296	0.0002913102	-0.002956657	0.002413219	0.008510991	-0.0008688534	-0.004201191	0.003280164	0.000952174	-0.002730804	-0.0005000996	0.0002168915	0.0004103444	1	0.995216	0.993214	0.994916	0.996131	0.997918	0.998856	0.999147	0.996197	0.998604	0.5460528	0	-0.03031098	0.970144	0.978436	0.977586	0.973488	0.976686	0.977617	0.974951	0.974463	0.974675	0.975075	0.9191218	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.08769808	0.02375092	0.08914457	0.07552294	0.09301229	0.04672601	0.09215622	0.02997937	0.03556038
1206	0	-1573.951	-1625.109	51.15772	-0.003375712	0.006796717	0.002779811	-0.005413642	-0.0360585	0.01129893	-0.002915134	-0.01737193	0.0370792	-0.0004095664	0.001839677	0.0008774975	-0.002971055	-0.002587288	0.002968987	0.0007767385	0.0007585152	0.001110184	1	0.99663	1.00343	1.00622	1.00079	0.965343	0.976313	0.973471	0.956706	0.992845	4.043887	0	-0.02713242	0.973232	0.972834	0.974625	0.975481	0.972587	0.970074	0.972958	0.973714	0.974453	0.975536	0.6794359	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.08769808	0.08914457	0.02375092	0.09301229	0.07552294	0.09215622	0.04672601	0.03556038	0.02997937
1207	1	-1557.847	-1625.288	67.44141	-0.004795011	-0.002013735	0.001712008	0.001220361	0.001791829	0.0009400296	0.0002913102	-0.002956657	0.002413219	-0.002730804	0.0002168915	0.003280164	0.0004103444	-0.0008688534	-0.0005000996	0.008510991	0.000952174	-0.004201191	1	0.995216	0.993214	0.994916	0.996131	0.997918	0.998856	0.999147	0.996197	0.998604	0.5460528	0	-0.0220688	0.978173	0.975505	0.975717	0.978923	0.979325	0.978474	0.977985	0.986344	0.987284	0.983144	0.9191218	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.04672601	0.02997937	0.07552294	0.03556038	0.02375092	0.09215622	0.08769808	0.09301229	0.08914457
1208	0	-1574.048	-1625.206	51.15772	-0.003375712	0.006796717	0.002779811	-0.005413642	-0.0360585	0.01129893	-0.002915134	-0.01737193	0.0370792	-0.002587288	0.0007767385	0.0008774975	0.001110184	-0.0004095664	0.0007585152	0.001839677	0.002968987	-0.002971055	1	0.99663	1.00343	1.00622	1.00079	0.965343	0.976313	0.973471	0.956706	0.992845	4.043887	0	-0.02393471	0.976349	0.973827	0.974583	0.975439	0.976522	0.976123	0.976863	0.978662	0.981572	0.97866	0.6794359	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.07552294	0.04672601	0.02375092	0.02997937	0.08769808	0.03556038	0.08914457	0.09215622	0.09301229
1209	1	-1557.947	-1625.389	67.44141	-0.004795011	-0.002013735	0.001712008	0.001220361	0.001791829	0.0009400296	0.0002913102	-0.002956657	0.002413219	0.0002168915	-0.002730804	0.0004103444	0.003280164	-0.0005000996	-0.0008688534	0.000952174	0.008510991	-0.004201191	1	0.995216	0.993214	0.994916	0.996131	0.997918	0.998856	0.999147	0.996197	0.998604	0.5460528	0	-0.02024055	0.979963	0.980175	0.977502	0.977904	0.981117	0.980626	0.979774	0.980708	0.98909	0.984944	0.9191218	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.02997937	0.04672601	0.03556038	0.07552294	0.09215622	0.02375092	0.09301229	0.08769808	0.08914457
1210	0	-1574.019	-1625.176	51.15772	-0.003375712	0.006796717	0.002779811	-0.005413642	-0.0360585	0.01129893	-0.002915134	-0.01737193	0.0370792	-0.002587288	0.0007767385	0.0008774975	0.001110184	-0.0004095664	0.0007585152	0.001839677	0.002968987	-0.002971055	1	0.99663	1.00343	1.00622	1.00079	0.965343	0.976313	0.973471	0.956706	0.992845	4.043887	0	-0.02472389	0.975579	0.973058	0.973815	0.974669	0.975752	0.975353	0.976093	0.97789	0.980798	0.977888	0.6794359	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.07552294	0.04672601	0.02375092	0.02997937	0.08769808	0.03556038	0.08914457	0.09215622	0.09301229
1211	1	-1557.713	-1625.154	67.44141	-0.004795011	-0.002013735	0.001712008	0.001220361	0.001791829	0.0009400296	0.0002913102	-0.002956657	0.002413219	0.0002168915	-0.002730804	0.0004103444	0.003280164	-0.0005000996	-0.0008688534	0.000952174	0.008510991	-0.004201191	1	0.995216	0.993214	0.994916	0.996131	0.997918	0.998856	0.999147	0.996197	0.998604	0.5460528	0	-0.02539402	0.974926	0.975137	0.972478	0.972877	0.976073	0.975585	0.974738	0.975667	0.984006	0.979881	0.9191218	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.02997937	0.04672601	0.03556038	0.07552294	0.09215622	0.02375092	0.09301229	0.08769808	0.08914457
1212	0	-1573.912	-1625.07	51.15772	-0.003375712	0.006796717	0.002779811	-0.005413642	-0.0360585	0.01129893	-0.002915134	-0.01737193	0.0370792	-0.0004095664	0.001839677	0.0008774975	-0.002971055	-0.002587288	0.002968987	0.0007767385	0.0007585152	0.001110184	1	0.99663	1.00343	1.00622	1.00079	0.965343	0.976313	0.973471	0.956706	0.992845	4.043887	0	-0.03009833	0.97035	0.969953	0.971739	0.972592	0.969707	0.967201	0.970077	0.970831	0.971567	0.972646	0.6794359	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.08769808	0.08914457	0.02375092	0.09301229	0.07552294	0.09215622	0.04672601	0.03556038	0.02997937
1213	1	-1557.999	-1625.44	67.44141	-0.004795011	-0.002013735	0.001712008	0.001220361	0.001791829	0.0009400296	0.0002913102	-0.002956657	0.002413219	0.000952174	-0.0005000996	-0.004201191	0.0004103444	0.008510991	0.0002168915	-0.0008688534	-0.002730804	0.003280164	1	0.995216	0.993214	0.994916	0.996131	0.997918	0.998856	0.999147	0.996197	0.998604	0.5460528	0	-0.04307524	0.957839	0.958752	0.958272	0.954255	0.954647	0.962806	0.963015	0.962179	0.959555	0.962708	0.9191218	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.09301229	0.09215622	0.08914457	0.03556038	0.08769808	0.02997937	0.02375092	0.04672601	0.07552294
1214	0	-1574.712	-1625.869	51.15772	-0.003375712	0.006796717	0.002779811	-0.005413642	-0.0360585	0.01129893	-0.002915134	-0.01737193	0.0370792	-0.0004095664	0.0008774975	0.001839677	-0.002587288	-0.002971055	0.0007767385	0.002968987	0.001110184	0.0007585152	1	0.99663	1.00343	1.00622	1.00079	0.965343	0.976313	0.973471	0.956706	0.992845	4.043887	0	-0.0488051	0.952367	0.951977	0.952812	0.954567	0.9521	0.949276	0.950013	0.952838	0.953897	0.95462	0.6794359	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.08769808	0.02375092	0.08914457	0.07552294	0.09301229	0.04672601	0.09215622	0.02997937	0.03556038
1215	1	-1558.009	-1625.451	67.44141	-0.004795011	-0.002013735	0.001712008	0.001220361	0.001791829	0.0009400296	0.0002913102	-0.002956657	0.002413219	0.003280164	-0.002730804	-0.0008688534	0.0002168915	0.008510991	0.0004103444	-0.004201191	-0.0005000996	0.000952174	1	0.995216	0.993214	0.994916	0.996131	0.997918	0.998856	0.999147	0.996197	0.998604	0.5460528	0	-0.0432453	0.957676	0.960823	0.958203	0.957371	0.957578	0.965763	0.966159	0.962109	0.961628	0.962544	0.9191218	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.07552294	0.04672601	0.02375092	0.02997937	0.08769808	0.03556038	0.08914457	0.09215622	0.09301229
1216	0	-1574.056	-1625.213	51.15772	-0.003375712	0.006796717	0.002779811	-0.005413642	-0.0360585	0.01129893	-0.002915134	-0.01737193	0.0370792	-0.0004095664	0.001839677	0.0008774975	-0.002971055	-0.002587288	0.002968987	0.0007767385	0.0007585152	0.001110184	1	0.99663	1.00343	1.00622	1.00079	0.965343	0.976313	0.973471	0.956706	0.992845	4.043887	0	-0.03854952	0.962184	0.96179	0.963561	0.964407	0.961546	0.959061	0.961913	0.96266	0.963391	0.964461	0.6794359	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.08769808	0.08914457	0.02375092	0.09301229	0.07552294	0.09215622	0.04672601	0.03556038	0.02997937
1217	1	-1557.836	-1625.277	67.44141	-0.004795011	-0.002013735	0.001712008	0.001220361	0.001791829	0.0009400296	0.0002913102	-0.002956657	0.002413219	0.003280164	-0.002730804	-0.0008688534	0.0002168915	0.008510991	0.0004103444	-0.004201191	-0.0005000996	0.000952174	1	0.995216	0.993214	0.994916	0.996131	0.997918	0.998856	0.999147	0.996197	0.998604	0.5460528	0	-0.02230067	0.977946	0.981159	0.978484	0.977634	0.977846	0.986204	0.986609	0.982472	0.981981	0.982917	0.9191218	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.07552294	0.04672601	0.02375092	0.02997937	0.08769808	0.03556038	0.08914457	0.09215622	0.09301229
