Iteration	Replicate_ID	Posterior	Likelihood	Prior	delta_log_lambda[1]	delta_log_lambda[2]	delta_log_lambda[3]	delta_log_lambda[4]	delta_log_lambda[5]	delta_log_lambda[6]	delta_log_lambda[7]	delta_log_lambda[8]	delta_log_lambda[9]	delta_log_mu[1]	delta_log_mu[2]	delta_log_mu[3]	delta_log_mu[4]	delta_log_mu[5]	delta_log_mu[6]	delta_log_mu[7]	delta_log_mu[8]	delta_log_mu[9]	lambda[1]	lambda[2]	lambda[3]	lambda[4]	lambda[5]	lambda[6]	lambda[7]	lambda[8]	lambda[9]	lambda[10]	lambda_global_scale	log_lambda_at_present	log_mu_at_present	mu[1]	mu[2]	mu[3]	mu[4]	mu[5]	mu[6]	mu[7]	mu[8]	mu[9]	mu[10]	mu_global_scale	sigma_lambda[1]	sigma_lambda[2]	sigma_lambda[3]	sigma_lambda[4]	sigma_lambda[5]	sigma_lambda[6]	sigma_lambda[7]	sigma_lambda[8]	sigma_lambda[9]	sigma_mu[1]	sigma_mu[2]	sigma_mu[3]	sigma_mu[4]	sigma_mu[5]	sigma_mu[6]	sigma_mu[7]	sigma_mu[8]	sigma_mu[9]
10	0	-1574.23	-1625.388	51.15772	-0.003375712	0.006796717	0.002779811	-0.005413642	-0.0360585	0.01129893	-0.002915134	-0.01737193	0.0370792	0.0008774975	-0.0004095664	-0.002587288	0.001839677	0.0007767385	-0.002971055	0.001110184	0.002968987	0.0007585152	1	0.99663	1.00343	1.00622	1.00079	0.965343	0.976313	0.973471	0.956706	0.992845	4.043887	0	-0.0202553	0.979948	0.980809	0.980407	0.977874	0.979674	0.980436	0.977527	0.978613	0.981523	0.982267	0.6794359	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.02375092	0.08769808	0.07552294	0.08914457	0.04672601	0.09301229	0.02997937	0.09215622	0.03556038
11	1	-1557.727	-1625.168	67.44141	-0.004795011	-0.002013735	0.001712008	0.001220361	0.001791829	0.0009400296	0.0002913102	-0.002956657	0.002413219	0.008510991	-0.0008688534	-0.004201191	0.003280164	0.000952174	-0.002730804	-0.0005000996	0.0002168915	0.0004103444	1	0.995216	0.993214	0.994916	0.996131	0.997918	0.998856	0.999147	0.996197	0.998604	0.5460528	0	-0.02496975	0.975339	0.983676	0.982822	0.978701	0.981917	0.982852	0.980172	0.979682	0.979894	0.980297	0.9191218	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.08769808	0.02375092	0.08914457	0.07552294	0.09301229	0.04672601	0.09215622	0.02997937	0.03556038
12	0	-1574.537	-1625.695	51.15772	-0.003375712	0.006796717	0.002779811	-0.005413642	-0.0360585	0.01129893	-0.002915134	-0.01737193	0.0370792	0.0007767385	-0.002587288	0.001110184	0.0008774975	0.0007585152	-0.0004095664	0.002968987	0.001839677	-0.002971055	1	0.99663	1.00343	1.00622	1.00079	0.965343	0.976313	0.973471	0.956706	0.992845	4.043887	0	-0.01600681	0.984121	0.984885	0.98234	0.983432	0.984295	0.985042	0.984638	0.987566	0.989385	0.98645	0.6794359	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.04672601	0.07552294	0.02997937	0.02375092	0.03556038	0.08769808	0.09215622	0.08914457	0.09301229
13	1	-1557.855	-1625.296	67.44141	-0.004795011	-0.002013735	0.001712008	0.001220361	0.001791829	0.0009400296	0.0002913102	-0.002956657	0.002413219	-0.004201191	0.008510991	0.000952174	-0.0008688534	-0.0005000996	0.003280164	0.0004103444	-0.002730804	0.0002168915	1	0.995216	0.993214	0.994916	0.996131	0.997918	0.998856	0.999147	0.996197	0.998604	0.5460528	0	-0.040445	0.960362	0.956336	0.96451	0.965429	0.96459	0.964108	0.967276	0.967673	0.965034	0.965243	0.9191218	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.08914457	0.08769808	0.09301229	0.02375092	0.09215622	0.07552294	0.03556038	0.04672601	0.02997937
14	0	-1574.359	-1625.517	51.15772	-0.003375712	0.006796717	0.002779811	-0.005413642	-0.0360585	0.01129893	-0.002915134	-0.01737193	0.0370792	0.002968987	0.0007585152	-0.002971055	0.001110184	0.001839677	0.0007767385	-0.0004095664	-0.002587288	0.0008774975	1	0.99663	1.00343	1.00622	1.00079	0.965343	0.976313	0.973471	0.956706	0.992845	4.043887	0	-0.04427276	0.956693	0.959538	0.960266	0.957417	0.95848	0.960245	0.960991	0.960598	0.958116	0.958957	0.6794359	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.09215622	0.03556038	0.09301229	0.02997937	0.08914457	0.04672601	0.08769808	0.07552294	0.02375092
15	1	-1557.922	-1625.363	67.44141	-0.004795011	-0.002013735	0.001712008	0.001220361	0.001791829	0.0009400296	0.0002913102	-0.002956657	0.002413219	0.000952174	-0.004201191	-0.0005000996	0.008510991	0.0004103444	-0.0008688534	0.0002168915	0.003280164	-0.002730804	1	0.995216	0.993214	0.994916	0.996131	0.997918	0.998856	0.999147	0.996197	0.998604	0.5460528	0	-0.04174973	0.95911	0.960023	0.955999	0.955521	0.963688	0.964083	0.963246	0.963455	0.966621	0.963984	0.9191218	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.09301229	0.08914457	0.09215622	0.08769808	0.03556038	0.02375092	0.02997937	0.07552294	0.04672601
16	0	-1574.144	-1625.302	51.15772	-0.003375712	0.006796717	0.002779811	-0.005413642	-0.0360585	0.01129893	-0.002915134	-0.01737193	0.0370792	0.002968987	-0.002971055	0.0007585152	0.001839677	0.001110184	-0.0004095664	0.0007767385	0.0008774975	-0.002587288	1	0.99663	1.00343	1.00622	1.00079	0.965343	0.976313	0.973471	0.956706	0.992845	4.043887	0	-0.04056503	0.960247	0.963102	0.960245	0.960973	0.962743	0.963812	0.963418	0.964166	0.965013	0.962519	0.6794359	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.09215622	0.09301229	0.03556038	0.08914457	0.02997937	0.08769808	0.04672601	0.02375092	0.07552294
17	1	-1558.166	-1625.608	67.44141	-0.004795011	-0.002013735	0.001712008	0.001220361	0.001791829	0.0009400296	0.0002913102	-0.002956657	0.002413219	0.0004103444	0.0002168915	-0.0005000996	-0.002730804	0.000952174	0.003280164	-0.004201191	-0.0008688534	0.008510991	1	0.995216	0.993214	0.994916	0.996131	0.997918	0.998856	0.999147	0.996197	0.998604	0.5460528	0	-0.04556564	0.955457	0.955849	0.956056	0.955578	0.952972	0.95388	0.957014	0.953002	0.952174	0.960313	0.9191218	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.03556038	0.02997937	0.09215622	0.04672601	0.09301229	0.07552294	0.08914457	0.02375092	0.08769808
18	0	-1574.184	-1625.342	51.15772	-0.003375712	0.006796717	0.002779811	-0.005413642	-0.0360585	0.01129893	-0.002915134	-0.01737193	0.0370792	-0.0004095664	0.001839677	0.0008774975	-0.002971055	-0.002587288	0.002968987	0.0007767385	0.0007585152	0.001110184	1	0.99663	1.00343	1.00622	1.00079	0.965343	0.976313	0.973471	0.956706	0.992845	4.043887	0	-0.02105773	0.979162	0.978761	0.980564	0.981425	0.978513	0.975985	0.978887	0.979647	0.980391	0.98148	0.6794359	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.08769808	0.08914457	0.02375092	0.09301229	0.07552294	0.09215622	0.04672601	0.03556038	0.02997937
19	1	-1558.656	-1626.097	67.44141	-0.004795011	-0.002013735	0.001712008	0.001220361	0.001791829	0.0009400296	0.0002913102	-0.002956657	0.002413219	-0.0005000996	0.0004103444	0.000952174	0.0002168915	-0.004201191	-0.002730804	0.008510991	0.003280164	-0.0008688534	1	0.995216	0.993214	0.994916	0.996131	0.997918	0.998856	0.999147	0.996197	0.998604	0.5460528	0	-0.01186167	0.988208	0.987714	0.98812	0.989061	0.989276	0.985128	0.982442	0.990839	0.994094	0.993231	0.9191218	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.09215622	0.03556038	0.09301229	0.02997937	0.08914457	0.04672601	0.08769808	0.07552294	0.02375092
