Iteration	Posterior	Likelihood	Prior	interval_times[1]	interval_times[2]	interval_times[3]	interval_times[4]	interval_times[5]	interval_times[6]	interval_times[7]	interval_times[8]	interval_times[9]
550	-1558.054	-1625.495	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
560	-1557.628	-1625.07	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
570	-1557.653	-1625.094	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
580	-1558.231	-1625.673	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
590	-1557.842	-1625.283	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
600	-1558.991	-1626.433	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
610	-1557.89	-1625.331	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
620	-1557.82	-1625.261	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
630	-1559.735	-1627.176	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
640	-1557.638	-1625.079	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
650	-1557.666	-1625.108	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
660	-1557.737	-1625.179	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
670	-1558.014	-1625.455	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
680	-1560.079	-1627.521	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
690	-1558.867	-1626.308	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
700	-1557.802	-1625.244	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
710	-1557.753	-1625.194	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
720	-1558.31	-1625.752	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
730	-1557.851	-1625.292	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
740	-1557.628	-1625.069	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
750	-1557.676	-1625.118	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
760	-1558.949	-1626.39	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
770	-1557.675	-1625.117	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
780	-1558.129	-1625.571	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
790	-1558.088	-1625.529	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
800	-1557.869	-1625.31	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
810	-1557.894	-1625.335	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
820	-1558.255	-1625.697	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
830	-1558.274	-1625.716	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
840	-1557.645	-1625.086	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
850	-1558.715	-1626.156	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
860	-1557.628	-1625.069	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
870	-1557.629	-1625.07	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
880	-1557.631	-1625.072	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
890	-1557.752	-1625.194	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
900	-1558.216	-1625.657	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
910	-1557.749	-1625.19	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
920	-1557.92	-1625.361	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
930	-1557.711	-1625.153	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
940	-1557.676	-1625.118	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
950	-1557.708	-1625.149	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
960	-1557.875	-1625.316	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
970	-1557.855	-1625.297	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
980	-1557.635	-1625.077	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
990	-1557.893	-1625.335	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1000	-1560.125	-1627.567	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1010	-1558.025	-1625.466	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1020	-1559.297	-1626.739	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1030	-1557.815	-1625.256	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1040	-1558.213	-1625.654	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1050	-1558.28	-1625.721	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1060	-1557.701	-1625.142	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1070	-1558.107	-1625.549	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1080	-1557.763	-1625.204	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1090	-1558.177	-1625.618	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1100	-1557.652	-1625.094	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1110	-1558.085	-1625.526	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1120	-1557.678	-1625.119	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1130	-1557.963	-1625.404	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1140	-1557.64	-1625.082	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1150	-1557.806	-1625.247	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1160	-1557.645	-1625.086	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1170	-1557.746	-1625.188	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1180	-1558.124	-1625.565	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1190	-1558.71	-1626.151	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1200	-1557.717	-1625.158	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1210	-1557.671	-1625.112	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1220	-1557.685	-1625.126	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1230	-1557.627	-1625.068	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1240	-1558.425	-1625.866	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1250	-1557.727	-1625.168	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1260	-1557.983	-1625.424	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1270	-1557.659	-1625.101	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
