Iteration	Replicate_ID	Posterior	Likelihood	Prior	interval_times[1]	interval_times[2]	interval_times[3]	interval_times[4]	interval_times[5]	interval_times[6]	interval_times[7]	interval_times[8]	interval_times[9]
54	0	-1574.364	-1625.521	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
55	1	-1557.978	-1625.419	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
56	0	-1574.265	-1625.423	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
57	1	-1557.688	-1625.129	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
58	0	-1574.501	-1625.659	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
59	1	-1558.24	-1625.681	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
60	0	-1573.913	-1625.071	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
61	1	-1558.855	-1626.296	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
62	0	-1574.02	-1625.177	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
63	1	-1558.871	-1626.312	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
64	0	-1574.426	-1625.584	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
65	1	-1557.974	-1625.416	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
66	0	-1575.411	-1626.569	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
67	1	-1557.709	-1625.151	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
68	0	-1573.933	-1625.091	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
69	1	-1557.63	-1625.071	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
70	0	-1574.64	-1625.798	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
71	1	-1557.63	-1625.072	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
72	0	-1573.929	-1625.086	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
73	1	-1557.627	-1625.068	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
74	0	-1573.969	-1625.126	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
75	1	-1558.076	-1625.517	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
76	0	-1574.766	-1625.924	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
77	1	-1557.719	-1625.16	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
78	0	-1573.983	-1625.141	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
79	1	-1558.642	-1626.083	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
80	0	-1573.926	-1625.084	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
81	1	-1559.202	-1626.644	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
82	0	-1573.918	-1625.076	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
83	1	-1557.764	-1625.205	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
84	0	-1574.105	-1625.262	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
85	1	-1559.181	-1626.623	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
86	0	-1574.003	-1625.16	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
87	1	-1557.992	-1625.434	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
88	0	-1574.215	-1625.373	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
89	1	-1557.879	-1625.321	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
90	0	-1574.159	-1625.317	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
91	1	-1558.012	-1625.454	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
92	0	-1573.937	-1625.095	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
93	1	-1557.951	-1625.392	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
94	0	-1574.155	-1625.312	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
95	1	-1558.354	-1625.796	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
96	0	-1573.932	-1625.089	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
97	1	-1558.539	-1625.981	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
98	0	-1574.678	-1625.836	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
99	1	-1557.961	-1625.402	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
100	0	-1573.983	-1625.141	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
101	1	-1558.276	-1625.718	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
102	0	-1574.536	-1625.693	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
103	1	-1557.665	-1625.106	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
104	0	-1575.699	-1626.856	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
105	1	-1558.043	-1625.484	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
106	0	-1573.91	-1625.067	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
107	1	-1557.702	-1625.144	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
108	0	-1573.918	-1625.076	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
109	1	-1557.872	-1625.313	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
110	0	-1573.977	-1625.135	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
111	1	-1558.054	-1625.495	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
112	0	-1575.472	-1626.63	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
113	1	-1557.628	-1625.07	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
114	0	-1574.099	-1625.257	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
115	1	-1557.653	-1625.094	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
116	0	-1574.168	-1625.326	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
117	1	-1558.231	-1625.673	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
118	0	-1574.387	-1625.545	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
119	1	-1557.842	-1625.283	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
120	0	-1574.563	-1625.721	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
121	1	-1558.991	-1626.433	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
122	0	-1574.288	-1625.446	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
123	1	-1557.89	-1625.331	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
124	0	-1575.891	-1627.048	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
125	1	-1557.82	-1625.261	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
126	0	-1574.914	-1626.072	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
127	1	-1559.735	-1627.176	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
128	0	-1575.05	-1626.208	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
129	1	-1557.638	-1625.079	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
130	0	-1573.983	-1625.141	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
131	1	-1557.666	-1625.108	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
132	0	-1573.94	-1625.098	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
133	1	-1557.737	-1625.179	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
134	0	-1575.08	-1626.238	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
135	1	-1558.014	-1625.455	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
136	0	-1573.917	-1625.074	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
137	1	-1560.079	-1627.521	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
138	0	-1574.271	-1625.428	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
139	1	-1558.867	-1626.308	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
140	0	-1573.914	-1625.072	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
141	1	-1557.802	-1625.244	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
142	0	-1573.989	-1625.147	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
143	1	-1557.753	-1625.194	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
144	0	-1576.507	-1627.665	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
145	1	-1558.31	-1625.752	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
146	0	-1574.66	-1625.817	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
147	1	-1557.851	-1625.292	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
148	0	-1574.036	-1625.194	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
149	1	-1557.628	-1625.069	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
150	0	-1574.339	-1625.497	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
151	1	-1557.676	-1625.118	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
152	0	-1575.257	-1626.415	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
153	1	-1558.949	-1626.39	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
154	0	-1574.647	-1625.805	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
155	1	-1557.675	-1625.117	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
156	0	-1575.176	-1626.333	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
157	1	-1558.129	-1625.571	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
158	0	-1574.949	-1626.107	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
159	1	-1558.088	-1625.529	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
160	0	-1573.914	-1625.072	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
161	1	-1557.869	-1625.31	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
162	0	-1573.949	-1625.107	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
163	1	-1557.894	-1625.335	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
164	0	-1573.957	-1625.114	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
165	1	-1558.255	-1625.697	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
166	0	-1574.505	-1625.663	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
167	1	-1558.274	-1625.716	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
168	0	-1573.989	-1625.147	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
169	1	-1557.645	-1625.086	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
170	0	-1574.418	-1625.575	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
171	1	-1558.715	-1626.156	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
172	0	-1573.937	-1625.095	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
173	1	-1557.628	-1625.069	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
174	0	-1574.398	-1625.555	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
175	1	-1557.629	-1625.07	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
176	0	-1573.924	-1625.082	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
177	1	-1557.631	-1625.072	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
178	0	-1574.788	-1625.946	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
179	1	-1557.752	-1625.194	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
180	0	-1574.354	-1625.511	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
181	1	-1558.216	-1625.657	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
182	0	-1573.909	-1625.067	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
183	1	-1557.749	-1625.19	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
184	0	-1575.859	-1627.016	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
185	1	-1557.92	-1625.361	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
186	0	-1574.867	-1626.025	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
187	1	-1557.711	-1625.153	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
188	0	-1574.691	-1625.848	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
189	1	-1557.676	-1625.118	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
190	0	-1573.909	-1625.067	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
191	1	-1557.708	-1625.149	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
192	0	-1574.678	-1625.835	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
193	1	-1557.875	-1625.316	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
194	0	-1574.378	-1625.536	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
195	1	-1557.855	-1625.297	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
196	0	-1574.19	-1625.348	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
197	1	-1557.635	-1625.077	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
198	0	-1574.752	-1625.91	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
199	1	-1557.893	-1625.335	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
200	0	-1574.198	-1625.356	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
201	1	-1560.125	-1627.567	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
202	0	-1574.337	-1625.495	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
203	1	-1558.025	-1625.466	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
204	0	-1573.912	-1625.069	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
205	1	-1559.297	-1626.739	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
206	0	-1573.935	-1625.092	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
207	1	-1557.815	-1625.256	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
208	0	-1574.967	-1626.125	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
209	1	-1558.213	-1625.654	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
210	0	-1574.077	-1625.235	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
211	1	-1558.28	-1625.721	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
212	0	-1573.993	-1625.151	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
213	1	-1557.701	-1625.142	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
214	0	-1574.167	-1625.325	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
215	1	-1558.107	-1625.549	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
216	0	-1573.989	-1625.147	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
217	1	-1557.763	-1625.204	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
218	0	-1573.992	-1625.15	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
219	1	-1558.177	-1625.618	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
220	0	-1573.913	-1625.071	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
221	1	-1557.652	-1625.094	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
222	0	-1574.159	-1625.317	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
223	1	-1558.085	-1625.526	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
224	0	-1573.914	-1625.072	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
225	1	-1557.678	-1625.119	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
226	0	-1574.709	-1625.866	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
227	1	-1557.963	-1625.404	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
228	0	-1574.004	-1625.162	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
229	1	-1557.64	-1625.082	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
230	0	-1574.13	-1625.287	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
231	1	-1557.806	-1625.247	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
232	0	-1573.91	-1625.068	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
233	1	-1557.645	-1625.086	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
234	0	-1573.913	-1625.07	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
235	1	-1557.746	-1625.188	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
236	0	-1573.909	-1625.067	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
