Iteration	Posterior	Likelihood	Prior	lambda[1]	lambda[2]	lambda[3]	lambda[4]	lambda[5]	lambda[6]	lambda[7]	lambda[8]	lambda[9]	lambda[10]
660	-1557.737	-1625.179	67.44141	1	0.995216	0.993214	0.994916	0.996131	0.997918	0.998856	0.999147	0.996197	0.998604
670	-1558.014	-1625.455	67.44141	1	0.995216	0.993214	0.994916	0.996131	0.997918	0.998856	0.999147	0.996197	0.998604
680	-1560.079	-1627.521	67.44141	1	0.995216	0.993214	0.994916	0.996131	0.997918	0.998856	0.999147	0.996197	0.998604
690	-1558.867	-1626.308	67.44141	1	0.995216	0.993214	0.994916	0.996131	0.997918	0.998856	0.999147	0.996197	0.998604
700	-1557.802	-1625.244	67.44141	1	0.995216	0.993214	0.994916	0.996131	0.997918	0.998856	0.999147	0.996197	0.998604
710	-1557.753	-1625.194	67.44141	1	0.995216	0.993214	0.994916	0.996131	0.997918	0.998856	0.999147	0.996197	0.998604
720	-1558.31	-1625.752	67.44141	1	0.995216	0.993214	0.994916	0.996131	0.997918	0.998856	0.999147	0.996197	0.998604
730	-1557.851	-1625.292	67.44141	1	0.995216	0.993214	0.994916	0.996131	0.997918	0.998856	0.999147	0.996197	0.998604
740	-1557.628	-1625.069	67.44141	1	0.995216	0.993214	0.994916	0.996131	0.997918	0.998856	0.999147	0.996197	0.998604
750	-1557.676	-1625.118	67.44141	1	0.995216	0.993214	0.994916	0.996131	0.997918	0.998856	0.999147	0.996197	0.998604
760	-1558.949	-1626.39	67.44141	1	0.995216	0.993214	0.994916	0.996131	0.997918	0.998856	0.999147	0.996197	0.998604
770	-1557.675	-1625.117	67.44141	1	0.995216	0.993214	0.994916	0.996131	0.997918	0.998856	0.999147	0.996197	0.998604
780	-1558.129	-1625.571	67.44141	1	0.995216	0.993214	0.994916	0.996131	0.997918	0.998856	0.999147	0.996197	0.998604
790	-1558.088	-1625.529	67.44141	1	0.995216	0.993214	0.994916	0.996131	0.997918	0.998856	0.999147	0.996197	0.998604
800	-1557.869	-1625.31	67.44141	1	0.995216	0.993214	0.994916	0.996131	0.997918	0.998856	0.999147	0.996197	0.998604
810	-1557.894	-1625.335	67.44141	1	0.995216	0.993214	0.994916	0.996131	0.997918	0.998856	0.999147	0.996197	0.998604
820	-1558.255	-1625.697	67.44141	1	0.995216	0.993214	0.994916	0.996131	0.997918	0.998856	0.999147	0.996197	0.998604
830	-1558.274	-1625.716	67.44141	1	0.995216	0.993214	0.994916	0.996131	0.997918	0.998856	0.999147	0.996197	0.998604
840	-1557.645	-1625.086	67.44141	1	0.995216	0.993214	0.994916	0.996131	0.997918	0.998856	0.999147	0.996197	0.998604
850	-1558.715	-1626.156	67.44141	1	0.995216	0.993214	0.994916	0.996131	0.997918	0.998856	0.999147	0.996197	0.998604
860	-1557.628	-1625.069	67.44141	1	0.995216	0.993214	0.994916	0.996131	0.997918	0.998856	0.999147	0.996197	0.998604
870	-1557.629	-1625.07	67.44141	1	0.995216	0.993214	0.994916	0.996131	0.997918	0.998856	0.999147	0.996197	0.998604
880	-1557.631	-1625.072	67.44141	1	0.995216	0.993214	0.994916	0.996131	0.997918	0.998856	0.999147	0.996197	0.998604
890	-1557.752	-1625.194	67.44141	1	0.995216	0.993214	0.994916	0.996131	0.997918	0.998856	0.999147	0.996197	0.998604
900	-1558.216	-1625.657	67.44141	1	0.995216	0.993214	0.994916	0.996131	0.997918	0.998856	0.999147	0.996197	0.998604
910	-1557.749	-1625.19	67.44141	1	0.995216	0.993214	0.994916	0.996131	0.997918	0.998856	0.999147	0.996197	0.998604
920	-1557.92	-1625.361	67.44141	1	0.995216	0.993214	0.994916	0.996131	0.997918	0.998856	0.999147	0.996197	0.998604
930	-1557.711	-1625.153	67.44141	1	0.995216	0.993214	0.994916	0.996131	0.997918	0.998856	0.999147	0.996197	0.998604
940	-1557.676	-1625.118	67.44141	1	0.995216	0.993214	0.994916	0.996131	0.997918	0.998856	0.999147	0.996197	0.998604
950	-1557.708	-1625.149	67.44141	1	0.995216	0.993214	0.994916	0.996131	0.997918	0.998856	0.999147	0.996197	0.998604
960	-1557.875	-1625.316	67.44141	1	0.995216	0.993214	0.994916	0.996131	0.997918	0.998856	0.999147	0.996197	0.998604
970	-1557.855	-1625.297	67.44141	1	0.995216	0.993214	0.994916	0.996131	0.997918	0.998856	0.999147	0.996197	0.998604
980	-1557.635	-1625.077	67.44141	1	0.995216	0.993214	0.994916	0.996131	0.997918	0.998856	0.999147	0.996197	0.998604
990	-1557.893	-1625.335	67.44141	1	0.995216	0.993214	0.994916	0.996131	0.997918	0.998856	0.999147	0.996197	0.998604
1000	-1560.125	-1627.567	67.44141	1	0.995216	0.993214	0.994916	0.996131	0.997918	0.998856	0.999147	0.996197	0.998604
1010	-1558.025	-1625.466	67.44141	1	0.995216	0.993214	0.994916	0.996131	0.997918	0.998856	0.999147	0.996197	0.998604
1020	-1559.297	-1626.739	67.44141	1	0.995216	0.993214	0.994916	0.996131	0.997918	0.998856	0.999147	0.996197	0.998604
1030	-1557.815	-1625.256	67.44141	1	0.995216	0.993214	0.994916	0.996131	0.997918	0.998856	0.999147	0.996197	0.998604
1040	-1558.213	-1625.654	67.44141	1	0.995216	0.993214	0.994916	0.996131	0.997918	0.998856	0.999147	0.996197	0.998604
1050	-1558.28	-1625.721	67.44141	1	0.995216	0.993214	0.994916	0.996131	0.997918	0.998856	0.999147	0.996197	0.998604
1060	-1557.701	-1625.142	67.44141	1	0.995216	0.993214	0.994916	0.996131	0.997918	0.998856	0.999147	0.996197	0.998604
1070	-1558.107	-1625.549	67.44141	1	0.995216	0.993214	0.994916	0.996131	0.997918	0.998856	0.999147	0.996197	0.998604
1080	-1557.763	-1625.204	67.44141	1	0.995216	0.993214	0.994916	0.996131	0.997918	0.998856	0.999147	0.996197	0.998604
1090	-1558.177	-1625.618	67.44141	1	0.995216	0.993214	0.994916	0.996131	0.997918	0.998856	0.999147	0.996197	0.998604
1100	-1557.652	-1625.094	67.44141	1	0.995216	0.993214	0.994916	0.996131	0.997918	0.998856	0.999147	0.996197	0.998604
1110	-1558.085	-1625.526	67.44141	1	0.995216	0.993214	0.994916	0.996131	0.997918	0.998856	0.999147	0.996197	0.998604
1120	-1557.678	-1625.119	67.44141	1	0.995216	0.993214	0.994916	0.996131	0.997918	0.998856	0.999147	0.996197	0.998604
1130	-1557.963	-1625.404	67.44141	1	0.995216	0.993214	0.994916	0.996131	0.997918	0.998856	0.999147	0.996197	0.998604
1140	-1557.64	-1625.082	67.44141	1	0.995216	0.993214	0.994916	0.996131	0.997918	0.998856	0.999147	0.996197	0.998604
1150	-1557.806	-1625.247	67.44141	1	0.995216	0.993214	0.994916	0.996131	0.997918	0.998856	0.999147	0.996197	0.998604
1160	-1557.645	-1625.086	67.44141	1	0.995216	0.993214	0.994916	0.996131	0.997918	0.998856	0.999147	0.996197	0.998604
1170	-1557.746	-1625.188	67.44141	1	0.995216	0.993214	0.994916	0.996131	0.997918	0.998856	0.999147	0.996197	0.998604
1180	-1558.124	-1625.565	67.44141	1	0.995216	0.993214	0.994916	0.996131	0.997918	0.998856	0.999147	0.996197	0.998604
1190	-1558.71	-1626.151	67.44141	1	0.995216	0.993214	0.994916	0.996131	0.997918	0.998856	0.999147	0.996197	0.998604
1200	-1557.717	-1625.158	67.44141	1	0.995216	0.993214	0.994916	0.996131	0.997918	0.998856	0.999147	0.996197	0.998604
1210	-1557.671	-1625.112	67.44141	1	0.995216	0.993214	0.994916	0.996131	0.997918	0.998856	0.999147	0.996197	0.998604
1220	-1557.685	-1625.126	67.44141	1	0.995216	0.993214	0.994916	0.996131	0.997918	0.998856	0.999147	0.996197	0.998604
1230	-1557.627	-1625.068	67.44141	1	0.995216	0.993214	0.994916	0.996131	0.997918	0.998856	0.999147	0.996197	0.998604
1240	-1558.425	-1625.866	67.44141	1	0.995216	0.993214	0.994916	0.996131	0.997918	0.998856	0.999147	0.996197	0.998604
1250	-1557.727	-1625.168	67.44141	1	0.995216	0.993214	0.994916	0.996131	0.997918	0.998856	0.999147	0.996197	0.998604
1260	-1557.983	-1625.424	67.44141	1	0.995216	0.993214	0.994916	0.996131	0.997918	0.998856	0.999147	0.996197	0.998604
1270	-1557.659	-1625.101	67.44141	1	0.995216	0.993214	0.994916	0.996131	0.997918	0.998856	0.999147	0.996197	0.998604
1280	-1558.052	-1625.493	67.44141	1	0.995216	0.993214	0.994916	0.996131	0.997918	0.998856	0.999147	0.996197	0.998604
1290	-1558.604	-1626.045	67.44141	1	0.995216	0.993214	0.994916	0.996131	0.997918	0.998856	0.999147	0.996197	0.998604
1300	-1557.653	-1625.094	67.44141	1	0.995216	0.993214	0.994916	0.996131	0.997918	0.998856	0.999147	0.996197	0.998604
1310	-1557.717	-1625.158	67.44141	1	0.995216	0.993214	0.994916	0.996131	0.997918	0.998856	0.999147	0.996197	0.998604
1320	-1558.168	-1625.609	67.44141	1	0.995216	0.993214	0.994916	0.996131	0.997918	0.998856	0.999147	0.996197	0.998604
1330	-1557.972	-1625.414	67.44141	1	0.995216	0.993214	0.994916	0.996131	0.997918	0.998856	0.999147	0.996197	0.998604
1340	-1557.63	-1625.071	67.44141	1	0.995216	0.993214	0.994916	0.996131	0.997918	0.998856	0.999147	0.996197	0.998604
1350	-1557.865	-1625.307	67.44141	1	0.995216	0.993214	0.994916	0.996131	0.997918	0.998856	0.999147	0.996197	0.998604
1360	-1557.697	-1625.139	67.44141	1	0.995216	0.993214	0.994916	0.996131	0.997918	0.998856	0.999147	0.996197	0.998604
