Iteration	Replicate_ID	Posterior	Likelihood	Prior	interval_times[1]	interval_times[2]	interval_times[3]	interval_times[4]	interval_times[5]	interval_times[6]	interval_times[7]	interval_times[8]	interval_times[9]
0	0	Posterior	Likelihood	Prior	interval_times[1]	interval_times[2]	interval_times[3]	interval_times[4]	interval_times[5]	interval_times[6]	interval_times[7]	interval_times[8]	interval_times[9]
1	1	Posterior	Likelihood	Prior	interval_times[1]	interval_times[2]	interval_times[3]	interval_times[4]	interval_times[5]	interval_times[6]	interval_times[7]	interval_times[8]	interval_times[9]
52	0	-1574.11	-1625.268	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
53	1	-1557.626	-1625.068	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
54	0	-1573.909	-1625.067	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
55	1	-1557.727	-1625.168	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
56	0	-1573.909	-1625.067	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
57	1	-1557.727	-1625.168	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
58	0	-1575.005	-1626.162	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
59	1	-1557.751	-1625.193	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
60	0	-1575.005	-1626.162	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
61	1	-1557.751	-1625.193	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
62	0	-1573.91	-1625.068	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
63	1	-1558.071	-1625.513	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
64	0	-1573.91	-1625.068	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
65	1	-1558.071	-1625.513	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
66	0	-1574.11	-1625.268	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
67	1	-1559.163	-1626.604	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
68	0	-1574.11	-1625.268	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
69	1	-1559.163	-1626.604	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
70	0	-1573.946	-1625.104	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
71	1	-1557.628	-1625.07	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
72	0	-1573.946	-1625.104	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
73	1	-1557.628	-1625.07	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
74	0	-1573.929	-1625.087	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
75	1	-1558.983	-1626.425	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
76	0	-1573.929	-1625.087	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
77	1	-1558.983	-1626.425	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
78	0	-1574.592	-1625.75	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
79	1	-1557.626	-1625.067	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
80	0	-1574.592	-1625.75	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
81	1	-1557.626	-1625.067	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
82	0	-1573.926	-1625.084	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
83	1	-1557.658	-1625.099	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
84	0	-1573.926	-1625.084	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
85	1	-1557.658	-1625.099	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
86	0	-1574.181	-1625.338	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
87	1	-1557.993	-1625.434	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
88	0	-1574.181	-1625.338	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
89	1	-1557.993	-1625.434	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
90	0	-1579.167	-1630.325	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
91	1	-1558.013	-1625.454	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
92	0	-1579.167	-1630.325	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
93	1	-1558.013	-1625.454	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
94	0	-1574.195	-1625.353	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
95	1	-1557.736	-1625.178	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
96	0	-1574.195	-1625.353	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
97	1	-1557.736	-1625.178	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
98	0	-1573.919	-1625.076	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
99	1	-1557.822	-1625.264	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
100	0	-1573.919	-1625.076	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
101	1	-1557.822	-1625.264	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
102	0	-1573.915	-1625.072	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
103	1	-1557.635	-1625.076	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
104	0	-1573.915	-1625.072	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
105	1	-1557.635	-1625.076	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
106	0	-1573.965	-1625.123	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
107	1	-1557.631	-1625.073	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
108	0	-1573.965	-1625.123	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
109	1	-1557.631	-1625.073	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
110	0	-1574.364	-1625.521	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
111	1	-1557.978	-1625.419	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
112	0	-1574.364	-1625.521	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
113	1	-1557.978	-1625.419	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
114	0	-1574.265	-1625.423	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
115	1	-1557.688	-1625.129	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
116	0	-1574.265	-1625.423	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
117	1	-1557.688	-1625.129	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
118	0	-1574.501	-1625.659	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
119	1	-1558.24	-1625.681	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
120	0	-1574.501	-1625.659	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
121	1	-1558.24	-1625.681	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
122	0	-1573.913	-1625.071	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
123	1	-1558.855	-1626.296	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
124	0	-1573.913	-1625.071	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
125	1	-1558.855	-1626.296	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
126	0	-1574.02	-1625.177	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
127	1	-1558.871	-1626.312	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
128	0	-1574.02	-1625.177	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
129	1	-1558.871	-1626.312	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
130	0	-1574.426	-1625.584	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
131	1	-1557.974	-1625.416	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
132	0	-1574.426	-1625.584	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
133	1	-1557.974	-1625.416	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
