Iteration	Posterior	Likelihood	Prior	mu[1]	mu[2]	mu[3]	mu[4]	mu[5]	mu[6]	mu[7]	mu[8]	mu[9]	mu[10]
6080	-1557.836	-1625.277	67.44141	0.977946	0.981159	0.978484	0.977634	0.977846	0.986204	0.986609	0.982472	0.981981	0.982917
6090	-1557.767	-1625.209	67.44141	0.976422	0.976633	0.97397	0.97437	0.977571	0.977082	0.976234	0.977164	0.985516	0.981384
6100	-1557.667	-1625.108	67.44141	0.965592	0.973845	0.969762	0.96892	0.969843	0.97303	0.972543	0.969891	0.970289	0.970499
6110	-1557.673	-1625.114	67.44141	0.965327	0.968498	0.965857	0.965018	0.965227	0.973478	0.973877	0.969794	0.969309	0.970233
6120	-1558.792	-1626.234	67.44141	0.989404	0.990346	0.986194	0.985701	0.994126	0.994534	0.99367	0.993886	0.997151	0.994432
6130	-1557.726	-1625.168	67.44141	0.975323	0.978527	0.975859	0.975011	0.975223	0.983558	0.983962	0.979837	0.979347	0.98028
6140	-1557.811	-1625.252	67.44141	0.977424	0.974758	0.974969	0.978173	0.978574	0.977724	0.977236	0.985588	0.986527	0.982391
6150	-1557.658	-1625.1	67.44141	0.972779	0.972293	0.973219	0.973618	0.969536	0.969747	0.978035	0.975368	0.974521	0.977723
6160	-1557.76	-1625.201	67.44141	0.976244	0.977174	0.973077	0.972591	0.980904	0.981306	0.980454	0.980667	0.983889	0.981206
6170	-1558.014	-1625.455	67.44141	0.980999	0.981401	0.981614	0.981124	0.978448	0.97938	0.982598	0.978478	0.977629	0.985985
6180	-1557.806	-1625.247	67.44141	0.977315	0.974649	0.974861	0.978064	0.978465	0.977615	0.977127	0.985479	0.986417	0.982282
6190	-1557.627	-1625.069	67.44141	0.970151	0.967506	0.970685	0.970895	0.970052	0.97045	0.978745	0.978255	0.974154	0.975082
6200	-1559.532	-1626.973	67.44141	0.942925	0.943823	0.939866	0.939397	0.947426	0.947815	0.946992	0.947197	0.950309	0.947718
6210	-1557.807	-1625.248	67.44141	0.977343	0.978274	0.974173	0.973686	0.982008	0.982411	0.981558	0.981771	0.984996	0.98231
6220	-1558.241	-1625.683	67.44141	0.954505	0.953676	0.956809	0.964988	0.962356	0.958321	0.958529	0.959442	0.959836	0.959356
6230	-1558.29	-1625.731	67.44141	0.95392	0.949921	0.950826	0.958953	0.958474	0.957641	0.958034	0.961182	0.96139	0.958769
6240	-1558.166	-1625.608	67.44141	0.955454	0.955661	0.956053	0.953446	0.952969	0.956101	0.957011	0.95618	0.952172	0.96031
6250	-1557.68	-1625.122	67.44141	0.973768	0.969686	0.970609	0.978906	0.978416	0.977566	0.977968	0.981181	0.981394	0.978717
6260	-1557.827	-1625.268	67.44141	0.977763	0.980976	0.980124	0.977451	0.985806	0.986019	0.981886	0.982289	0.983224	0.982733
6270	-1557.765	-1625.206	67.44141	0.962365	0.965527	0.964688	0.962058	0.970281	0.970491	0.966422	0.966819	0.96774	0.967256
6280	-1558.017	-1625.459	67.44141	0.981048	0.980196	0.983416	0.991822	0.989117	0.98497	0.985184	0.986123	0.986527	0.986034
6290	-1557.626	-1625.068	67.44141	0.969866	0.97079	0.96672	0.966237	0.974495	0.974895	0.974049	0.97426	0.977461	0.974795
6300	-1559.667	-1627.108	67.44141	0.995773	0.995276	0.996224	0.996633	0.992454	0.99267	1.00115	0.998424	0.997557	1.00083
6310	-1557.766	-1625.207	67.44141	0.96234	0.962735	0.962944	0.962462	0.959838	0.960752	0.963909	0.959867	0.959034	0.967231
6320	-1558.024	-1625.466	67.44141	0.981149	0.984372	0.981688	0.980835	0.981048	0.989433	0.98984	0.98569	0.985197	0.986135
6330	-1557.664	-1625.106	67.44141	0.965705	0.968878	0.968037	0.965397	0.973648	0.97386	0.969777	0.970175	0.971099	0.970614
6340	-1557.639	-1625.081	67.44141	0.971582	0.971793	0.972192	0.969541	0.969056	0.97224	0.973166	0.972321	0.968245	0.97652
6350	-1558.775	-1626.216	67.44141	0.948954	0.957065	0.956234	0.952225	0.955353	0.956263	0.953656	0.953179	0.953386	0.953777
6360	-1557.642	-1625.084	67.44141	0.966966	0.967887	0.96383	0.963348	0.971582	0.971981	0.971136	0.971347	0.974539	0.971881
6370	-1557.646	-1625.087	67.44141	0.972074	0.971229	0.979531	0.982749	0.978629	0.97596	0.97689	0.977102	0.976613	0.977014
6380	-1558.18	-1625.621	67.44141	0.955283	0.955675	0.955197	0.955404	0.956314	0.953706	0.949708	0.952828	0.960973	0.960138
6390	-1557.761	-1625.202	67.44141	0.976257	0.972164	0.980474	0.981408	0.980555	0.980065	0.983285	0.983689	0.981006	0.981219
6400	-1558.486	-1625.927	67.44141	0.951753	0.95488	0.952276	0.951449	0.951655	0.959789	0.960183	0.956158	0.95568	0.95659
6410	-1558.311	-1625.752	67.44141	0.953674	0.951073	0.951279	0.954405	0.954797	0.953967	0.95349	0.96164	0.962556	0.958521
6420	-1557.629	-1625.071	67.44141	0.970519	0.970917	0.970432	0.970642	0.971567	0.968917	0.964855	0.968025	0.976299	0.975451
6430	-1558.869	-1626.31	67.44141	0.948117	0.947294	0.955391	0.95853	0.954511	0.951908	0.952815	0.953022	0.952545	0.952936
6440	-1557.631	-1625.073	67.44141	0.967963	0.968172	0.965532	0.965928	0.969102	0.968618	0.967776	0.968698	0.976978	0.972882
6450	-1557.653	-1625.095	67.44141	0.972519	0.969867	0.970077	0.973264	0.973664	0.972818	0.972332	0.980643	0.981577	0.977462
6460	-1557.844	-1625.286	67.44141	0.960566	0.960085	0.961	0.961395	0.957364	0.957572	0.965756	0.963123	0.962286	0.965448
6470	-1557.691	-1625.133	67.44141	0.974189	0.973702	0.974629	0.975029	0.970942	0.971152	0.979453	0.976782	0.975934	0.97914
6480	-1558.375	-1625.816	67.44141	0.952948	0.953856	0.949857	0.949382	0.957497	0.95789	0.957058	0.957265	0.96041	0.957791
6490	-1557.674	-1625.116	67.44141	0.973523	0.969441	0.977727	0.978659	0.977809	0.97732	0.980531	0.980933	0.978258	0.97847
6500	-1558.27	-1625.711	67.44141	0.984304	0.983449	0.98668	0.995113	0.9924	0.988239	0.988454	0.989395	0.989801	0.989306
6510	-1557.627	-1625.068	67.44141	0.970084	0.967439	0.970617	0.970828	0.969985	0.970383	0.978677	0.978188	0.974087	0.975015
6520	-1557.656	-1625.097	67.44141	0.972651	0.975846	0.974999	0.97234	0.980651	0.980864	0.976751	0.977152	0.978083	0.977594
6530	-1558.202	-1625.644	67.44141	0.98351	0.982656	0.985884	0.994311	0.9916	0.987442	0.987657	0.988597	0.989003	0.988509
6540	-1557.781	-1625.222	67.44141	0.976746	0.974083	0.977283	0.977495	0.976646	0.977047	0.985398	0.984905	0.980776	0.981711
6550	-1558.565	-1626.006	67.44141	0.950946	0.950471	0.950861	0.951767	0.951973	0.947982	0.945397	0.953477	0.95661	0.955779
6560	-1557.914	-1625.355	67.44141	0.959255	0.956639	0.956847	0.959991	0.960385	0.95955	0.959071	0.967268	0.96819	0.964131
6570	-1557.76	-1625.202	67.44141	0.97625	0.979458	0.978607	0.975938	0.98428	0.984493	0.980366	0.980768	0.981703	0.981212
6580	-1558.469	-1625.91	67.44141	0.951935	0.947944	0.956047	0.956957	0.956126	0.955648	0.958788	0.959182	0.956566	0.956773
6590	-1558.258	-1625.699	67.44141	0.98417	0.985108	0.984615	0.980487	0.98089	0.989274	0.989488	0.988629	0.985933	0.989172
6600	-1557.837	-1625.279	67.44141	0.977978	0.981191	0.980339	0.977665	0.986022	0.986235	0.982101	0.982504	0.98344	0.982948
6610	-1557.868	-1625.31	67.44141	0.978581	0.979513	0.975407	0.974919	0.983252	0.983655	0.982801	0.983014	0.986244	0.983554
6620	-1558.208	-1625.649	67.44141	0.95492	0.954443	0.954835	0.955744	0.955952	0.951944	0.949348	0.957462	0.960608	0.959774
6630	-1557.654	-1625.095	67.44141	0.966231	0.967151	0.963097	0.962615	0.970843	0.971241	0.970398	0.970608	0.973797	0.971142
6640	-1557.688	-1625.129	67.44141	0.964716	0.963878	0.967045	0.975311	0.972651	0.968573	0.968783	0.969706	0.970104	0.969619
6650	-1557.662	-1625.104	67.44141	0.97299	0.973917	0.969834	0.969349	0.977635	0.978036	0.977187	0.977398	0.98061	0.977936
6660	-1558.338	-1625.779	67.44141	0.953367	0.956499	0.955669	0.953062	0.961208	0.961417	0.957386	0.957779	0.958692	0.958212
6670	-1557.712	-1625.153	67.44141	0.963873	0.961245	0.964403	0.964612	0.963774	0.96417	0.972411	0.971925	0.96785	0.968772
6680	-1558.191	-1625.633	67.44141	0.983378	0.982886	0.983289	0.984226	0.98444	0.980312	0.977639	0.985995	0.989235	0.988376
6690	-1557.743	-1625.184	67.44141	0.975785	0.976714	0.976226	0.972133	0.972532	0.980845	0.981058	0.980206	0.977533	0.980744
6700	-1557.704	-1625.146	67.44141	0.96412	0.963283	0.971516	0.974708	0.970622	0.967975	0.968897	0.969107	0.968623	0.96902
6710	-1557.629	-1625.071	67.44141	0.968256	0.969178	0.965115	0.964632	0.972877	0.973277	0.972431	0.972642	0.975838	0.973177
6720	-1557.627	-1625.069	67.44141	0.970197	0.971121	0.96705	0.966566	0.974828	0.975228	0.974381	0.974592	0.977794	0.975128
6730	-1558.054	-1625.495	67.44141	0.981573	0.977458	0.985812	0.986751	0.985894	0.985401	0.988639	0.989045	0.986348	0.986561
6740	-1557.891	-1625.333	67.44141	0.959658	0.960052	0.96026	0.95978	0.957162	0.958074	0.961222	0.957192	0.956361	0.964535
6750	-1557.818	-1625.26	67.44141	0.977587	0.977799	0.9782	0.975533	0.975045	0.978249	0.97918	0.97833	0.974229	0.982556
6760	-1557.626	-1625.067	67.44141	0.969731	0.965666	0.966586	0.974847	0.97436	0.973514	0.973913	0.977113	0.977325	0.97466
6770	-1558.254	-1625.695	67.44141	0.954354	0.957489	0.956658	0.954049	0.962204	0.962412	0.958377	0.958771	0.959684	0.959204
6780	-1559.961	-1627.402	67.44141	0.940021	0.939204	0.947232	0.950344	0.94636	0.943779	0.944678	0.944883	0.944411	0.944798
6790	-1558.432	-1625.874	67.44141	0.986066	0.983377	0.98359	0.986822	0.987227	0.986369	0.985876	0.994303	0.99525	0.991078
6800	-1557.648	-1625.09	67.44141	0.972227	0.973154	0.972667	0.968589	0.968987	0.977269	0.977481	0.976632	0.973969	0.977169
6810	-1558.279	-1625.721	67.44141	0.984413	0.985351	0.984858	0.980729	0.981132	0.989518	0.989732	0.988873	0.986176	0.989416
6820	-1557.983	-1625.424	67.44141	0.958088	0.966277	0.965438	0.961391	0.964549	0.965468	0.962835	0.962354	0.962563	0.962958
6830	-1559.407	-1626.849	67.44141	0.994061	0.989894	0.990837	0.999306	0.998806	0.997939	0.998348	1.00163	1.00185	0.999114
6840	-1557.867	-1625.309	67.44141	0.978562	0.977712	0.980925	0.989309	0.986611	0.982475	0.982688	0.983624	0.984028	0.983536
6850	-1557.626	-1625.068	67.44141	0.969899	0.969057	0.97734	0.980551	0.97644	0.973777	0.974705	0.974916	0.974429	0.974829
6860	-1557.628	-1625.069	67.44141	0.970261	0.973449	0.970794	0.969951	0.970161	0.978453	0.978855	0.974751	0.974264	0.975192
6870	-1557.645	-1625.086	67.44141	0.972013	0.972939	0.972452	0.968375	0.968773	0.977053	0.977265	0.976417	0.973754	0.976953
6880	-1557.797	-1625.238	67.44141	0.977123	0.974459	0.97766	0.977872	0.977023	0.977424	0.985778	0.985285	0.981155	0.982089
6890	-1558.865	-1626.307	67.44141	0.948148	0.956252	0.952243	0.951416	0.952323	0.955451	0.954974	0.95237	0.95276	0.952967
6900	-1557.626	-1625.068	67.44141	0.969925	0.96728	0.96749	0.970669	0.971067	0.970224	0.969739	0.978027	0.978959	0.974855
6910	-1557.626	-1625.068	67.44141	0.968981	0.972165	0.97132	0.968672	0.976951	0.977163	0.973066	0.973466	0.974393	0.973906
6920	-1558.951	-1626.393	67.44141	0.94741	0.947615	0.948004	0.945419	0.944946	0.948051	0.948954	0.94813	0.944155	0.952225
6930	-1557.643	-1625.085	67.44141	0.971892	0.969242	0.969452	0.972637	0.973037	0.972191	0.971705	0.980011	0.980944	0.976832
6940	-1559.999	-1627.44	67.44141	0.939775	0.937212	0.940292	0.940496	0.939679	0.940064	0.948099	0.947625	0.943653	0.944552
6950	-1557.639	-1625.08	67.44141	0.971528	0.970684	0.973873	0.982197	0.979519	0.975412	0.975624	0.976553	0.976954	0.976466
6960	-1557.63	-1625.071	67.44141	0.970576	0.966507	0.974768	0.975696	0.974849	0.974362	0.977563	0.977964	0.975297	0.975509
6970	-1558.82	-1626.262	67.44141	0.948545	0.947721	0.955822	0.958962	0.954942	0.952338	0.953245	0.953452	0.952975	0.953366
6980	-1557.627	-1625.068	67.44141	0.969964	0.973151	0.972306	0.969654	0.977942	0.978154	0.974053	0.974453	0.975381	0.974894
6990	-1558.166	-1625.608	67.44141	0.983067	0.980386	0.980599	0.983821	0.984225	0.98337	0.982878	0.991279	0.992223	0.988064
7000	-1558.151	-1625.592	67.44141	0.955655	0.955863	0.953256	0.953647	0.956781	0.956302	0.955472	0.956382	0.964556	0.960513
7010	-1557.992	-1625.433	67.44141	0.957943	0.958856	0.958376	0.954358	0.95475	0.962911	0.963119	0.962283	0.959659	0.962812
7020	-1557.65	-1625.092	67.44141	0.972336	0.972547	0.972946	0.970293	0.969808	0.972994	0.973921	0.973075	0.968996	0.977278
7030	-1558.811	-1626.252	67.44141	0.989557	0.985409	0.993831	0.994778	0.993914	0.993417	0.996681	0.99709	0.994371	0.994587
7040	-1557.69	-1625.131	67.44141	0.974128	0.975056	0.970969	0.970483	0.978778	0.97918	0.97833	0.978542	0.981757	0.979079
7050	-1557.737	-1625.178	67.44141	0.975621	0.972961	0.976157	0.976369	0.975521	0.975922	0.984263	0.983771	0.979647	0.98058
7060	-1557.796	-1625.237	67.44141	0.961611	0.960776	0.963933	0.972172	0.96952	0.965456	0.965665	0.966585	0.966982	0.966498
7070	-1557.686	-1625.127	67.44141	0.964791	0.967961	0.967121	0.964483	0.972727	0.972938	0.968859	0.969257	0.97018	0.969695
7080	-1557.682	-1625.123	67.44141	0.964947	0.968117	0.967277	0.964639	0.972884	0.973095	0.969015	0.969413	0.970337	0.969851
7090	-1557.798	-1625.239	67.44141	0.977146	0.977358	0.974693	0.975093	0.978297	0.977808	0.976958	0.977889	0.986247	0.982113
7100	-1557.726	-1625.168	67.44141	0.975328	0.972668	0.972879	0.976075	0.976476	0.975628	0.97514	0.983475	0.984412	0.980285
7110	-1558.212	-1625.654	67.44141	0.98363	0.982775	0.986004	0.994432	0.99172	0.987562	0.987777	0.988718	0.989123	0.988629
7120	-1558.016	-1625.457	67.44141	0.957575	0.957968	0.957489	0.957696	0.958609	0.955994	0.951987	0.955114	0.963278	0.962441
7130	-1557.968	-1625.409	67.44141	0.958336	0.958543	0.955929	0.956322	0.959464	0.958984	0.958151	0.959064	0.967261	0.963206
7140	-1557.642	-1625.084	67.44141	0.971816	0.975009	0.974162	0.971506	0.97981	0.980022	0.975913	0.976314	0.977244	0.976755
7150	-1557.821	-1625.262	67.44141	0.961061	0.96058	0.960974	0.96189	0.962098	0.958065	0.955452	0.963619	0.966785	0.965945
7160	-1557.643	-1625.084	67.44141	0.971844	0.97277	0.972284	0.968207	0.968605	0.976884	0.977096	0.976247	0.973585	0.976783
7170	-1557.868	-1625.31	67.44141	0.960095	0.959261	0.962413	0.970639	0.967992	0.963934	0.964143	0.965061	0.965457	0.964974
7180	-1557.629	-1625.07	67.44141	0.970463	0.969978	0.970376	0.9713	0.971511	0.967438	0.9648	0.973046	0.976243	0.975395
7190	-1557.662	-1625.103	67.44141	0.965811	0.966207	0.966417	0.965934	0.9633	0.964217	0.967385	0.96333	0.962493	0.97072
7200	-1557.718	-1625.159	67.44141	0.963686	0.966852	0.966012	0.963378	0.971612	0.971823	0.967749	0.968146	0.969068	0.968584
7210	-1558.828	-1626.269	67.44141	0.948478	0.949381	0.945401	0.944929	0.953005	0.953396	0.952568	0.952775	0.955905	0.953299
7220	-1557.655	-1625.096	67.44141	0.966187	0.974445	0.97036	0.969517	0.970441	0.973629	0.973142	0.970488	0.970887	0.971097
7230	-1557.688	-1625.13	67.44141	0.964685	0.967855	0.967014	0.964377	0.97262	0.972831	0.968752	0.96915	0.970073	0.969588
7240	-1557.641	-1625.082	67.44141	0.967105	0.975371	0.974524	0.970439	0.973627	0.974555	0.971897	0.971411	0.971622	0.97202
7250	-1558.185	-1625.626	67.44141	0.983297	0.9837	0.983209	0.983422	0.984359	0.981674	0.977559	0.98077	0.989153	0.988294
7260	-1558.571	-1626.013	67.44141	0.950886	0.95401	0.953181	0.950582	0.958707	0.958915	0.954895	0.955287	0.956197	0.955719
7270	-1557.768	-1625.21	67.44141	0.962276	0.96144	0.969658	0.972844	0.968765	0.966124	0.967044	0.967254	0.96677	0.967167
7280	-1557.631	-1625.073	67.44141	0.970826	0.971751	0.967677	0.967193	0.97546	0.97586	0.975013	0.975224	0.978428	0.97576
7290	-1557.679	-1625.12	67.44141	0.973708	0.974107	0.97362	0.973832	0.974759	0.972101	0.968026	0.971206	0.979507	0.978657
7300	-1558.811	-1626.253	67.44141	0.989564	0.998022	0.997155	0.992975	0.996237	0.997186	0.994467	0.99397	0.994185	0.994593
7310	-1557.674	-1625.115	67.44141	0.973506	0.974433	0.970348	0.969863	0.978153	0.978554	0.977704	0.977916	0.981129	0.978454
7320	-1557.856	-1625.298	67.44141	0.978355	0.978567	0.978969	0.976299	0.975811	0.979017	0.97995	0.979099	0.974994	0.983328
7330	-1557.725	-1625.167	67.44141	0.975297	0.974809	0.975738	0.976138	0.972046	0.972257	0.980567	0.977893	0.977043	0.980253
7340	-1557.702	-1625.143	67.44141	0.964208	0.967376	0.964738	0.9639	0.964109	0.97235	0.972749	0.968671	0.968187	0.969109
7350	-1557.678	-1625.12	67.44141	0.965074	0.965993	0.96551	0.961462	0.961857	0.970078	0.970289	0.969446	0.966802	0.969979
7360	-1558.364	-1625.806	67.44141	0.985351	0.993773	0.99291	0.988747	0.991996	0.992941	0.990233	0.989738	0.989953	0.990359
7370	-1558.647	-1626.088	67.44141	0.950145	0.95105	0.947062	0.946589	0.95468	0.955072	0.954242	0.954449	0.957585	0.954974
7380	-1557.693	-1625.134	67.44141	0.96453	0.965449	0.961402	0.960921	0.969134	0.969532	0.96869	0.9689	0.972084	0.969433
7390	-1557.67	-1625.111	67.44141	0.973321	0.973532	0.973931	0.971275	0.97079	0.973979	0.974907	0.974061	0.969977	0.978268
7400	-1557.975	-1625.416	67.44141	0.980397	0.9808	0.981012	0.980522	0.977848	0.978779	0.981995	0.977878	0.977029	0.98538
7410	-1557.934	-1625.376	67.44141	0.958891	0.956276	0.959418	0.959626	0.958793	0.959186	0.967385	0.966901	0.962847	0.963765
7420	-1557.729	-1625.171	67.44141	0.963329	0.962492	0.970719	0.973908	0.969825	0.967181	0.968102	0.968312	0.967828	0.968225
7430	-1558.066	-1625.507	67.44141	0.956829	0.952818	0.953725	0.961877	0.961396	0.960561	0.960956	0.964113	0.964322	0.961692
7440	-1561.478	-1628.92	67.44141	0.931363	0.930898	0.93128	0.932167	0.932369	0.92846	0.925928	0.933842	0.936911	0.936097
7450	-1558.907	-1626.349	67.44141	0.947787	0.947993	0.948382	0.945796	0.945323	0.948429	0.949332	0.948508	0.944531	0.952604
7460	-1557.694	-1625.136	67.44141	0.9743	0.973454	0.976652	0.985	0.982314	0.978196	0.978408	0.97934	0.979742	0.979252
7470	-1557.626	-1625.067	67.44141	0.969009	0.966366	0.966576	0.969751	0.970149	0.969307	0.968822	0.977103	0.978034	0.973934
7480	-1559.966	-1627.408	67.44141	0.997621	0.997837	0.995116	0.995524	0.998795	0.998296	0.997429	0.998379	1.00691	1.00269
7490	-1557.633	-1625.075	67.44141	0.967775	0.967291	0.967688	0.96861	0.96882	0.964758	0.962128	0.970351	0.973539	0.972694
7500	-1557.632	-1625.073	67.44141	0.970861	0.971786	0.967712	0.967228	0.975495	0.975896	0.975048	0.97526	0.978464	0.975795
7510	-1558.617	-1626.058	67.44141	0.950435	0.94645	0.947352	0.955449	0.954972	0.954142	0.954534	0.95767	0.957878	0.955265
7520	-1557.702	-1625.143	67.44141	0.964205	0.963367	0.971602	0.974794	0.970707	0.96806	0.968982	0.969192	0.968708	0.969105
7530	-1558.916	-1626.357	67.44141	0.990423	0.989563	0.998021	1.0013	0.997102	0.994383	0.995331	0.995547	0.995049	0.995457
7540	-1557.898	-1625.34	67.44141	0.97913	0.975026	0.983359	0.984296	0.983441	0.98295	0.986179	0.986584	0.983893	0.984107
7550	-1557.629	-1625.071	67.44141	0.970538	0.969695	0.972881	0.981197	0.978521	0.974419	0.97463	0.975558	0.975959	0.975471
7560	-1557.711	-1625.153	67.44141	0.963887	0.967054	0.966214	0.963579	0.971815	0.972026	0.967951	0.968348	0.96927	0.968786
7570	-1557.649	-1625.091	67.44141	0.972277	0.971432	0.979736	0.982955	0.978834	0.976164	0.977094	0.977306	0.976818	0.977218
7580	-1557.845	-1625.287	67.44141	0.960546	0.956519	0.95743	0.965614	0.965131	0.964293	0.964688	0.967858	0.968068	0.965428
7590	-1558.791	-1626.233	67.44141	0.989393	0.985245	0.993667	0.994613	0.993749	0.993253	0.996516	0.996925	0.994206	0.994422
7600	-1557.854	-1625.296	67.44141	0.960366	0.960574	0.960968	0.958348	0.957869	0.961016	0.961931	0.961096	0.957066	0.965247
7610	-1558.185	-1625.626	67.44141	0.983297	0.986527	0.983837	0.982983	0.983196	0.9916	0.992007	0.987848	0.987354	0.988294
7620	-1557.644	-1625.086	67.44141	0.966829	0.967039	0.967436	0.964798	0.964315	0.967484	0.968405	0.967564	0.963508	0.971743
7630	-1558.198	-1625.64	67.44141	0.983461	0.979338	0.98027	0.988649	0.988155	0.987297	0.987702	0.990947	0.991162	0.988459
7640	-1558.031	-1625.472	67.44141	0.957344	0.957552	0.95494	0.955332	0.958471	0.957992	0.95716	0.958072	0.966261	0.96221
7650	-1558.107	-1625.548	67.44141	0.982298	0.981445	0.98467	0.993086	0.990378	0.986226	0.98644	0.987379	0.987785	0.987291
7660	-1557.734	-1625.175	67.44141	0.975547	0.971457	0.972383	0.980694	0.980204	0.979353	0.979754	0.982974	0.983187	0.980506
7670	-1557.647	-1625.089	67.44141	0.966635	0.969811	0.968969	0.966326	0.974586	0.974797	0.97071	0.971109	0.972034	0.971548
7680	-1557.886	-1625.328	67.44141	0.959752	0.960666	0.960186	0.95616	0.956553	0.964729	0.964938	0.9641	0.961471	0.96463
7690	-1558.172	-1625.613	67.44141	0.983139	0.986369	0.983679	0.982825	0.983038	0.99144	0.991847	0.987689	0.987195	0.988136
7700	-1557.85	-1625.291	67.44141	0.97823	0.974129	0.982455	0.983391	0.982537	0.982046	0.985272	0.985677	0.982989	0.983202
7710	-1559.075	-1626.516	67.44141	0.94639	0.945568	0.948675	0.956784	0.954174	0.950174	0.95038	0.951286	0.951676	0.9512
7720	-1558.247	-1625.689	67.44141	0.984045	0.984449	0.984662	0.98417	0.981486	0.982421	0.985649	0.981517	0.980664	0.989046
7730	-1557.864	-1625.306	67.44141	0.96017	0.95969	0.960605	0.960999	0.95697	0.957178	0.965359	0.962726	0.96189	0.96505
7740	-1558.488	-1625.93	67.44141	0.951728	0.952634	0.948641	0.948166	0.956271	0.956663	0.955832	0.95604	0.959181	0.956565
7750	-1557.688	-1625.13	67.44141	0.974088	0.973242	0.981561	0.984786	0.980657	0.977983	0.978914	0.979127	0.978637	0.979039
7760	-1558.05	-1625.491	67.44141	0.957068	0.960213	0.959379	0.956763	0.96494	0.96515	0.961103	0.961498	0.962414	0.961933
7770	-1557.709	-1625.15	67.44141	0.974794	0.974306	0.974706	0.975635	0.975846	0.971755	0.969105	0.977389	0.9806	0.979748
7780	-1557.758	-1625.2	67.44141	0.976201	0.979408	0.976737	0.975889	0.976101	0.984444	0.984848	0.980719	0.980228	0.981162
7790	-1558.127	-1625.568	67.44141	0.98256	0.990959	0.986804	0.985947	0.986886	0.990129	0.989634	0.986935	0.98734	0.987554
7800	-1557.63	-1625.071	67.44141	0.970598	0.967951	0.971131	0.971342	0.970498	0.970896	0.979195	0.978705	0.974602	0.975531
7810	-1557.769	-1625.21	67.44141	0.976465	0.977395	0.973297	0.972811	0.981126	0.981528	0.980676	0.980889	0.984111	0.981428
7820	-1557.683	-1625.125	67.44141	0.96488	0.96509	0.965486	0.962853	0.962371	0.965533	0.966453	0.965614	0.961565	0.969784
7830	-1557.77	-1625.212	67.44141	0.976496	0.979704	0.977032	0.976184	0.976396	0.984741	0.985145	0.981015	0.980525	0.981459
7840	-1557.796	-1625.237	67.44141	0.977093	0.977305	0.977706	0.97504	0.974553	0.977755	0.978686	0.977836	0.973737	0.982059
7850	-1558.406	-1625.848	67.44141	0.985795	0.984938	0.988175	0.996621	0.993903	0.989736	0.989951	0.990894	0.991301	0.990805
7860	-1558.035	-1625.476	67.44141	0.9813	0.981703	0.981916	0.981425	0.978748	0.979681	0.982899	0.978779	0.977929	0.986287
7870	-1558.565	-1626.006	67.44141	0.987367	0.987772	0.987987	0.987493	0.9848	0.985738	0.988977	0.98483	0.983975	0.992385
7880	-1557.639	-1625.08	67.44141	0.97153	0.974722	0.972064	0.971219	0.97143	0.979733	0.980135	0.976026	0.975538	0.976468
7890	-1557.773	-1625.215	67.44141	0.976573	0.975725	0.978931	0.987298	0.984606	0.980478	0.98069	0.981625	0.982028	0.981537
7900	-1558.378	-1625.82	67.44141	0.952911	0.956042	0.955212	0.952607	0.960749	0.960958	0.956929	0.957322	0.958234	0.957755
7910	-1558.052	-1625.493	67.44141	0.981545	0.989934	0.985784	0.984928	0.985866	0.989106	0.988611	0.985915	0.98632	0.986534
7920	-1557.91	-1625.351	67.44141	0.959323	0.962474	0.95985	0.959016	0.959224	0.967423	0.96782	0.963762	0.963281	0.964198
7930	-1557.764	-1625.206	67.44141	0.976353	0.979561	0.976889	0.976041	0.976253	0.984597	0.985001	0.980872	0.980381	0.981315
7940	-1557.767	-1625.209	67.44141	0.9623	0.962508	0.959883	0.960277	0.963432	0.962951	0.962114	0.963031	0.971262	0.96719
7950	-1557.777	-1625.219	67.44141	0.962058	0.970281	0.969438	0.965374	0.968546	0.969469	0.966825	0.966341	0.966551	0.966948
7960	-1557.793	-1625.235	67.44141	0.977045	0.972949	0.973875	0.982199	0.981708	0.980856	0.981258	0.984482	0.984696	0.982011
7970	-1558.011	-1625.452	67.44141	0.957652	0.960798	0.959964	0.957346	0.965529	0.965738	0.961689	0.962084	0.963	0.962519
7980	-1558.672	-1626.113	67.44141	0.949906	0.958025	0.954009	0.95318	0.954088	0.957223	0.956744	0.954135	0.954527	0.954734
7990	-1557.843	-1625.285	67.44141	0.978095	0.979027	0.978538	0.974435	0.974835	0.983167	0.983381	0.982527	0.979847	0.983067
8000	-1557.665	-1625.106	67.44141	0.973096	0.973495	0.973009	0.97322	0.974147	0.97149	0.967417	0.970596	0.978892	0.978042
8010	-1558.499	-1625.941	67.44141	0.986735	0.995169	0.994305	0.990136	0.993389	0.994336	0.991624	0.991128	0.991343	0.99175
8020	-1557.707	-1625.148	67.44141	0.974716	0.977918	0.975251	0.974405	0.974616	0.982946	0.98335	0.979227	0.978737	0.97967
8030	-1557.957	-1625.398	67.44141	0.958518	0.955904	0.959044	0.959252	0.958419	0.958813	0.967008	0.966525	0.962472	0.963389
8040	-1557.748	-1625.189	67.44141	0.962811	0.963207	0.962725	0.962934	0.963851	0.961223	0.957193	0.960338	0.968546	0.967705
8050	-1558.558	-1625.999	67.44141	0.987301	0.995739	0.991565	0.990704	0.991647	0.994905	0.994408	0.991696	0.992103	0.992318
