Iteration	Posterior	Likelihood	Prior	mu[1]	mu[2]	mu[3]	mu[4]	mu[5]	mu[6]	mu[7]	mu[8]	mu[9]	mu[10]
450	-1558.012	-1625.454	67.44141	0.980974	0.989359	0.9885	0.984356	0.98759	0.988531	0.985835	0.985342	0.985556	0.98596
460	-1557.951	-1625.392	67.44141	0.958616	0.957784	0.96597	0.969144	0.965081	0.962449	0.963366	0.963575	0.963093	0.963488
470	-1558.354	-1625.796	67.44141	0.985246	0.981116	0.98205	0.990444	0.989949	0.989089	0.989495	0.992746	0.992961	0.990254
480	-1558.539	-1625.981	67.44141	0.951206	0.948612	0.951728	0.951935	0.951108	0.951498	0.959631	0.959151	0.95513	0.95604
490	-1557.961	-1625.402	67.44141	0.980183	0.980585	0.980095	0.980308	0.981242	0.978566	0.974463	0.977665	0.986021	0.985165
500	-1558.276	-1625.718	67.44141	0.984379	0.983524	0.986755	0.995189	0.992475	0.988314	0.988529	0.98947	0.989877	0.989382
510	-1557.665	-1625.106	67.44141	0.965676	0.964837	0.968007	0.976281	0.973619	0.969537	0.969747	0.970671	0.971069	0.970584
520	-1558.043	-1625.484	67.44141	0.981416	0.981819	0.982032	0.981541	0.978864	0.979796	0.983016	0.978894	0.978044	0.986404
530	-1557.702	-1625.144	67.44141	0.974573	0.982903	0.982049	0.977932	0.981145	0.98208	0.979402	0.978912	0.979124	0.979526
540	-1557.872	-1625.313	67.44141	0.960022	0.968228	0.967387	0.963331	0.966496	0.967417	0.964779	0.964296	0.964506	0.964901
550	-1558.054	-1625.495	67.44141	0.981573	0.981082	0.982017	0.98242	0.978301	0.978513	0.986877	0.984186	0.983331	0.986562
560	-1557.628	-1625.07	67.44141	0.968466	0.967982	0.968904	0.969302	0.965238	0.965447	0.973699	0.971044	0.970201	0.973388
570	-1557.653	-1625.094	67.44141	0.966312	0.967232	0.966749	0.962696	0.963091	0.971323	0.971533	0.97069	0.968042	0.971223
580	-1558.231	-1625.673	67.44141	0.983858	0.983003	0.986233	0.994663	0.99195	0.987791	0.988006	0.988947	0.989353	0.988858
590	-1557.842	-1625.283	67.44141	0.960614	0.968825	0.964763	0.963926	0.964844	0.968014	0.96753	0.964891	0.965287	0.965497
600	-1558.991	-1626.433	67.44141	0.947073	0.946251	0.954339	0.957474	0.95346	0.95086	0.951766	0.951972	0.951496	0.951887
610	-1557.89	-1625.331	67.44141	0.959682	0.957065	0.957273	0.960418	0.960812	0.959978	0.959498	0.967699	0.968621	0.96456
620	-1557.82	-1625.261	67.44141	0.977616	0.97495	0.978153	0.978365	0.977515	0.977917	0.986275	0.985782	0.981649	0.982584
630	-1559.735	-1627.176	67.44141	0.996206	0.993489	0.993705	0.99697	0.997379	0.996513	0.996014	1.00453	1.00548	1.00127
640	-1557.638	-1625.079	67.44141	0.971487	0.970644	0.97894	0.982157	0.978039	0.975372	0.976301	0.976513	0.976024	0.976425
650	-1557.666	-1625.108	67.44141	0.965614	0.973868	0.969785	0.968943	0.969866	0.973052	0.972566	0.969914	0.970312	0.970522
660	-1557.737	-1625.179	67.44141	0.975646	0.975158	0.975558	0.976487	0.976699	0.972605	0.969952	0.978243	0.981457	0.980604
670	-1558.014	-1625.455	67.44141	0.957604	0.965789	0.96495	0.960905	0.964062	0.96498	0.962349	0.961867	0.962076	0.962471
680	-1560.079	-1627.521	67.44141	0.939266	0.947294	0.946471	0.942503	0.9456	0.946501	0.94392	0.943448	0.943652	0.94404
690	-1558.867	-1626.308	67.44141	0.990026	0.990432	0.990647	0.990152	0.987451	0.988392	0.991639	0.987482	0.986624	0.995057
700	-1557.802	-1625.244	67.44141	0.961467	0.961676	0.962071	0.959447	0.958967	0.962118	0.963035	0.962198	0.958164	0.966354
710	-1557.753	-1625.194	67.44141	0.962677	0.962195	0.96259	0.963507	0.963716	0.959676	0.957059	0.965239	0.968411	0.96757
720	-1558.31	-1625.752	67.44141	0.953682	0.956815	0.955984	0.953377	0.961526	0.961735	0.957703	0.958096	0.959008	0.958529
730	-1557.851	-1625.292	67.44141	0.978246	0.977397	0.985751	0.98899	0.984843	0.982158	0.983093	0.983306	0.982815	0.983218
740	-1557.628	-1625.069	67.44141	0.970275	0.970673	0.970188	0.970399	0.971323	0.968674	0.964613	0.967782	0.976054	0.975207
750	-1557.676	-1625.118	67.44141	0.965165	0.973415	0.969334	0.968492	0.969414	0.972599	0.972113	0.969462	0.96986	0.97007
760	-1558.949	-1626.39	67.44141	0.94743	0.948332	0.947858	0.943884	0.944272	0.952343	0.952549	0.951722	0.949127	0.952245
770	-1557.675	-1625.117	67.44141	0.965212	0.965608	0.965817	0.965334	0.962702	0.963619	0.966785	0.962732	0.961896	0.970117
780	-1558.129	-1625.571	67.44141	0.982595	0.985823	0.983135	0.982281	0.982494	0.990892	0.991298	0.987142	0.986649	0.987589
790	-1558.088	-1625.529	67.44141	0.95652	0.957432	0.953418	0.952941	0.961086	0.961481	0.960646	0.960854	0.964011	0.961382
800	-1557.869	-1625.31	67.44141	0.960089	0.95747	0.957678	0.960825	0.961219	0.960384	0.959904	0.968109	0.969031	0.964968
810	-1557.894	-1625.335	67.44141	0.959617	0.959137	0.959531	0.960445	0.960653	0.956626	0.954017	0.962171	0.965333	0.964494
820	-1558.255	-1625.697	67.44141	0.98414	0.981456	0.981669	0.984894	0.985298	0.984443	0.98395	0.99236	0.993306	0.989142
830	-1558.274	-1625.716	67.44141	0.984356	0.983864	0.984801	0.985205	0.981075	0.981287	0.989675	0.986976	0.986119	0.989359
840	-1557.645	-1625.086	67.44141	0.966816	0.97508	0.974233	0.970148	0.973336	0.974263	0.971606	0.971121	0.971331	0.97173
850	-1558.715	-1626.156	67.44141	0.949505	0.950409	0.946425	0.945952	0.954037	0.954428	0.9536	0.953806	0.95694	0.95433
860	-1557.628	-1625.069	67.44141	0.97031	0.969825	0.970223	0.971148	0.971358	0.967286	0.964648	0.972893	0.97609	0.975242
870	-1557.629	-1625.07	67.44141	0.970461	0.971385	0.9709	0.966829	0.967226	0.975493	0.975705	0.974858	0.972199	0.975393
