Iteration	Replicate_ID	Posterior	Likelihood	Prior	mu[1]	mu[2]	mu[3]	mu[4]	mu[5]	mu[6]	mu[7]	mu[8]	mu[9]	mu[10]
43	1	-1557.993	-1625.434	67.44141	0.957935	0.957457	0.957849	0.958762	0.95897	0.95495	0.952345	0.960485	0.963641	0.962804
44	0	-1579.167	-1630.325	51.15772	0.924687	0.922298	0.923015	0.923825	0.924851	0.924473	0.925174	0.926878	0.929634	0.926876
45	1	-1558.013	-1625.454	67.44141	0.957619	0.953604	0.954513	0.962671	0.96219	0.961354	0.961749	0.964909	0.965118	0.962486
46	0	-1574.195	-1625.353	51.15772	0.959299	0.962151	0.962881	0.960025	0.961091	0.962861	0.963609	0.963214	0.960726	0.961569
47	1	-1557.736	-1625.178	67.44141	0.963127	0.96229	0.965452	0.973704	0.971048	0.966977	0.967187	0.968109	0.968506	0.968022
48	0	-1573.919	-1625.076	51.15772	0.967577	0.968427	0.965924	0.965529	0.966279	0.968058	0.969134	0.966259	0.966992	0.969867
49	1	-1557.822	-1625.264	67.44141	0.977673	0.977184	0.978115	0.978517	0.974414	0.974626	0.982956	0.980275	0.979424	0.982642
50	0	-1573.915	-1625.072	51.15772	0.968026	0.96876	0.969836	0.97272	0.973476	0.970588	0.96808	0.969863	0.970714	0.970316
51	1	-1557.635	-1625.076	67.44141	0.971214	0.979515	0.978664	0.974561	0.977763	0.978695	0.976026	0.975538	0.975749	0.97615
52	0	-1573.965	-1625.123	51.15772	0.964943	0.964548	0.966324	0.967172	0.964303	0.961811	0.964671	0.965421	0.966153	0.967226
53	1	-1557.631	-1625.073	67.44141	0.967976	0.967492	0.968414	0.968811	0.96475	0.964959	0.973207	0.970553	0.96971	0.972896
54	0	-1574.364	-1625.521	51.15772	0.981935	0.979398	0.980258	0.98102	0.980618	0.981707	0.983515	0.984261	0.981341	0.984259
55	1	-1557.978	-1625.419	67.44141	0.980447	0.983668	0.980986	0.980134	0.980346	0.988725	0.989131	0.984984	0.984492	0.98543
56	0	-1574.265	-1625.423	51.15772	0.958113	0.957721	0.959484	0.960326	0.957477	0.955003	0.957843	0.958587	0.959315	0.96038
57	1	-1557.688	-1625.129	67.44141	0.964717	0.965636	0.961587	0.961107	0.969321	0.969719	0.968877	0.969087	0.972271	0.96962
58	0	-1574.501	-1625.659	51.15772	0.954797	0.95233	0.953166	0.953907	0.953516	0.954575	0.956333	0.957059	0.954219	0.957057
59	1	-1558.24	-1625.681	67.44141	0.983962	0.984899	0.98077	0.980279	0.988658	0.989064	0.988205	0.988419	0.991667	0.988963
