Iteration	Replicate_ID	Posterior	Likelihood	Prior	mu[1]	mu[2]	mu[3]	mu[4]	mu[5]	mu[6]	mu[7]	mu[8]	mu[9]	mu[10]
3097	1	-1557.626	-1625.067	67.44141	0.969614	0.965549	0.966469	0.974729	0.974242	0.973396	0.973795	0.976995	0.977207	0.974542
3098	0	-1574.057	-1625.215	51.15772	0.976575	0.977334	0.97842	0.975892	0.976632	0.977489	0.980396	0.979995	0.977087	0.978886
3099	1	-1557.693	-1625.134	67.44141	0.964526	0.964736	0.965132	0.9625	0.962018	0.965179	0.966099	0.96526	0.961213	0.969429
3100	0	-1573.993	-1625.15	51.15772	0.974795	0.975878	0.976619	0.977377	0.980284	0.977751	0.97485	0.975706	0.977502	0.977102
3101	1	-1557.67	-1625.111	67.44141	0.973328	0.973727	0.97324	0.973451	0.974379	0.971721	0.967648	0.970827	0.979125	0.978274
3102	0	-1574.192	-1625.35	51.15772	0.979306	0.976775	0.977534	0.978392	0.979479	0.979078	0.979821	0.981625	0.984544	0.981623
3103	1	-1557.626	-1625.067	67.44141	0.969475	0.966831	0.967041	0.970218	0.970616	0.969773	0.969288	0.977573	0.978504	0.974402
3104	0	-1574.327	-1625.484	51.15772	0.981421	0.982511	0.983257	0.984021	0.986947	0.984397	0.981476	0.982338	0.984147	0.983744
3105	1	-1557.678	-1625.12	67.44141	0.973697	0.973211	0.97361	0.974537	0.974749	0.970662	0.968015	0.976289	0.979497	0.978646
3106	0	-1573.98	-1625.137	51.15772	0.974361	0.975216	0.974817	0.972298	0.974088	0.974845	0.971953	0.973033	0.975926	0.976667
3107	1	-1558.331	-1625.773	67.44141	0.953443	0.961592	0.957561	0.956729	0.95764	0.960787	0.960306	0.957688	0.958081	0.958289
3108	0	-1573.931	-1625.089	51.15772	0.966636	0.96624	0.967088	0.968869	0.966366	0.963499	0.964248	0.967115	0.968189	0.968924
3109	1	-1558.945	-1626.386	67.44141	0.990655	0.99391	0.9912	0.990339	0.990554	0.99902	0.99943	0.99524	0.994743	0.99569
3110	0	-1573.976	-1625.134	51.15772	0.974227	0.974966	0.976049	0.978952	0.979712	0.976806	0.974282	0.976076	0.976933	0.976533
3111	1	-1557.936	-1625.378	67.44141	0.958856	0.958023	0.961171	0.969386	0.966742	0.962689	0.962898	0.963815	0.964211	0.963729
3112	0	-1574.134	-1625.292	51.15772	0.978242	0.977841	0.979642	0.980502	0.977593	0.975067	0.977966	0.978726	0.979469	0.980557
3113	1	-1558.046	-1625.488	67.44141	0.981465	0.98469	0.982005	0.981152	0.981365	0.989753	0.990159	0.986008	0.985515	0.986454
3114	0	-1574.069	-1625.227	51.15772	0.976864	0.977623	0.978709	0.97618	0.97692	0.977778	0.980685	0.980284	0.977376	0.979175
3115	1	-1557.744	-1625.186	67.44141	0.975837	0.979043	0.978193	0.975525	0.983863	0.984077	0.979951	0.980353	0.981287	0.980796
3116	0	-1573.91	-1625.068	51.15772	0.970005	0.967499	0.96825	0.9691	0.970177	0.96978	0.970516	0.972303	0.975194	0.972301
3117	1	-1557.635	-1625.077	67.44141	0.971234	0.971445	0.971843	0.969193	0.968708	0.971891	0.972817	0.971972	0.967897	0.97617
3118	0	-1573.913	-1625.071	51.15772	0.970543	0.968035	0.968787	0.969637	0.970715	0.970317	0.971053	0.972841	0.975734	0.972839
3119	1	-1557.626	-1625.067	67.44141	0.969088	0.969486	0.969001	0.969211	0.970134	0.967489	0.963433	0.966598	0.97486	0.974013
3120	0	-1574.892	-1626.05	51.15772	0.950515	0.951349	0.948891	0.948502	0.949239	0.950987	0.952043	0.949219	0.949939	0.952764
3121	1	-1557.725	-1625.167	67.44141	0.963453	0.962616	0.965779	0.974033	0.971377	0.967305	0.967515	0.968436	0.968834	0.968349
3122	0	-1573.932	-1625.089	51.15772	0.966584	0.964086	0.964836	0.965683	0.966755	0.966359	0.967093	0.968873	0.971754	0.968871
3123	1	-1558.976	-1626.417	67.44141	0.990899	0.999369	0.995179	0.994315	0.995262	0.998532	0.998033	0.995311	0.99572	0.995936
3124	0	-1573.985	-1625.143	51.15772	0.974537	0.971646	0.974535	0.97633	0.977071	0.976671	0.977755	0.978614	0.979374	0.976844
3125	1	-1557.661	-1625.103	67.44141	0.96585	0.965011	0.97326	0.976457	0.972364	0.969712	0.970636	0.970846	0.970361	0.970759
3126	0	-1574.492	-1625.65	51.15772	0.983584	0.986509	0.983582	0.984329	0.986141	0.987236	0.986832	0.987599	0.988466	0.985912
3127	1	-1557.756	-1625.197	67.44141	0.962602	0.961766	0.964926	0.973173	0.970519	0.96645	0.96666	0.967581	0.967978	0.967494
3128	0	-1574.51	-1625.668	51.15772	0.983798	0.985609	0.982685	0.982283	0.985204	0.986069	0.986817	0.984267	0.98536	0.986126
3129	1	-1557.839	-1625.281	67.44141	0.960674	0.961069	0.961277	0.960796	0.958176	0.959089	0.96224	0.958206	0.957374	0.965557
3130	0	-1573.911	-1625.068	51.15772	0.970058	0.96966	0.970512	0.972299	0.969786	0.966909	0.967661	0.970538	0.971616	0.972353
3131	1	-1558.573	-1626.015	67.44141	0.987446	0.988387	0.987893	0.983751	0.984155	0.992567	0.992782	0.99192	0.989215	0.992465
3132	0	-1574.172	-1625.329	51.15772	0.95972	0.959327	0.961093	0.961937	0.959083	0.956605	0.95945	0.960195	0.960924	0.961991
3133	1	-1558.99	-1626.432	67.44141	0.991016	0.991961	0.987802	0.987308	0.995747	0.996155	0.99529	0.995506	0.998777	0.996053
3134	0	-1574.88	-1626.038	51.15772	0.950638	0.951694	0.952433	0.953156	0.950693	0.95352	0.954357	0.951525	0.951136	0.952887
3135	1	-1557.932	-1625.373	67.44141	0.958935	0.962085	0.96125	0.958628	0.966822	0.967032	0.962977	0.963373	0.96429	0.963808
3136	0	-1573.914	-1625.071	51.15772	0.968168	0.965295	0.967073	0.969948	0.969551	0.970287	0.971139	0.972217	0.969705	0.970459
3137	1	-1557.636	-1625.078	67.44141	0.971342	0.979644	0.975537	0.97469	0.975618	0.978824	0.978334	0.975666	0.976067	0.976279
3138	0	-1576.404	-1627.562	51.15772	0.998526	0.998117	0.999955	1.00083	0.997863	0.995285	0.998244	0.99902	0.999778	1.00089
3139	1	-1557.653	-1625.094	67.44141	0.966308	0.965469	0.968641	0.97692	0.974256	0.970172	0.970382	0.971307	0.971705	0.971219
3140	0	-1574.291	-1625.449	51.15772	0.957698	0.958762	0.959489	0.960235	0.96309	0.960601	0.957751	0.958592	0.960357	0.959964
3141	1	-1558.541	-1625.983	67.44141	0.987143	0.986285	0.994716	0.997984	0.9938	0.99109	0.992034	0.992249	0.991753	0.99216
3142	0	-1574.888	-1626.046	51.15772	0.95056	0.951394	0.948936	0.948547	0.949284	0.951032	0.952089	0.949264	0.949984	0.952809
3143	1	-1558.903	-1626.344	67.44141	0.990319	0.990725	0.99094	0.990445	0.987744	0.988685	0.991933	0.987775	0.986917	0.995352
3144	0	-1574.303	-1625.461	51.15772	0.957523	0.958249	0.959314	0.962166	0.962914	0.960057	0.957576	0.95934	0.960182	0.959789
3145	1	-1558.865	-1626.306	67.44141	0.948155	0.949058	0.94508	0.944607	0.952681	0.953072	0.952244	0.952451	0.95558	0.952974
3146	0	-1574.198	-1625.356	51.15772	0.959234	0.956755	0.957499	0.958339	0.959404	0.959011	0.959739	0.961506	0.964365	0.961504
3147	1	-1557.684	-1625.125	67.44141	0.964871	0.973118	0.972273	0.968196	0.971377	0.972303	0.969651	0.969166	0.969377	0.969775
3148	0	-1574.347	-1625.505	51.15772	0.956867	0.957611	0.955136	0.956197	0.957037	0.957763	0.957371	0.960218	0.961986	0.959132
3149	1	-1557.735	-1625.176	67.44141	0.975565	0.972904	0.976101	0.976313	0.975465	0.975865	0.984206	0.983714	0.97959	0.980523
3150	0	-1573.928	-1625.086	51.15772	0.966824	0.967673	0.965172	0.964777	0.965527	0.967305	0.968379	0.965506	0.966239	0.969112
3151	1	-1557.642	-1625.084	67.44141	0.966972	0.966489	0.96741	0.967807	0.963749	0.963958	0.972198	0.969546	0.968704	0.971887
3152	0	-1573.938	-1625.096	51.15772	0.966217	0.96909	0.969825	0.966948	0.968022	0.969805	0.970558	0.970161	0.967654	0.968503
3153	1	-1557.637	-1625.079	67.44141	0.971424	0.974615	0.973769	0.971113	0.979414	0.979626	0.975519	0.97592	0.976849	0.976361
3154	0	-1574.039	-1625.197	51.15772	0.962605	0.962211	0.963983	0.964829	0.961967	0.959481	0.962334	0.963082	0.963813	0.964883
3155	1	-1559.638	-1627.079	67.44141	0.995589	0.994725	0.997993	1.00652	1.00378	0.99957	0.999787	1.00074	1.00115	1.00065
3156	0	-1574.006	-1625.163	51.15772	0.963549	0.964298	0.961806	0.962874	0.96372	0.964451	0.964056	0.966922	0.968703	0.965829
3157	1	-1558.034	-1625.476	67.44141	0.981294	0.984518	0.981833	0.980981	0.981194	0.98958	0.989986	0.985836	0.985343	0.986282
3158	0	-1573.933	-1625.091	51.15772	0.966494	0.967227	0.968302	0.971181	0.971935	0.969052	0.966548	0.968328	0.969178	0.968781
3159	1	-1557.634	-1625.076	67.44141	0.967651	0.975921	0.975074	0.970986	0.974176	0.975104	0.972445	0.971959	0.97217	0.972569
3160	0	-1574.593	-1625.751	51.15772	0.984758	0.986571	0.986167	0.983241	0.984104	0.987031	0.98448	0.985227	0.985993	0.987088
3161	1	-1557.771	-1625.212	67.44141	0.976508	0.973845	0.974056	0.977256	0.977657	0.976808	0.97632	0.984665	0.985603	0.981471
3162	0	-1575.52	-1626.677	51.15772	0.945114	0.945849	0.943405	0.944453	0.945282	0.945999	0.945612	0.948423	0.95017	0.947351
3163	1	-1558.479	-1625.92	67.44141	0.98653	0.986935	0.986441	0.986655	0.987595	0.984902	0.980773	0.983995	0.992406	0.991544
3164	0	-1574.324	-1625.481	51.15772	0.981378	0.983185	0.980268	0.979867	0.98278	0.983643	0.984389	0.981846	0.982936	0.9837
3165	1	-1559.919	-1627.361	67.44141	0.997341	0.997557	0.994837	0.995245	0.998515	0.998016	0.997149	0.998099	1.00663	1.00241
3166	0	-1573.91	-1625.068	51.15772	0.969852	0.971638	0.968756	0.968359	0.971238	0.972091	0.972828	0.970315	0.971393	0.972147
3167	1	-1558.117	-1625.558	67.44141	0.956119	0.95703	0.956551	0.952541	0.952932	0.961077	0.961286	0.960451	0.957831	0.960978
3168	0	-1573.91	-1625.067	51.15772	0.969075	0.968678	0.969528	0.971314	0.968804	0.96593	0.96668	0.969555	0.970632	0.971368
3169	1	-1557.91	-1625.351	67.44141	0.959324	0.967524	0.966684	0.962631	0.965794	0.966714	0.964077	0.963595	0.963804	0.9642
3170	0	-1574.046	-1625.203	51.15772	0.976292	0.977051	0.974526	0.975608	0.976465	0.977206	0.976806	0.97971	0.981514	0.978602
3171	1	-1559.11	-1626.552	67.44141	0.991935	0.991439	0.991846	0.992791	0.993006	0.988843	0.986146	0.994575	0.997843	0.996976
3172	0	-1574.013	-1625.171	51.15772	0.963333	0.964064	0.965135	0.968004	0.968756	0.965883	0.963387	0.965161	0.966008	0.965612
3173	1	-1557.627	-1625.068	67.44141	0.968796	0.968312	0.969234	0.969632	0.965567	0.965776	0.974031	0.971375	0.970531	0.97372
3174	0	-1574.092	-1625.25	51.15772	0.977377	0.974477	0.977375	0.979175	0.979918	0.979516	0.980604	0.981465	0.982228	0.97969
3175	1	-1557.773	-1625.215	67.44141	0.962152	0.970376	0.966308	0.965469	0.966388	0.969563	0.969079	0.966436	0.966833	0.967042
3176	0	-1574.111	-1625.268	51.15772	0.960929	0.962699	0.959843	0.95945	0.962303	0.963148	0.963878	0.961388	0.962456	0.963204
3177	1	-1557.626	-1625.067	67.44141	0.969391	0.968549	0.976827	0.980037	0.975928	0.973267	0.974194	0.974405	0.973918	0.974318
3178	0	-1573.926	-1625.084	51.15772	0.971829	0.971431	0.97322	0.974074	0.971184	0.968675	0.971555	0.97231	0.973048	0.974129
3179	1	-1559.316	-1626.757	67.44141	0.993428	0.993643	0.990934	0.99134	0.994597	0.9941	0.993237	0.994183	1.00268	0.998477
3180	0	-1574.07	-1625.228	51.15772	0.961839	0.962569	0.963638	0.966503	0.967254	0.964385	0.961893	0.963664	0.96451	0.964115
3181	1	-1557.667	-1625.108	67.44141	0.965573	0.966492	0.966009	0.961959	0.962354	0.97058	0.97079	0.969947	0.967302	0.97048
3182	0	-1574.043	-1625.2	51.15772	0.962514	0.96212	0.963892	0.964738	0.961876	0.959391	0.962243	0.962991	0.963722	0.964792
3183	1	-1557.784	-1625.225	67.44141	0.961899	0.957866	0.966053	0.966973	0.966134	0.965651	0.968823	0.969221	0.966578	0.966787
3184	0	-1573.923	-1625.081	51.15772	0.971611	0.9734	0.973002	0.970115	0.970967	0.973854	0.971338	0.972075	0.97283	0.973911
3185	1	-1558.256	-1625.697	67.44141	0.954331	0.95033	0.951235	0.959365	0.958886	0.958053	0.958446	0.961595	0.961804	0.959181
3186	0	-1573.916	-1625.074	51.15772	0.967874	0.968724	0.968327	0.965825	0.967604	0.968356	0.965483	0.966555	0.969429	0.970165
3187	1	-1558.288	-1625.73	67.44141	0.984519	0.984732	0.982047	0.98245	0.985678	0.985185	0.98433	0.985267	0.993689	0.989523
3188	0	-1573.93	-1625.088	51.15772	0.966683	0.966287	0.967135	0.968916	0.966412	0.963545	0.964294	0.967161	0.968235	0.96897
3189	1	-1558.952	-1626.393	67.44141	0.947407	0.946584	0.954675	0.957812	0.953796	0.951195	0.952101	0.952308	0.951832	0.952222
3190	0	-1574.45	-1625.608	51.15772	0.955455	0.957214	0.956822	0.953984	0.954821	0.95766	0.955186	0.95591	0.956653	0.957716
3191	1	-1562.007	-1629.449	67.44141	0.928738	0.926205	0.929248	0.92945	0.928643	0.929024	0.936964	0.936496	0.93257	0.933458
3192	0	-1574.474	-1625.631	51.15772	0.983359	0.982957	0.984767	0.985631	0.982707	0.980168	0.983082	0.983846	0.984593	0.985687
3193	1	-1557.804	-1625.245	67.44141	0.961438	0.960957	0.961352	0.962267	0.962476	0.958441	0.955827	0.963997	0.967164	0.966324
3194	0	-1574.202	-1625.36	51.15772	0.959169	0.959897	0.960963	0.96382	0.964569	0.961708	0.959223	0.960989	0.961833	0.961439
3195	1	-1557.994	-1625.436	67.44141	0.957907	0.958115	0.958508	0.955894	0.955416	0.958555	0.959468	0.958635	0.954616	0.962775
3196	0	-1573.963	-1625.121	51.15772	0.965033	0.96681	0.963942	0.963548	0.966413	0.967261	0.967995	0.965494	0.966566	0.967317
3197	1	-1558.384	-1625.826	67.44141	0.985564	0.985778	0.98309	0.983493	0.986725	0.986231	0.985375	0.986314	0.994744	0.990574
3198	0	-1574.435	-1625.593	51.15772	0.955651	0.957411	0.95457	0.954179	0.957017	0.957857	0.958584	0.956107	0.957169	0.957912
3199	1	-1558.449	-1625.89	67.44141	0.952142	0.955271	0.952666	0.951838	0.952045	0.960182	0.960576	0.956549	0.956071	0.956982
3200	0	-1574.117	-1625.275	51.15772	0.977907	0.979708	0.979307	0.976402	0.977259	0.980165	0.977632	0.978374	0.979134	0.980222
3201	1	-1557.65	-1625.092	67.44141	0.972347	0.969695	0.969906	0.973092	0.973492	0.972646	0.97216	0.980469	0.981403	0.977289
3202	0	-1575.035	-1626.192	51.15772	0.989048	0.991989	0.992742	0.989796	0.990896	0.99272	0.993492	0.993085	0.990519	0.991389
3203	1	-1557.661	-1625.103	67.44141	0.965847	0.961798	0.970018	0.970942	0.970099	0.969614	0.9728	0.973199	0.970545	0.970756
3204	0	-1573.92	-1625.077	51.15772	0.967487	0.968221	0.9711	0.972178	0.969294	0.970047	0.971834	0.969322	0.968926	0.969776
3205	1	-1557.83	-1625.271	67.44141	0.96087	0.961078	0.961473	0.958851	0.958371	0.96152	0.962436	0.9616	0.957569	0.965753
3206	0	-1573.954	-1625.112	51.15772	0.973357	0.976252	0.973355	0.974094	0.975888	0.976972	0.976572	0.97733	0.978188	0.975661
3207	1	-1557.687	-1625.128	67.44141	0.96474	0.96791	0.96527	0.964432	0.964641	0.972886	0.973285	0.969205	0.96872	0.969643
3208	0	-1574.328	-1625.486	51.15772	0.981436	0.983243	0.980326	0.979925	0.982838	0.983701	0.984448	0.981904	0.982995	0.983758
3209	1	-1557.81	-1625.251	67.44141	0.9613	0.958678	0.958886	0.962036	0.962431	0.961595	0.961115	0.96933	0.970253	0.966185
3210	0	-1574.06	-1625.218	51.15772	0.976654	0.977413	0.974887	0.97597	0.976827	0.977568	0.977168	0.980074	0.981878	0.978965
3211	1	-1558.464	-1625.905	67.44141	0.986382	0.994813	0.990642	0.989782	0.990725	0.99398	0.993483	0.990774	0.99118	0.991395
3212	0	-1573.924	-1625.081	51.15772	0.971651	0.972389	0.973469	0.976363	0.977122	0.974223	0.971706	0.973495	0.97435	0.973951
3213	1	-1558.012	-1625.453	67.44141	0.957638	0.957159	0.957552	0.958464	0.958672	0.954653	0.95205	0.960187	0.963342	0.962505
3214	0	-1573.974	-1625.132	51.15772	0.964604	0.961743	0.964602	0.966379	0.967112	0.966716	0.96779	0.968639	0.969392	0.966887
3215	1	-1557.631	-1625.073	67.44141	0.970838	0.966767	0.967688	0.97596	0.975472	0.974624	0.975024	0.978228	0.97844	0.975772
3216	0	-1574.231	-1625.389	51.15772	0.979968	0.977436	0.978196	0.979054	0.980142	0.97974	0.980484	0.982289	0.98521	0.982287
3217	1	-1557.626	-1625.067	67.44141	0.969053	0.968568	0.968966	0.969889	0.970099	0.966032	0.963398	0.971632	0.974824	0.973978
3218	0	-1574.111	-1625.269	51.15772	0.960924	0.958441	0.959186	0.960028	0.961095	0.960701	0.96143	0.9632	0.966064	0.963198
3219	1	-1558.4	-1625.842	67.44141	0.952666	0.95219	0.952581	0.953488	0.953695	0.949697	0.947107	0.955202	0.95834	0.957508
3220	0	-1573.912	-1625.069	51.15772	0.970302	0.971038	0.973925	0.975007	0.972114	0.97287	0.974661	0.972143	0.971745	0.972598
3221	1	-1558.119	-1625.56	67.44141	0.956085	0.956996	0.952984	0.952508	0.960649	0.961043	0.960209	0.960417	0.963572	0.960945
3222	0	-1573.932	-1625.09	51.15772	0.966539	0.966143	0.966992	0.968772	0.966269	0.963402	0.964151	0.967018	0.968092	0.968827
3223	1	-1558.066	-1625.508	67.44141	0.956821	0.957733	0.957254	0.953241	0.953632	0.961783	0.961992	0.961156	0.958535	0.961684
3224	0	-1574.261	-1625.419	51.15772	0.958171	0.957779	0.959543	0.960385	0.957536	0.955062	0.957902	0.958646	0.959373	0.960439
3225	1	-1557.677	-1625.119	67.44141	0.96512	0.968291	0.96565	0.964812	0.965021	0.973269	0.973669	0.969587	0.969102	0.970025
3226	0	-1577.942	-1629.1	51.15772	0.930453	0.931269	0.930888	0.928483	0.930192	0.930915	0.928153	0.929184	0.931947	0.932654
3227	1	-1558.071	-1625.513	67.44141	0.956753	0.957146	0.956667	0.956875	0.957786	0.955174	0.95117	0.954295	0.962452	0.961616
3228	0	-1575.084	-1626.241	51.15772	0.948728	0.951549	0.948726	0.949446	0.951194	0.952251	0.951861	0.952601	0.953437	0.950973
3229	1	-1557.899	-1625.341	67.44141	0.959511	0.958677	0.961827	0.970048	0.967403	0.963347	0.963556	0.964474	0.96487	0.964387
3230	0	-1574.068	-1625.225	51.15772	0.961895	0.95941	0.960155	0.960998	0.962066	0.961672	0.962401	0.964173	0.96704	0.964171
3231	1	-1557.628	-1625.069	67.44141	0.970242	0.97343	0.970775	0.969932	0.970142	0.978434	0.978836	0.974732	0.974245	0.975173
3232	0	-1574.019	-1625.177	51.15772	0.975588	0.973067	0.973824	0.974678	0.975761	0.975362	0.976102	0.977899	0.980807	0.977897
3233	1	-1558.301	-1625.742	67.44141	0.953792	0.949794	0.950698	0.958824	0.958345	0.957513	0.957906	0.961053	0.961261	0.95864
3234	0	-1574.008	-1625.166	51.15772	0.975278	0.977074	0.974176	0.973777	0.976672	0.977529	0.978271	0.975743	0.976827	0.977586
3235	1	-1557.633	-1625.074	67.44141	0.970985	0.974176	0.971519	0.970675	0.970886	0.979184	0.979586	0.975479	0.974992	0.97592
3236	0	-1575.132	-1626.289	51.15772	0.9483	0.950047	0.949658	0.94684	0.947672	0.950489	0.948033	0.948753	0.94949	0.950545
3237	1	-1559.573	-1627.015	67.44141	0.942632	0.941814	0.944908	0.952985	0.950386	0.946401	0.946607	0.947508	0.947897	0.947423
3238	0	-1574.262	-1625.42	51.15772	0.980456	0.981218	0.978682	0.97977	0.98063	0.981374	0.980972	0.983889	0.985701	0.982776
3239	1	-1557.884	-1625.325	67.44141	0.97887	0.982086	0.979408	0.978557	0.978769	0.987135	0.98754	0.9834	0.982908	0.983845
3240	0	-1573.913	-1625.071	51.15772	0.968287	0.96904	0.970116	0.967609	0.968344	0.969194	0.972075	0.971677	0.968795	0.970579
3241	1	-1558.811	-1626.252	67.44141	0.989559	0.98541	0.993833	0.99478	0.993916	0.993419	0.996683	0.997092	0.994373	0.994588
3242	0	-1574.721	-1625.878	51.15772	0.986111	0.983563	0.984427	0.985192	0.984788	0.985882	0.987698	0.988447	0.985515	0.988445
3243	1	-1557.887	-1625.328	67.44141	0.978926	0.979328	0.978838	0.979051	0.979983	0.977311	0.973213	0.976411	0.984757	0.983901
3244	0	-1574.403	-1625.561	51.15772	0.956083	0.953247	0.956081	0.957842	0.958568	0.958176	0.95924	0.960082	0.960828	0.958346
3245	1	-1558.012	-1625.453	67.44141	0.980963	0.984186	0.981502	0.98065	0.980862	0.989246	0.989652	0.985503	0.98501	0.985949
3246	0	-1575.98	-1627.138	51.15772	0.941778	0.944578	0.941776	0.942491	0.944226	0.945275	0.944888	0.945622	0.946452	0.944007
3247	1	-1558.055	-1625.496	67.44141	0.98159	0.977475	0.978406	0.986768	0.986275	0.985419	0.985823	0.989062	0.989276	0.986579
3248	0	-1573.919	-1625.076	51.15772	0.97121	0.972999	0.9726	0.969715	0.970566	0.973452	0.970937	0.971673	0.972428	0.973509
3249	1	-1558.323	-1625.764	67.44141	0.953535	0.952707	0.955837	0.964007	0.961378	0.957348	0.957555	0.958467	0.958861	0.958381
3250	0	-1576.242	-1627.399	51.15772	0.94004	0.940865	0.94048	0.93805	0.939777	0.940507	0.937717	0.938759	0.94155	0.942265
3251	1	-1558.634	-1626.076	67.44141	0.950269	0.949794	0.950699	0.951089	0.947101	0.947307	0.955404	0.952798	0.951971	0.955099
3252	0	-1574.017	-1625.174	51.15772	0.963224	0.96283	0.963675	0.96545	0.962955	0.960098	0.960844	0.963701	0.964772	0.965504
3253	1	-1557.679	-1625.121	67.44141	0.973733	0.969651	0.970574	0.97887	0.978381	0.977531	0.977932	0.981145	0.981358	0.978682
3254	0	-1573.916	-1625.073	51.15772	0.967907	0.968641	0.971521	0.972601	0.969715	0.970469	0.972256	0.969743	0.969346	0.970197
3255	1	-1557.784	-1625.226	67.44141	0.976838	0.980047	0.977374	0.976526	0.976737	0.985086	0.98549	0.981359	0.980868	0.981802
3256	0	-1574.15	-1625.308	51.15772	0.960125	0.959732	0.961499	0.962343	0.959488	0.957009	0.959855	0.960601	0.961329	0.962397
3257	1	-1557.803	-1625.244	67.44141	0.961454	0.961662	0.962057	0.959433	0.958954	0.962104	0.963021	0.962184	0.958151	0.96634
3258	0	-1574.637	-1625.795	51.15772	0.953187	0.952797	0.954551	0.955389	0.952555	0.950094	0.952919	0.953659	0.954383	0.955443
3259	1	-1557.732	-1625.174	67.44141	0.963244	0.962762	0.963679	0.964075	0.960033	0.960241	0.968449	0.965808	0.964969	0.968139
3260	0	-1574.161	-1625.319	51.15772	0.978757	0.978356	0.980157	0.981018	0.978107	0.97558	0.978481	0.979241	0.979984	0.981073
3261	1	-1557.674	-1625.115	67.44141	0.973495	0.97265	0.980963	0.984186	0.98006	0.977388	0.978319	0.978531	0.978042	0.978443
3262	0	-1574.065	-1625.223	51.15772	0.976767	0.977526	0.978612	0.976083	0.976824	0.977681	0.980588	0.980187	0.977279	0.979078
3263	1	-1558.739	-1626.18	67.44141	0.949283	0.945303	0.953383	0.954291	0.953462	0.952985	0.956116	0.956509	0.9539	0.954107
3264	0	-1573.926	-1625.084	51.15772	0.971846	0.968963	0.970747	0.973633	0.973235	0.973973	0.974828	0.975911	0.973389	0.974146
3265	1	-1557.979	-1625.42	67.44141	0.980461	0.979609	0.987982	0.991228	0.987073	0.984381	0.985319	0.985532	0.98504	0.985444
3266	0	-1573.927	-1625.085	51.15772	0.966884	0.968664	0.96579	0.965395	0.968265	0.969116	0.969851	0.967345	0.968419	0.969172
3267	1	-1557.892	-1625.334	67.44141	0.979024	0.987392	0.986534	0.982398	0.985626	0.986565	0.983875	0.983383	0.983596	0.984
3268	0	-1573.919	-1625.077	51.15772	0.97127	0.972025	0.973105	0.97059	0.971327	0.972179	0.97507	0.974671	0.971779	0.973569
3269	1	-1557.673	-1625.114	67.44141	0.965323	0.966243	0.96576	0.961711	0.962106	0.970329	0.97054	0.969697	0.967052	0.97023
3270	0	-1574.122	-1625.28	51.15772	0.96069	0.95784	0.959604	0.962457	0.962063	0.962793	0.963639	0.964709	0.962216	0.962964
3271	1	-1557.878	-1625.319	67.44141	0.959911	0.959077	0.962228	0.970453	0.967806	0.963749	0.963958	0.964876	0.965272	0.96479
3272	0	-1574.03	-1625.188	51.15772	0.962846	0.965709	0.962844	0.963575	0.965349	0.966421	0.966026	0.966776	0.967625	0.965125
3273	1	-1557.917	-1625.358	67.44141	0.959197	0.958364	0.966555	0.969731	0.965666	0.963032	0.96395	0.964159	0.963677	0.964072
3274	0	-1576.219	-1627.377	51.15772	0.940186	0.939801	0.940626	0.942358	0.939923	0.937135	0.937863	0.940651	0.941696	0.942411
3275	1	-1557.725	-1625.166	67.44141	0.975275	0.983611	0.979487	0.978637	0.979569	0.982788	0.982296	0.979617	0.980019	0.980232
3276	0	-1573.916	-1625.074	51.15772	0.967884	0.965013	0.967882	0.969665	0.9704	0.970003	0.971081	0.971933	0.972688	0.970175
3277	1	-1558.006	-1625.447	67.44141	0.957727	0.960874	0.958253	0.957421	0.957629	0.965814	0.96621	0.962159	0.961678	0.962595
3278	0	-1576.547	-1627.705	51.15772	0.999337	1.00231	1.00307	1.00009	1.0012	1.00305	1.00383	1.00342	1.00082	1.0017
3279	1	-1558.15	-1625.592	67.44141	0.982867	0.982013	0.990407	0.993661	0.989495	0.986797	0.987737	0.987951	0.987457	0.987862
3280	0	-1574.08	-1625.238	51.15772	0.977117	0.978203	0.978963	0.979706	0.977174	0.98008	0.98094	0.97803	0.97763	0.97943
3281	1	-1557.703	-1625.144	67.44141	0.964172	0.972413	0.968336	0.967495	0.968417	0.971599	0.971113	0.968465	0.968862	0.969072
3282	0	-1574.803	-1625.961	51.15772	0.98693	0.988027	0.988794	0.989545	0.986988	0.989922	0.990791	0.987852	0.987448	0.989266
3283	1	-1558.063	-1625.505	67.44141	0.981709	0.977594	0.985949	0.986889	0.986031	0.985538	0.988777	0.989182	0.986485	0.986699
3284	0	-1574.118	-1625.276	51.15772	0.977921	0.980829	0.977919	0.978661	0.980463	0.981552	0.981151	0.981913	0.982775	0.980236
3285	1	-1558.552	-1625.993	67.44141	0.987246	0.98746	0.987865	0.985171	0.984679	0.987914	0.988855	0.987996	0.983854	0.992264
3286	0	-1574.506	-1625.664	51.15772	0.954743	0.956501	0.956109	0.953273	0.95411	0.956947	0.954474	0.955198	0.95594	0.957002
3287	1	-1558.501	-1625.943	67.44141	0.986755	0.989997	0.987297	0.986439	0.986653	0.995087	0.995495	0.991322	0.990826	0.99177
3288	0	-1574.468	-1625.625	51.15772	0.983285	0.985095	0.984692	0.981771	0.982633	0.985554	0.983008	0.983754	0.984518	0.985612
3289	1	-1557.626	-1625.068	67.44141	0.96992	0.970844	0.970359	0.96629	0.966687	0.97495	0.975161	0.974314	0.971657	0.97485
