Iteration	Posterior	Likelihood	Prior	delta_log_lambda[1]	delta_log_lambda[2]	delta_log_lambda[3]	delta_log_lambda[4]	delta_log_lambda[5]	delta_log_lambda[6]	delta_log_lambda[7]	delta_log_lambda[8]	delta_log_lambda[9]	delta_log_mu[1]	delta_log_mu[2]	delta_log_mu[3]	delta_log_mu[4]	delta_log_mu[5]	delta_log_mu[6]	delta_log_mu[7]	delta_log_mu[8]	delta_log_mu[9]	lambda[1]	lambda[2]	lambda[3]	lambda[4]	lambda[5]	lambda[6]	lambda[7]	lambda[8]	lambda[9]	lambda[10]	lambda_global_scale	log_lambda_at_present	log_mu_at_present	mu[1]	mu[2]	mu[3]	mu[4]	mu[5]	mu[6]	mu[7]	mu[8]	mu[9]	mu[10]	mu_global_scale	sigma_lambda[1]	sigma_lambda[2]	sigma_lambda[3]	sigma_lambda[4]	sigma_lambda[5]	sigma_lambda[6]	sigma_lambda[7]	sigma_lambda[8]	sigma_lambda[9]	sigma_mu[1]	sigma_mu[2]	sigma_mu[3]	sigma_mu[4]	sigma_mu[5]	sigma_mu[6]	sigma_mu[7]	sigma_mu[8]	sigma_mu[9]
10450	-1574.235	-1625.393	51.15772	-0.003375712	0.006796717	0.002779811	-0.005413642	-0.0360585	0.01129893	-0.002915134	-0.01737193	0.0370792	0.0008774975	-0.002587288	-0.0004095664	0.0007767385	0.001839677	0.001110184	-0.002971055	0.0007585152	0.002968987	1	0.99663	1.00343	1.00622	1.00079	0.965343	0.976313	0.973471	0.956706	0.992845	4.043887	0	-0.02017107	0.980031	0.980891	0.978357	0.977956	0.978716	0.980518	0.981607	0.978695	0.979438	0.98235	0.6794359	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.02375092	0.07552294	0.08769808	0.04672601	0.08914457	0.02997937	0.09301229	0.03556038	0.09215622
10460	-1573.91	-1625.068	51.15772	-0.003375712	0.006796717	0.002779811	-0.005413642	-0.0360585	0.01129893	-0.002915134	-0.01737193	0.0370792	0.0008774975	-0.0004095664	-0.002587288	0.001839677	0.0007767385	-0.002971055	0.001110184	0.002968987	0.0007585152	1	0.99663	1.00343	1.00622	1.00079	0.965343	0.976313	0.973471	0.956706	0.992845	4.043887	0	-0.03163972	0.968856	0.969706	0.969309	0.966804	0.968585	0.969337	0.966462	0.967535	0.970412	0.971148	0.6794359	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.02375092	0.08769808	0.07552294	0.08914457	0.04672601	0.09301229	0.02997937	0.09215622	0.03556038
10470	-1575.053	-1626.211	51.15772	-0.003375712	0.006796717	0.002779811	-0.005413642	-0.0360585	0.01129893	-0.002915134	-0.01737193	0.0370792	-0.002587288	0.0008774975	0.0007767385	-0.0004095664	0.001110184	0.001839677	0.0007585152	-0.002971055	0.002968987	1	0.99663	1.00343	1.00622	1.00079	0.965343	0.976313	0.973471	0.956706	0.992845	4.043887	0	-0.05234442	0.949002	0.94655	0.947381	0.948117	0.947729	0.948781	0.950528	0.95125	0.948428	0.951248	0.6794359	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.07552294	0.02375092	0.04672601	0.08769808	0.02997937	0.08914457	0.03556038	0.09301229	0.09215622
10480	-1573.92	-1625.078	51.15772	-0.003375712	0.006796717	0.002779811	-0.005413642	-0.0360585	0.01129893	-0.002915134	-0.01737193	0.0370792	0.002968987	-0.002971055	0.0007585152	0.001839677	0.001110184	-0.0004095664	0.0007767385	0.0008774975	-0.002587288	1	0.99663	1.00343	1.00622	1.00079	0.965343	0.976313	0.973471	0.956706	0.992845	4.043887	0	-0.02908331	0.971336	0.974224	0.971334	0.972071	0.973861	0.974942	0.974543	0.9753	0.976157	0.973634	0.6794359	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.09215622	0.09301229	0.03556038	0.08914457	0.02997937	0.08769808	0.04672601	0.02375092	0.07552294
10490	-1573.91	-1625.067	51.15772	-0.003375712	0.006796717	0.002779811	-0.005413642	-0.0360585	0.01129893	-0.002915134	-0.01737193	0.0370792	0.002968987	0.0007585152	-0.002971055	0.001110184	0.001839677	0.0007767385	-0.0004095664	-0.002587288	0.0008774975	1	0.99663	1.00343	1.00622	1.00079	0.965343	0.976313	0.973471	0.956706	0.992845	4.043887	0	-0.03069049	0.969776	0.972659	0.973397	0.97051	0.971588	0.973377	0.974133	0.973734	0.971218	0.972071	0.6794359	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.09215622	0.03556038	0.09301229	0.02997937	0.08914457	0.04672601	0.08769808	0.07552294	0.02375092
10500	-1573.943	-1625.101	51.15772	-0.003375712	0.006796717	0.002779811	-0.005413642	-0.0360585	0.01129893	-0.002915134	-0.01737193	0.0370792	0.0008774975	-0.0004095664	-0.002587288	0.001839677	0.0007767385	-0.002971055	0.001110184	0.002968987	0.0007585152	1	0.99663	1.00343	1.00622	1.00079	0.965343	0.976313	0.973471	0.956706	0.992845	4.043887	0	-0.03464237	0.965951	0.966799	0.966403	0.963906	0.965681	0.966431	0.963564	0.964634	0.967503	0.968237	0.6794359	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.02375092	0.08769808	0.07552294	0.08914457	0.04672601	0.09301229	0.02997937	0.09215622	0.03556038
10510	-1574.118	-1625.276	51.15772	-0.003375712	0.006796717	0.002779811	-0.005413642	-0.0360585	0.01129893	-0.002915134	-0.01737193	0.0370792	0.0007767385	-0.002587288	0.001110184	0.0008774975	0.0007585152	-0.0004095664	0.002968987	0.001839677	-0.002971055	1	0.99663	1.00343	1.00622	1.00079	0.965343	0.976313	0.973471	0.956706	0.992845	4.043887	0	-0.02232299	0.977924	0.978684	0.976155	0.97724	0.978098	0.97884	0.978439	0.981348	0.983155	0.980239	0.6794359	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.04672601	0.07552294	0.02997937	0.02375092	0.03556038	0.08769808	0.09215622	0.08914457	0.09301229
10520	-1574.984	-1626.142	51.15772	-0.003375712	0.006796717	0.002779811	-0.005413642	-0.0360585	0.01129893	-0.002915134	-0.01737193	0.0370792	0.001839677	-0.0004095664	-0.002971055	0.0008774975	0.002968987	-0.002587288	0.0007585152	0.0007767385	0.001110184	1	0.99663	1.00343	1.00622	1.00079	0.965343	0.976313	0.973471	0.956706	0.992845	4.043887	0	-0.0516738	0.949639	0.951387	0.950998	0.948176	0.949009	0.951831	0.949371	0.950091	0.95083	0.951886	0.6794359	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.08914457	0.08769808	0.09301229	0.02375092	0.09215622	0.07552294	0.03556038	0.04672601	0.02997937
10530	-1573.926	-1625.084	51.15772	-0.003375712	0.006796717	0.002779811	-0.005413642	-0.0360585	0.01129893	-0.002915134	-0.01737193	0.0370792	-0.002587288	0.0007767385	0.0008774975	0.001110184	-0.0004095664	0.0007585152	0.001839677	0.002968987	-0.002971055	1	0.99663	1.00343	1.00622	1.00079	0.965343	0.976313	0.973471	0.956706	0.992845	4.043887	0	-0.03359125	0.966967	0.964468	0.965218	0.966065	0.967138	0.966742	0.967476	0.969257	0.972139	0.969255	0.6794359	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.07552294	0.04672601	0.02375092	0.02997937	0.08769808	0.03556038	0.08914457	0.09215622	0.09301229
10540	-1577.27	-1628.428	51.15772	-0.003375712	0.006796717	0.002779811	-0.005413642	-0.0360585	0.01129893	-0.002915134	-0.01737193	0.0370792	0.001839677	-0.0004095664	-0.002971055	0.0008774975	0.002968987	-0.002587288	0.0007585152	0.0007767385	0.001110184	1	0.99663	1.00343	1.00622	1.00079	0.965343	0.976313	0.973471	0.956706	0.992845	4.043887	0	-0.0683206	0.933961	0.935681	0.935298	0.932523	0.933342	0.936117	0.933698	0.934406	0.935132	0.936171	0.6794359	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.08914457	0.08769808	0.09301229	0.02375092	0.09215622	0.07552294	0.03556038	0.04672601	0.02997937
10550	-1574.221	-1625.379	51.15772	-0.003375712	0.006796717	0.002779811	-0.005413642	-0.0360585	0.01129893	-0.002915134	-0.01737193	0.0370792	0.001110184	0.0007767385	0.0007585152	-0.002587288	0.002968987	0.0008774975	-0.002971055	-0.0004095664	0.001839677	1	0.99663	1.00343	1.00622	1.00079	0.965343	0.976313	0.973471	0.956706	0.992845	4.043887	0	-0.04203803	0.958833	0.959898	0.960644	0.961373	0.958889	0.96174	0.962585	0.959729	0.959336	0.961102	0.6794359	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.02997937	0.04672601	0.03556038	0.07552294	0.09215622	0.02375092	0.09301229	0.08769808	0.08914457
10560	-1574.425	-1625.583	51.15772	-0.003375712	0.006796717	0.002779811	-0.005413642	-0.0360585	0.01129893	-0.002915134	-0.01737193	0.0370792	-0.002587288	0.0008774975	0.0007767385	-0.0004095664	0.001110184	0.001839677	0.0007585152	-0.002971055	0.002968987	1	0.99663	1.00343	1.00622	1.00079	0.965343	0.976313	0.973471	0.956706	0.992845	4.043887	0	-0.01739979	0.982751	0.980211	0.981072	0.981834	0.981432	0.982522	0.984332	0.985078	0.982156	0.985076	0.6794359	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.07552294	0.02375092	0.04672601	0.08769808	0.02997937	0.08914457	0.03556038	0.09301229	0.09215622
10570	-1574.495	-1625.653	51.15772	-0.003375712	0.006796717	0.002779811	-0.005413642	-0.0360585	0.01129893	-0.002915134	-0.01737193	0.0370792	0.0007585152	0.002968987	0.001110184	-0.002971055	0.0007767385	0.001839677	-0.002587288	-0.0004095664	0.0008774975	1	0.99663	1.00343	1.00622	1.00079	0.965343	0.976313	0.973471	0.956706	0.992845	4.043887	0	-0.0461696	0.95488	0.955605	0.958446	0.959511	0.956664	0.957407	0.95917	0.956692	0.9563	0.95714	0.6794359	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.03556038	0.09215622	0.02997937	0.09301229	0.04672601	0.08914457	0.07552294	0.08769808	0.02375092
10580	-1574.786	-1625.944	51.15772	-0.003375712	0.006796717	0.002779811	-0.005413642	-0.0360585	0.01129893	-0.002915134	-0.01737193	0.0370792	0.002968987	0.0007585152	-0.002971055	0.001110184	0.001839677	0.0007767385	-0.0004095664	-0.002587288	0.0008774975	1	0.99663	1.00343	1.00622	1.00079	0.965343	0.976313	0.973471	0.956706	0.992845	4.043887	0	-0.01332384	0.986765	0.989699	0.99045	0.987511	0.988608	0.990429	0.991198	0.990792	0.988232	0.9891	0.6794359	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.09215622	0.03556038	0.09301229	0.02997937	0.08914457	0.04672601	0.08769808	0.07552294	0.02375092
10590	-1574.482	-1625.64	51.15772	-0.003375712	0.006796717	0.002779811	-0.005413642	-0.0360585	0.01129893	-0.002915134	-0.01737193	0.0370792	0.0008774975	-0.002587288	-0.0004095664	0.0007767385	0.001839677	0.001110184	-0.002971055	0.0007585152	0.002968987	1	0.99663	1.00343	1.00622	1.00079	0.965343	0.976313	0.973471	0.956706	0.992845	4.043887	0	-0.01667733	0.983461	0.984324	0.981781	0.981379	0.982141	0.98395	0.985043	0.982121	0.982866	0.985788	0.6794359	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.02375092	0.07552294	0.08769808	0.04672601	0.08914457	0.02997937	0.09301229	0.03556038	0.09215622
10600	-1574.45	-1625.608	51.15772	-0.003375712	0.006796717	0.002779811	-0.005413642	-0.0360585	0.01129893	-0.002915134	-0.01737193	0.0370792	0.0007585152	0.001110184	0.002968987	0.0007767385	-0.002971055	-0.002587288	0.001839677	0.0008774975	-0.0004095664	1	0.99663	1.00343	1.00622	1.00079	0.965343	0.976313	0.973471	0.956706	0.992845	4.043887	0	-0.01707932	0.983066	0.983812	0.984904	0.987833	0.988601	0.985668	0.983121	0.984931	0.985796	0.985392	0.6794359	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.03556038	0.02997937	0.09215622	0.04672601	0.09301229	0.07552294	0.08914457	0.02375092	0.08769808
10610	-1573.967	-1625.125	51.15772	-0.003375712	0.006796717	0.002779811	-0.005413642	-0.0360585	0.01129893	-0.002915134	-0.01737193	0.0370792	0.001839677	-0.0004095664	-0.002971055	0.0008774975	0.002968987	-0.002587288	0.0007585152	0.0007767385	0.001110184	1	0.99663	1.00343	1.00622	1.00079	0.965343	0.976313	0.973471	0.956706	0.992845	4.043887	0	-0.03577143	0.964861	0.966637	0.966242	0.963375	0.964221	0.967088	0.964589	0.965321	0.966071	0.967144	0.6794359	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.08914457	0.08769808	0.09301229	0.02375092	0.09215622	0.07552294	0.03556038	0.04672601	0.02997937
10620	-1574.114	-1625.272	51.15772	-0.003375712	0.006796717	0.002779811	-0.005413642	-0.0360585	0.01129893	-0.002915134	-0.01737193	0.0370792	0.002968987	-0.002971055	0.0007585152	0.001839677	0.001110184	-0.0004095664	0.0007767385	0.0008774975	-0.002587288	1	0.99663	1.00343	1.00622	1.00079	0.965343	0.976313	0.973471	0.956706	0.992845	4.043887	0	-0.02240674	0.977842	0.98075	0.97784	0.978582	0.980384	0.981473	0.981071	0.981834	0.982696	0.980156	0.6794359	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.09215622	0.09301229	0.03556038	0.08914457	0.02997937	0.08769808	0.04672601	0.02375092	0.07552294
10630	-1574.429	-1625.587	51.15772	-0.003375712	0.006796717	0.002779811	-0.005413642	-0.0360585	0.01129893	-0.002915134	-0.01737193	0.0370792	-0.002587288	0.0008774975	0.0007767385	-0.0004095664	0.001110184	0.001839677	0.0007585152	-0.002971055	0.002968987	1	0.99663	1.00343	1.00622	1.00079	0.965343	0.976313	0.973471	0.956706	0.992845	4.043887	0	-0.01734881	0.982801	0.980261	0.981122	0.981884	0.981482	0.982572	0.984382	0.985129	0.982206	0.985127	0.6794359	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.07552294	0.02375092	0.04672601	0.08769808	0.02997937	0.08914457	0.03556038	0.09301229	0.09215622
10640	-1575.23	-1626.388	51.15772	-0.003375712	0.006796717	0.002779811	-0.005413642	-0.0360585	0.01129893	-0.002915134	-0.01737193	0.0370792	0.0007585152	0.001110184	0.002968987	0.0007767385	-0.002971055	-0.002587288	0.001839677	0.0008774975	-0.0004095664	1	0.99663	1.00343	1.00622	1.00079	0.965343	0.976313	0.973471	0.956706	0.992845	4.043887	0	-0.05398157	0.94745	0.948168	0.949222	0.952044	0.952784	0.949957	0.947503	0.949247	0.950081	0.949692	0.6794359	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.03556038	0.02997937	0.09215622	0.04672601	0.09301229	0.07552294	0.08914457	0.02375092	0.08769808
10650	-1574.44	-1625.598	51.15772	-0.003375712	0.006796717	0.002779811	-0.005413642	-0.0360585	0.01129893	-0.002915134	-0.01737193	0.0370792	-0.0004095664	0.0008774975	0.001839677	-0.002587288	-0.002971055	0.0007767385	0.002968987	0.001110184	0.0007585152	1	0.99663	1.00343	1.00622	1.00079	0.965343	0.976313	0.973471	0.956706	0.992845	4.043887	0	-0.04542865	0.955588	0.955196	0.956035	0.957795	0.955321	0.952486	0.953227	0.956061	0.957123	0.957849	0.6794359	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.08769808	0.02375092	0.08914457	0.07552294	0.09301229	0.04672601	0.09215622	0.02997937	0.03556038
10660	-1574.403	-1625.56	51.15772	-0.003375712	0.006796717	0.002779811	-0.005413642	-0.0360585	0.01129893	-0.002915134	-0.01737193	0.0370792	0.0007767385	0.001110184	-0.002587288	0.0007585152	0.0008774975	0.002968987	-0.0004095664	-0.002971055	0.001839677	1	0.99663	1.00343	1.00622	1.00079	0.965343	0.976313	0.973471	0.956706	0.992845	4.043887	0	-0.01769428	0.982461	0.983225	0.984317	0.981774	0.982518	0.983381	0.986305	0.985901	0.982976	0.984786	0.6794359	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.04672601	0.02997937	0.07552294	0.03556038	0.02375092	0.09215622	0.08769808	0.09301229	0.08914457
10670	-1576.917	-1628.075	51.15772	-0.003375712	0.006796717	0.002779811	-0.005413642	-0.0360585	0.01129893	-0.002915134	-0.01737193	0.0370792	0.0007767385	0.001110184	-0.002587288	0.0007585152	0.0008774975	0.002968987	-0.0004095664	-0.002971055	0.001839677	1	0.99663	1.00343	1.00622	1.00079	0.965343	0.976313	0.973471	0.956706	0.992845	4.043887	0	-0.06621103	0.935933	0.936661	0.937701	0.935278	0.935988	0.936809	0.939595	0.93921	0.936424	0.938148	0.6794359	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.04672601	0.02997937	0.07552294	0.03556038	0.02375092	0.09215622	0.08769808	0.09301229	0.08914457
10680	-1575.503	-1626.661	51.15772	-0.003375712	0.006796717	0.002779811	-0.005413642	-0.0360585	0.01129893	-0.002915134	-0.01737193	0.0370792	-0.002587288	0.0008774975	0.0007767385	-0.0004095664	0.001110184	0.001839677	0.0007585152	-0.002971055	0.002968987	1	0.99663	1.00343	1.00622	1.00079	0.965343	0.976313	0.973471	0.956706	0.992845	4.043887	0	-0.007285323	0.992741	0.990176	0.991045	0.991815	0.991409	0.99251	0.994338	0.995093	0.99214	0.99509	0.6794359	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.07552294	0.02375092	0.04672601	0.08769808	0.02997937	0.08914457	0.03556038	0.09301229	0.09215622
10690	-1574.04	-1625.198	51.15772	-0.003375712	0.006796717	0.002779811	-0.005413642	-0.0360585	0.01129893	-0.002915134	-0.01737193	0.0370792	0.0007585152	0.002968987	0.001110184	-0.002971055	0.0007767385	0.001839677	-0.002587288	-0.0004095664	0.0008774975	1	0.99663	1.00343	1.00622	1.00079	0.965343	0.976313	0.973471	0.956706	0.992845	4.043887	0	-0.03813141	0.962586	0.963317	0.966181	0.967254	0.964385	0.965134	0.966911	0.964413	0.964018	0.964864	0.6794359	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.03556038	0.09215622	0.02997937	0.09301229	0.04672601	0.08914457	0.07552294	0.08769808	0.02375092
10700	-1573.909	-1625.067	51.15772	-0.003375712	0.006796717	0.002779811	-0.005413642	-0.0360585	0.01129893	-0.002915134	-0.01737193	0.0370792	0.0007767385	0.001110184	-0.002587288	0.0007585152	0.0008774975	0.002968987	-0.0004095664	-0.002971055	0.001839677	1	0.99663	1.00343	1.00622	1.00079	0.965343	0.976313	0.973471	0.956706	0.992845	4.043887	0	-0.03082609	0.969644	0.970398	0.971476	0.968965	0.969701	0.970552	0.973438	0.973039	0.970152	0.971939	0.6794359	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.04672601	0.02997937	0.07552294	0.03556038	0.02375092	0.09215622	0.08769808	0.09301229	0.08914457
10710	-1574.307	-1625.464	51.15772	-0.003375712	0.006796717	0.002779811	-0.005413642	-0.0360585	0.01129893	-0.002915134	-0.01737193	0.0370792	-0.002971055	0.002968987	0.001839677	0.0007585152	-0.0004095664	0.001110184	0.0008774975	0.0007767385	-0.002587288	1	0.99663	1.00343	1.00622	1.00079	0.965343	0.976313	0.973471	0.956706	0.992845	4.043887	0	-0.04346532	0.957466	0.954625	0.957464	0.959227	0.959955	0.959562	0.960627	0.961471	0.962218	0.959732	0.6794359	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.09301229	0.09215622	0.08914457	0.03556038	0.08769808	0.02997937	0.02375092	0.04672601	0.07552294
10720	-1574.158	-1625.316	51.15772	-0.003375712	0.006796717	0.002779811	-0.005413642	-0.0360585	0.01129893	-0.002915134	-0.01737193	0.0370792	0.002968987	0.0007585152	-0.002971055	0.001110184	0.001839677	0.0007767385	-0.0004095664	-0.002587288	0.0008774975	1	0.99663	1.00343	1.00622	1.00079	0.965343	0.976313	0.973471	0.956706	0.992845	4.043887	0	-0.02153598	0.978694	0.981604	0.982349	0.979435	0.980523	0.982328	0.983092	0.982689	0.98015	0.98101	0.6794359	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.09215622	0.03556038	0.09301229	0.02997937	0.08914457	0.04672601	0.08769808	0.07552294	0.02375092
10730	-1573.914	-1625.072	51.15772	-0.003375712	0.006796717	0.002779811	-0.005413642	-0.0360585	0.01129893	-0.002915134	-0.01737193	0.0370792	0.0007585152	0.001110184	0.002968987	0.0007767385	-0.002971055	-0.002587288	0.001839677	0.0008774975	-0.0004095664	1	0.99663	1.00343	1.00622	1.00079	0.965343	0.976313	0.973471	0.956706	0.992845	4.043887	0	-0.03241305	0.968107	0.968841	0.969917	0.972801	0.973557	0.970669	0.968161	0.969944	0.970795	0.970398	0.6794359	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.03556038	0.02997937	0.09215622	0.04672601	0.09301229	0.07552294	0.08914457	0.02375092	0.08769808
10740	-1575.418	-1626.575	51.15772	-0.003375712	0.006796717	0.002779811	-0.005413642	-0.0360585	0.01129893	-0.002915134	-0.01737193	0.0370792	0.001839677	-0.0004095664	-0.002971055	0.0008774975	0.002968987	-0.002587288	0.0007585152	0.0007767385	0.001110184	1	0.99663	1.00343	1.00622	1.00079	0.965343	0.976313	0.973471	0.956706	0.992845	4.043887	0	-0.007918605	0.992113	0.99394	0.993533	0.990585	0.991455	0.994403	0.991833	0.992586	0.993357	0.99446	0.6794359	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.08914457	0.08769808	0.09301229	0.02375092	0.09215622	0.07552294	0.03556038	0.04672601	0.02997937
10750	-1575.331	-1626.489	51.15772	-0.003375712	0.006796717	0.002779811	-0.005413642	-0.0360585	0.01129893	-0.002915134	-0.01737193	0.0370792	0.0007767385	-0.002587288	0.001110184	0.0008774975	0.0007585152	-0.0004095664	0.002968987	0.001839677	-0.002971055	1	0.99663	1.00343	1.00622	1.00079	0.965343	0.976313	0.973471	0.956706	0.992845	4.043887	0	-0.0548673	0.946611	0.947346	0.944898	0.945948	0.946778	0.947497	0.947109	0.949925	0.951674	0.948851	0.6794359	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.04672601	0.07552294	0.02997937	0.02375092	0.03556038	0.08769808	0.09215622	0.08914457	0.09301229
10760	-1574.253	-1625.411	51.15772	-0.003375712	0.006796717	0.002779811	-0.005413642	-0.0360585	0.01129893	-0.002915134	-0.01737193	0.0370792	0.002968987	-0.002971055	0.0007585152	0.001839677	0.001110184	-0.0004095664	0.0007767385	0.0008774975	-0.002587288	1	0.99663	1.00343	1.00622	1.00079	0.965343	0.976313	0.973471	0.956706	0.992845	4.043887	0	-0.04258862	0.958306	0.961155	0.958304	0.959031	0.960797	0.961864	0.96147	0.962217	0.963062	0.960573	0.6794359	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.09215622	0.09301229	0.03556038	0.08914457	0.02997937	0.08769808	0.04672601	0.02375092	0.07552294
10770	-1574.643	-1625.801	51.15772	-0.003375712	0.006796717	0.002779811	-0.005413642	-0.0360585	0.01129893	-0.002915134	-0.01737193	0.0370792	0.0007767385	-0.002587288	0.001110184	0.0008774975	0.0007585152	-0.0004095664	0.002968987	0.001839677	-0.002971055	1	0.99663	1.00343	1.00622	1.00079	0.965343	0.976313	0.973471	0.956706	0.992845	4.043887	0	-0.0148056	0.985303	0.986069	0.983521	0.984614	0.985478	0.986226	0.985822	0.988753	0.990574	0.987635	0.6794359	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.04672601	0.07552294	0.02997937	0.02375092	0.03556038	0.08769808	0.09215622	0.08914457	0.09301229
10780	-1574.994	-1626.151	51.15772	-0.003375712	0.006796717	0.002779811	-0.005413642	-0.0360585	0.01129893	-0.002915134	-0.01737193	0.0370792	0.001110184	0.0007585152	0.0007767385	0.002968987	-0.002587288	-0.002971055	0.0008774975	0.001839677	-0.0004095664	1	0.99663	1.00343	1.00622	1.00079	0.965343	0.976313	0.973471	0.956706	0.992845	4.043887	0	-0.05176806	0.949549	0.950604	0.951325	0.952064	0.954895	0.952428	0.949602	0.950436	0.952186	0.951796	0.6794359	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.02997937	0.03556038	0.04672601	0.09215622	0.07552294	0.09301229	0.02375092	0.08914457	0.08769808
10790	-1574.449	-1625.606	51.15772	-0.003375712	0.006796717	0.002779811	-0.005413642	-0.0360585	0.01129893	-0.002915134	-0.01737193	0.0370792	0.0008774975	-0.002587288	-0.0004095664	0.0007767385	0.001839677	0.001110184	-0.002971055	0.0007585152	0.002968987	1	0.99663	1.00343	1.00622	1.00079	0.965343	0.976313	0.973471	0.956706	0.992845	4.043887	0	-0.01709471	0.983051	0.983914	0.981371	0.980969	0.981732	0.983539	0.984632	0.981711	0.982456	0.985377	0.6794359	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.02375092	0.07552294	0.08769808	0.04672601	0.08914457	0.02997937	0.09301229	0.03556038	0.09215622
10800	-1573.964	-1625.122	51.15772	-0.003375712	0.006796717	0.002779811	-0.005413642	-0.0360585	0.01129893	-0.002915134	-0.01737193	0.0370792	0.0007585152	0.002968987	0.001110184	-0.002971055	0.0007767385	0.001839677	-0.002587288	-0.0004095664	0.0008774975	1	0.99663	1.00343	1.00622	1.00079	0.965343	0.976313	0.973471	0.956706	0.992845	4.043887	0	-0.0265812	0.973769	0.974508	0.977405	0.978491	0.975588	0.976346	0.978144	0.975617	0.975217	0.976073	0.6794359	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.03556038	0.09215622	0.02997937	0.09301229	0.04672601	0.08914457	0.07552294	0.08769808	0.02375092
