"","SCIENTIFIC_NAME"
"1005","Alchornea latifolia"
"1006","Alchorneopsis floribunda"
"1007","Filicium decipiens"
"1008","Alectryon macrococcus"
"1009","Alectryon spp."
"1010","Aleurites moluccana"
"1011","Aleurites spp."
"1012","Aleurites trisperma"
"1013","Allophylus crassinervis"
"1014","Allophylus racemosus"
"1015","Allophylus spp."
"1016","Allophylus ternatus"
"1017","Allophylus timorensis"
"1018","Alnus nepalensis"
"1019","Alphitonia carolinensis"
"1020","Alphitonia ponderosa"
"1021","Alphitonia spp."
"1022","Alphitonia zizyphoides"
"1023","Alsophila bryophila"
"1024","Alsophila portoricensis"
"1025","Alstonia macrophylla"
"1026","Alstonia pacifica"
"1027","Alstonia spp."
"1028","Amphitecna latifolia"
"1029","Amyris balsamifera"
"1030","Anacardium spp."
"1031","Anacardium occidentale"
"1032","Anacolosa glochidiiformis"
"1033","Anacolosa insularis"
"1034","Anadenanthera peregrina"
"1035","Andira inermis"
"1036","Angiopteris evecta"
"1037","Aniba bracteata"
"1038","Annona cherimola"
"1039","Annona diversifolia"
"1040","Annona montana"
"1041","Annona muricata"
"1042","Annona reticulata"
"1043","Annona spp."
"1044","Annona squamosa"
"1045","Antidesma excavatum"
"1046","Antidesma kapuae"
"1047","Antidesma bunius"
"1048","Antidesma kusaiense"
"1049","Antidesma platyphyllum"
"1050","Antidesma ponapense"
"1051","Antidesma pulvinatum"
"1052","Antidesma sphaerocarpum"
"1053","Antidesma spp."
"1054","Antirhea acutata"
"1055","Antirhea coriacea"
"1056","Antirhea inconspicua"
"1057","Antirhea lucida"
"1058","Antirhea obtusifolia"
"1059","Antirhea portoricensis"
"1060","Antirhea sintenisii"
"1061","Araucaria araucana"
"1062","Araucaria angustifolia"
"1063","Araucaria columnaris"
"1064","Araucaria excelsa"
"1065","Araucaria heterophylla"
"1066","Araucaria spp."
"1067","Archontophoenix alexandrae"
"1068","Archontophoenix cunninghamiana"
"1069","Ardisia elliptica"
"1070","Ardisia glauciflora"
"1071","Ardisia luquillensis"
"1072","Ardisia obovata"
"1073","Ardisia solanacea"
"1074","Ardisia spp."
"1075","Areca catechu"
"1076","Arenga pinnata"
"1077","Artocarpus altilis"
"1078","Artocarpus heterophyllus"
"1079","Artocarpus mariannensis"
"1080","Artocarpus nobilis"
"1081","Artocarpus odoratissimus"
"1082","Artocarpus spp."
"1083","Arytera brackenridgei"
"1084","Arbutus unedo"
"1085","Ascarina diffusa"
"1086","Astronidium kusaianum"
"1087","Astronidium navigatorum"
"1088","Astronidium palauense"
"1089","Astronidium pickeringii"
"1090","Astronidium samoense"
"1091","Astronidium spp."
"1092","Astronidium subcordata"
"1093","Atuna racemosa"
"1094","Averrhoa bilimbi"
"1095","Averrhoa carambola"
"1096","Averrhoa spp."
"1097","Avicennia alba"
"1098","Avicennia marina"
"1099","Avicennia spp."
"1100","Azadirachta indica"
"1101","Baccaurea taitensis"
"1102","Larix decidua"
"1103","Badusa palauensis"
"1104","Bambusa spp."
"1105","Bambusa vulgaris"
"1106","Banara portoricensis"
"1107","Beaucarnea recurvata"
"1108","Hura crepitans"
"1109","Hyeronima clusioides"
"1110","Hylocereus spp."
"1111","Hylocereus undatus"
"1112","Hymenaea courbaril"
"1113","Hypelate trifoliata"
"1114","Hyperbaena laurifolia"
"1115","Hypericum canariense"
"1116","Ilex anomala"
"1117","Ilex aquifolium"
"1118","Ilex cassine"
"1119","Ilex cookii"
"1120","Ilex guianensis"
"1121","Ilex macfadyenii"
"1122","Ilex nitida"
"1123","Ilex paraguariensis"
"1124","Ilex sideroxyloides"
"1125","Ilex sintenisii"
"1126","Ilex spp."
"1127","Ilex urbaniana"
"1128","Ilex urbaniana var. riedlaei"
"1129","Inga spp."
"1130","Ilex vomitoria"
"1131","Inga laurina"
"1132","Inga nobilis"
"1133","Inga edulis"
"1134","Inga vera"
"1135","Inocarpus fagifer"
"1136","Intsia bijuga"
"1137","Ixora ferrea"
"1138","Ixora thwaitesii"
"1139","Jacaranda mimosifolia"
"1140","Jacaranda spp."
"1141","Jacquinia armillaris"
"1142","Juniperus bermudiana"
"1143","Jacquinia berteroi"
"1144","Juniperus chinensis"
"1145","Jacquinia umbellata"
"1146","Jatropha curcas"
"1147","Jatropha hernandiifolia"
"1148","Jatropha multifida"
"1149","Jatropha spp."
"1150","Juglans jamaicensis"
"1151","Juglans regia"
"1152","Kayea pacifica"
"1153","Khaya anthotheca"
"1154","Khaya senegalensis"
"1155","Kigelia africana"
"1156","Kleinhovia hospita"
"1157","Koelreuteria bipinnata"
"1158","Koanophyllon polyodon"
"1159","Kokia cookei"
"1160","Kokia drynarioides"
"1161","Kokia kauaiensis"
"1162","Kokia lanceolata"
"1163","Kokia spp."
"1164","Krugiodendron ferreum"
"1165","Koelreuteria paniculata"
"1166","Kunzea ericoides"
"1167","Kunzea spp."
"1168","Labordia fagraeoidea"
"1169","Labordia hedyosmifolia"
"1170","Labordia hirtella"
"1171","Labordia kaalae"
"1172","Labordia lydgatei"
"1173","Labordia spp."
"1174","Labordia tinifolia"
"1175","Labordia triflora"
"1176","Labordia waiolani"
"1177","Laetia procera"
"1178","Laburnum anagyroides"
"1179","Lagerstroemia indica"
"1180","Lagerstroemia speciosa"
"1181","Lansium domesticum"
"1182","Laplacea portoricensis"
"1183","Latania loddigesii"
"1184","Lawsonia inermis"
"1185","Leandra krugiana"
"1186","Leptocereus quadricostatus"
"1187","Leptospermum morrisonii"
"1188","Leptospermum petersonii"
"1189","Leptospermum polygalifolim"
"1190","Leptospermum scoparium"
"1191","Leptospermum spp."
"1192","Schleinitzia fosbergii"
"1193","Leucaena leucocephala"
"1194","Leucaena spp."
"1195","Leucaena retusa"
"1196","Maytenus elongata"
"1197","Maytenus laevigata"
"1198","Maytenus ponceana"
"1199","Maytenus thompsonii"
"1200","Mecranium latifolium"
"1201","Medusanthera carolinensis"
"1202","Medusanthera samoensis"
"1203","Medusanthera spp."
"1204","Melaleuca spp."
"1205","Melanolepis multiglandulosa"
"1206","Melastoma candidum"
"1207","Melastoma sanguineum"
"1208","Melaleuca linariifolia"
"1209","Melia spp."
"1210","Melicoccus bijugatus"
"1211","Melicope vatiana"
"1212","Melicope anisata"
"1213","Melicope balloui"
"1214","Melicope barbigera"
"1215","Melicope christophersenii"
"1216","Melicope cinerea"
"1217","Melicope clusiifolia"
"1218","Melicope cruciata"
"1219","Melicope elliptica"
"1220","Melicope haleakalae"
"1221","Melicope haupuensis"
"1222","Melicope hawaiensis"
"1223","Melicope hiiakae"
"1224","Melicope hosakae"
"1225","Melicope kaalaensis"
"1226","Melicope knudsenii"
"1227","Melicope macropus"
"1228","Melicope makahae"
"1229","Melicope molokaiensis"
"1230","Melicope mucronulata"
"1231","Melicope oahuensis"
"1232","Melicope obovata"
"1233","Melicope orbicularis"
"1234","Melicope ovalis"
"1235","Melicope ovata"
"1236","Melicope pallida"
"1237","Melicope paniculata"
"1238","Melicope peduncularis"
"1239","Melicope pseudoanisata"
"1240","Melicope puberula"
"1241","Melicope quadrangularis"
"1242","Melicope radiata"
"1243","Melicope latifolia"
"1244","Melicope rotundifolia"
"1245","Melicope saint-johnii"
"1246","Melicope sandwicensis"
"1247","Melicope spp."
"1248","Melicope volcanica"
"1249","Melicope waialealae"
"1250","Melicope wawraeana"
"1251","Melicope zahlbruckneri"
"1252","Melicytus samoensis"
"1253","Meliosma herbertii"
"1254","Meliosma obtusifolia"
"1255","Melochia aristata"
"1256","Melochia spp."
"1257","Melochia tomentosa"
"1258","Melochia umbellata"
"1259","Melochia villosissima var. compacta"
"1260","Melochia villosissima var. villosissima"
"1261","Merrilliodendron megacarpum"
"1262","Meryta macrophylla"
"1263","Meryta senfftiana"
"1264","Meryta spp."
"1265","Metasequoia glyptostroboides"
"1266","Metrosideros collina"
"1267","Metrosideros macropus"
"1268","Metrosideros polymorpha"
"1269","Metrosideros rugosa"
"1270","Metrosideros spp."
"1271","Metrosideros tremuloides"
"1272","Metrosideros waialealae"
"1273","Metroxylon amicarum"
"1274","Metroxylon sagu"
"1275","Metroxylon spp."
"1276","Michelia champaca"
"1277","Miconia lanata"
"1278","Miconia affinis"
"1279","Miconia calvescens"
"1280","Miconia foveolata"
"1281","Miconia impetiolaris"
"1282","Miconia laevigata"
"1283","Miconia mirabilis"
"1284","Miconia pachyphylla"
"1285","Miconia prasina"
"1286","Miconia punctata"
"1287","Miconia pycnoneura"
"1288","Miconia racemosa"
"1289","Miconia rubiginosa"
"1290","Miconia serrulata"
"1291","Miconia sintenisii"
"1292","Miconia subcorymbosa"
"1293","Miconia tetrandra"
"1294","Miconia thomasiana"
"1295","Micromelum minutum"
"1296","Micropholis garciniifolia"
"1297","Micropholis guyanensis"
"1298","Millettia pinnata"
"1299","Mimosa arenosa"
"1300","Mimusops elengi"
"1301","Monodora spp."
"1302","Montanoa hibiscifolia"
"1303","Montanoa spp."
"1304","Morella cerifera"
"1305","Morella faya"
"1306","Morella holdridgeana"
"1307","Morella spp."
"1308","Morinda citrifolia"
"1309","Morinda latibractea"
"1310","Morinda pedunculata"
"1311","Morinda spp."
"1312","Morinda trimera"
"1313","Moringa oleifera"
"1314","Morisonia americana"
"1315","Myoporum laetum"
"1316","Mouriri domingensis"
"1317","Mouriri helleri"
"1318","Munroidendron racemosum"
"1319","Muntingia calabura"
"1320","Muntingia spp."
"1321","Murraya exotica"
"1322","Murraya koenigii"
"1323","Musa x paradisiaca"
"1324","Musa coccinea"
"1325","Musa nana"
"1326","Musa sapientum"
"1327","Musa spp."
"1328","Musa textilis"
"1329","Musa tikap"
"1330","Musa troglodytarum"
"1331","Mussaenda frondosa"
"1332","Mussaenda raiateensis"
"1333","Mussaenda spp."
"1334","Myoporum sandwicense"
"1335","Myoporum spp."
"1336","Myrcia citrifolia"
"1337","Myrcia deflexa"
"1338","Myrcia fallax"
"1339","Myrcia leptoclada"
"1340","Myrcia paganii"
"1341","Myrcia splendens"
"1342","Myrcia spp."
"1343","Myrcianthes fragrans"
"1344","Myrciaria cauliflora"
"1345","Myrciaria floribunda"
"1346","Myrica rubra"
"1347","Myrica spp."
"1348","Myristica hypargyraea"
"1349","Myristica insularis"
"1350","Myristica spp."
"1351","Myrospermum frutescens"
"1352","Myristica inutilis"
"1353","Myroxylon balsamum"
"1354","Myrsine alyxifolia"
"1355","Myrsine coriacea"
"1356","Myrsine cubana"
"1357","Myrsine degeneri"
"1358","Myrsine emarginata"
"1359","Myrsine fernseei"
"1360","Myrsine fosbergii"
"1361","Myrsine helleri"
"1362","Myrsine kauaiensis"
"1363","Myrsine knudsenii"
"1364","Myrsine lanaiensis"
"1365","Myrsine lessertiana"
"1366","Myrsine mezii"
"1367","Myrsine petiolata"
"1368","Myrsine pukooensis"
"1369","Myrsine sandwicensis"
"1370","Myrsine spp."
"1371","Myrsine wawraea"
"1372","Myrsine palauensis"
"1373","Nectandra coriacea"
"1374","Nectandra hihua"
"1375","Nectandra krugii"
"1376","Nectandra membranacea"
"1377","Nectandra patens"
"1378","Nectandra turbacensis"
"1379","Neea buxifolia"
"1380","Neisosperma oppositifolia"
"1381","Neolamarckia cadamba"
"1382","Neolaugeria resinosa"
"1383","Neonauclea forsteri"
"1384","Nephelium lappaceum"
"1385","Nephelium ramboutan-ake"
"1386","Neraudia melastomifolia"
"1387","Nerium oleander"
"1388","Nesoluma polynesicum"
"1389","Nestegis sandwicensis"
"1390","Nestegis spp."
"1391","Neuburgia celebica"
"1392","Nicotiana glauca"
"1393","Nicotiana spp."
"1394","Nothocestrum breviflorum"
"1395","Nothocestrum latifolium"
"1396","Nothocestrum longifolium"
"1397","Nothocestrum peltatum"
"1398","Nothocestrum spp."
"1399","Nototrichium humile"
"1400","Nototrichium sandwicense"
"1401","Nypa fruticans"
"1402","Ochna mossambicensis"
"1403","Ochna spp."
"1404","Ochna thomasiana"
"1405","Ochroma pyramidale"
"1406","Ochrosia compta"
"1407","Ochrosia haleakalae"
"1408","Ochrosia kauaiensis"
"1409","Ochrosia kilaueaensis"
"1410","Ochrosia spp."
"1411","Ochrosia mariannensis"
"1412","Ocotea floribunda"
"1413","Ocotea foeniculacea"
"1414","Ocotea leucoxylon"
"1415","Ocotea moschata"
"1416","Ocotea nemodaphne"
"1417","Ocotea portoricensis"
"1418","Oleandra neriiformis"
"1419","Ocotea spathulata"
"1420","Ocotea wrightii"
"1421","Olea europaea"
"1422","Olea spp."
"1423","Homalanthus acuminatus"
"1424","Homalanthus nutans"
"1425","Homalanthus spp."
"1426","Ophiorrhiza palauensis"
"1427","Opuntia cochenillifera"
"1428","Opuntia ficus-indica"
"1429","Opuntia monacantha"
"1430","Opuntia spp."
"1431","Ormosia calavensis"
"1432","Ormosia krugii"
"1433","Osmoxylon oliveri"
"1434","Osmoxylon pachyphyllum"
"1435","Osmoxylon spp."
"1436","Ottoschulzia rhodoxylon"
"1437","Ouratea ilicifolia"
"1438","Ouratea littoralis"
"1439","Ouratea striata"
"1440","Oxandra lanceolata"
"1441","Oxandra laurifolia"
"1442","Pachira aquatica"
"1443","Pachira insignis"
"1444","Palaquium stehlinii"
"1445","Palicourea alpina"
"1446","Palicourea crocea"
"1447","Palicourea croceoides"
"1448","Palicourea guianensis"
"1449","Pandanus japensis"
"1450","Pandanus aimiriikensis"
"1451","Pandanus cominsii"
"1452","Pandanus compressus"
"1453","Pandanus cylindricus"
"1454","Pandanus dilatatus"
"1455","Pandanus divergens"
"1456","Pandanus dubius"
"1457","Pandanus duriocarpus"
"1458","Pandanus enchabiensis"
"1459","Pandanus fischerianus"
"1460","Pandanus fragrans"
"1461","Pandanus hosinoi"
"1462","Pandanus jaluitensis"
"1463","Pandanus kanehirae"
"1464","Pandanus korrensis"
"1465","Pandanus lakatwa"
"1466","Pandanus laticanaliculatus"
"1467","Pandanus macrocephalus"
"1468","Pandanus macrojeanneretia"
"1469","Pandanus menne"
"1470","Palaquium karrak"
"1471","Pandanus odontoides"
"1472","Pandanus palawensis"
"1473","Pandanus patina"
"1474","Pandanus peliliuensis"
"1475","Pandanus ponapensis"
"1476","Pandanus pulposus"
"1477","Pandanus rectangulatus"
"1478","Pandanus reineckei"
"1479","Pandanus rotundatus"
"1480","Pandanus spp."
"1481","Pandanus tectorius"
"1482","Pandanus tolotomensis"
"1483","Pandanus trukensis"
"1484","Pandanus utilis"
"1485","Pandanus variegatus"
"1486","Pangium edule"
"1487","Pandanus obliquus"
"1488","Parathesis crenulata"
"1489","Parinari insularum"
"1490","Parinari laurina"
"1491","Parinari spp."
"1492","Parkia spp."
"1493","Parkia korom"
"1494","Parkia parvifoliola"
"1495","Parkia timoriana"
"1496","Parkinsonia aculeata"
"1497","Parkinsonia spp."
"1498","Parmentiera aculeata"
"1499","Parmentiera cereifera"
"1500","Parkinsonia texana"
"1501","Peltophorum pterocarpum"
"1502","Pemphis acidula"
"1503","Pentadesma butyracea"
"1504","Pera bumeliifolia"
"1505","Pericopsis mooniana"
"1506","Perrottetia sandwicensis"
"1507","Persea krugii"
"1508","Persea urbaniana"
"1509","Petitia domingensis"
"1510","Phialanthus grandifolius"
"1511","Phialanthus myrtilloides"
"1512","Phaleria nisidai"
"1513","Phoenix roebelenii"
"1514","Phoenix canariensis"
"1515","Phoenix dactylifera"
"1516","Phoenix spp."
"1517","Phoenix sylvestris"
"1518","Photinia davidiana"
"1519","Photinia x fraseri"
"1520","Phyllanthus acidus"
"1521","Phyllanthus distichus"
"1522","Phyllanthus juglandifolius"
"1523","Phyllanthus orbicularis"
"1524","Picramnia pentandra"
"1525","Picrasma excelsa"
"1526","Pictetia aculeata"
"1527","Pilocarpus racemosus"
"1528","Pilosocereus royenii"
"1529","Pimenta dioica"
"1530","Pimenta racemosa"
"1531","Pimenta racemosa var. grisea"
"1532","Pimenta spp."
"1533","Pinanga insignis"
"1534","Pinus roxburghii"
"1535","Pinus caribaea"
"1536","Pinus massoniana"
"1537","Pinus merkusii"
"1538","Pinus oocarpa"
"1539","Pinus patula"
"1540","Pinus pinaster"
"1541","Pinus densiflora"
"1542","Piper aduncum"
"1543","Piper amalago"
"1544","Piper blattarum"
"1545","Piper glabrescens"
"1546","Piper hispidum"
"1547","Piper jacquemontianum"
"1548","Piper marginatum"
"1549","Pinus parviflora"
"1550","Pinus thunbergii"
"1551","Piper swartzianum"
"1552","Pinus bungeana"
"1553","Pinus canariensis"
"1554","Pinus halepensis"
"1555","Pinus pinea"
"1556","Pipturus albidus"
"1557","Pipturus argenteus"
"1558","Pipturus spp."
"1559","Piscidia carthagenensis"
"1560","Piscidia spp."
"1561","Pisonia albida"
"1562","Pisonia brunoniana"
"1563","Pisonia grandis"
"1564","Pisonia sandwicensis"
"1565","Pisonia spp."
"1566","Pisonia subcordata"
"1567","Pisonia umbellifera"
"1568","Pisonia wagneriana"
"1569","Pistacia chinensis"
"1570","Pithecellobium dulce"
"1571","Pittosporum tobira"
"1572","Pithecellobium unguis-cati"
"1573","Pittosporum monae"
"1574","Pittosporum ferrugineum"
"1575","Pittosporum argentifolium"
"1576","Pittosporum confertiflorum"
"1577","Pittosporum flocculosum"
"1578","Pittosporum gayanum"
"1579","Pittosporum glabrum"
"1580","Pittosporum halophilum"
"1581","Pittosporum hawaiiense"
"1582","Pittosporum hosmeri"
"1583","Pittosporum kauaiense"
"1584","Pittosporum napaliense"
"1585","Pittosporum pentandrum"
"1586","Pittosporum spp."
"1587","Pittosporum terminalioides"
"1588","Pittosporum undulatum"
"1589","Pittosporum viridiflorum"
"1590","Planchonella garberi"
"1591","Planchonella grayana"
"1592","Planchonella linggensis"
"1593","Planchonella samoensis"
"1594","Planchonella spp."
"1595","Planchonella torricellensis"
"1596","Platycladus orientalis"
"1597","Platydesma remyi"
"1598","Platydesma spathulata"
"1599","Platydesma spp."
"1600","Platanus hybrida"
"1601","Platanus orientalis"
"1602","Pleodendron macranthum"
"1603","Platanus mexicana"
"1604","Pleomele aurea"
"1605","Pleomele auwahiensis"
"1606","Pleomele fernaldii"
"1607","Pleomele forbesii"
"1608","Pleomele halapepe"
"1609","Pleomele hawaiiensis"
"1610","Pleomele spp."
"1611","Plumeria alba"
"1612","Plumeria obtusa"
"1613","Plumeria obtusa var. obtusa"
"1614","Plumeria rubra"
"1615","Plumeria spp."
"1616","Podocarpus coriaceus"
"1617","Podocarpus macrophyllus"
"1618","Poitea florida"
"1619","Poitea punicea"
"1620","Polygala cowellii"
"1621","Polygala penaea"
"1622","Polyscias grandifolia"
"1623","Polyscias guilfoylei"
"1624","Polyscias macgillivrayi"
"1625","Polyscias nodosa"
"1626","Polyscias samoensis"
"1627","Polyscias scutellaria"
"1628","Polyscias spp."
"1629","Pometia pinnata"
"1630","Ponapea hosinoi"
"1631","Ponapea ledermanniana"
"1632","Ponapea spp."
"1633","Pongamia pinnata"
"1634","Poncirus trifoliata"
"1635","Pouteria caimito"
"1636","Pouteria calcarea"
"1637","Pouteria campechiana"
"1638","Pouteria dictyoneura"
"1639","Pouteria hotteana"
"1640","Pouteria multiflora"
"1641","Planchonella obovata"
"1642","Pouteria sandwicensis"
"1643","Pouteria sapota"
"1644","Pouteria spp."
"1645","Premna obtusifolia"
"1646","Premna pubescens"
"1647","Premna serratifolia"
"1648","Premna spp."
"1649","Prestoea acuminata"
"1650","Populus x canadensis"
"1651","Populus x canescens"
"1652","Pritchardia affinis"
"1653","Pritchardia arecina"
"1654","Pritchardia beccariana"
"1655","Pritchardia forbesiana"
"1656","Pritchardia hardyi"
"1657","Pritchardia hillebrandii"
"1658","Pritchardia kaalae"
"1659","Pritchardia lanaiensis"
"1660","Pritchardia lanigera"
"1661","Pritchardia limahuliensis"
"1662","Pritchardia lowreyana"
"1663","Pritchardia martii"
"1664","Pritchardia minor"
"1665","Pritchardia munroi"
"1666","Pritchardia pacifica"
"1667","Pritchardia perlmanii"
"1668","Pritchardia remota"
"1669","Pritchardia schattaueri"
"1670","Pritchardia spp."
"1671","Pritchardia viscosa"
"1672","Pritchardia waialealeana"
"1673","Prockia crucis"
"1674","Procris pedunculata"
"1675","Prosopis cineraria"
"1676","Prosopis juliflora"
"1677","Prosopis pallida"
"1678","Prunus caroliniana"
"1679","Prunus myrtifolia"
"1680","Prunus occidentalis"
"1681","Prunus cerasifera"
"1682","Prunus serotina ssp. capuli"
"1683","Prunus armeniaca"
"1684","Prunus dulcis"
"1685","Pseudolmedia spuria"
"1686","Pseudophoenix sargentii"
"1687","Psidium amplexicaule"
"1688","Psidium cattleianum"
"1689","Psidium guajava"
"1690","Prunus x yedoensis"
"1691","Psidium longipes"
"1692","Psidium sintenisii"
"1693","Prunus salicina"
"1694","Psychotria berteriana"
"1695","Psychotria brachiata"
"1696","Psychotria brownei"
"1697","Psychotria domingensis"
"1698","Psychotria fauriei"
"1699","Psychotria grandiflora"
"1700","Psychotria grandis"
"1701","Psychotria carolinensis"
"1702","Psychotria greenwelliae"
"1703","Psychotria hathewayi"
"1704","Psychotria hawaiiensis"
"1705","Psychotria hexandra"
"1706","Psychotria hexandra ssp. oahuensis"
"1707","Psychotria hobdyi"
"1708","Psychotria insularum"
"1709","Psychotria kaduana"
"1710","Psychotria maleolens"
"1711","Psychotria mariana"
"1712","Psychotria maricaensis"
"1713","Psychotria mariniana"
"1714","Psychotria mauiensis"
"1715","Psychotria microdon"
"1716","Psychotria nutans"
"1717","Psychotria pubescens"
"1718","Psychotria rhombocarpa"
"1719","Psychotria rotensis"
"1720","Psychotria spp."
"1721","Psychotria wawrae"
"1722","Psydrax odorata"
"1723","Ptelea trifoliata"
"1724","Pteralyxia kauaiensis"
"1725","Pteralyxia macrocarpa"
"1726","Pteralyxia spp."
"1727","Pterocarpus indicus"
"1728","Pterocarpus macrocarpus"
"1729","Pterocarpus marsupium"
"1730","Pterocarpus officinalis"
"1731","Pterocarya stenoptera"
"1732","Ptychococcus ledermannianus"
"1733","Psychotria cheathamiana"
"1734","Ptychosperma macarthuri"
"1735","Ptychosperma palauense"
"1736","Ptychosperma spp."
"1737","Punica granatum"
"1738","Pyrus spp."
"1739","Pyrus calleryana"
"1740","Quararibea turbinata"
"1741","Pyrus communis"
"1742","Quercus suber"
"1743","Randia aculeata"
"1744","Pyrus pyrifolia"
"1745","Quercus acutissima"
"1746","Quercus austrina"
"1747","Rapanea myricifolia"
"1748","Rauvolfia vomitoria"
"1749","Rauvolfia insularis"
"1750","Rauvolfia nitida"
"1751","Rauvolfia sandwicensis"
"1752","Rauvolfia spp."
"1753","Ravenala madagascariensis"
"1754","Quercus cerris"
"1755","Quercus fusiformis"
"1756","Ravenia urbanii"
"1757","Reynoldsia lanutoensis"
"1758","Quercus geminata"
"1759","Reynoldsia sandwicensis"
"1760","Reynoldsia spp."
"1761","Reynosia guama"
"1762","Reynosia krugii"
"1763","Reynosia uncinata"
"1764","Quercus hemisphaerica"
"1765","Quercus ilex"
"1766","Quercus pungens"
"1767","Quercus tardifolia"
"1768","Rheedia edulis"
"1769","Quercus toumeyi"
"1770","Rhizophora apiculata"
"1771","Quercus turbinella"
"1772","Rhizophora lamarckii"
"1773","Quercus vaseyana"
"1774","Rhizophora mucronata"
"1775","Rhizophora spp."
"1776","Rhizophora stylosa"
"1777","Rhodomyrtus spp."
"1778","Rhodomyrtus tomentosa"
"1779","Rhus sandwicensis"
"1780","Rhus spp."
"1781","Rhus taitensis"
"1782","Rhus lancea"
"1783","Rhododendron catawbiense"
"1784","Ricinus communis"
"1785","Ricinus spp."
"1786","Rinorea carolinensis"
"1787","Rhus copallinum"
"1788","Rochefortia acanthophora"
"1789","Rhus glabra"
"1790","Rochefortia spinosa"
"1791","Rhus lanceolata"
"1792","Rollinia deliciosa"
"1793","Rollinia mucosa"
"1794","Rondeletia inermis"
"1795","Rondeletia pilosa"
"1796","Rondeletia portoricensis"
"1797","Robinia hispida"
"1798","Quercus sinuata var. breviloba"
"1799","Roystonea borinquena"
"1800","Roystonea elata"
"1801","Roystonea oleracea"
"1802","Quercus robusta"
"1803","Sabal causiarum"
"1804","Sabal minor"
"1805","Sagraea umbrosa"
"1806","Salix humboldtiana"
"1807","Salix discolor"
"1808","Samadera indica"
"1809","Salix lasiolepis"
"1810","Samanea saman"
"1811","Samanea spp."
"1812","Salix sitchensis"
"1813","Salix gooddingii"
"1814","Sambucus nigra"
"1815","Sambucus spp."
"1816","Quercus gravesii"
"1817","Quercus polymorpha"
"1818","Quercus buckleyi"
"1819","Quercus laceyi"
"1820","Sandoricum koetjape"
"1821","Santalum ellipticum"
"1822","Santalum freycinetianum"
"1823","Santalum album"
"1824","Salix lutea"
"1825","Santalum haleakalae"
"1826","Santalum paniculatum"
"1827","Salix planifolia"
"1828","Salix sericea"
"1829","Santalum salicifolium"
"1830","Santalum spp."
"1831","Sambucus nigra ssp. nigra"
"1832","Sapindus oahuense"
"1833","Sapindus saponaria"
"1834","Sapindus spp."
"1835","Sapindus vitiensis"
"1836","Sapium glandulosum"
"1837","Sapium indicum"
"1838","Sapium laurifolium"
"1839","Sapium laurocerasus"
"1840","Sarcopygme pacifica"
"1841","Savia sessiliflora"
"1842","Scaevola cerasifolia"
"1843","Scaevola chamissoniana"
"1844","Scaevola gaudichaudiana"
"1845","Scaevola procera"
"1846","Scaevola spp."
"1847","Schefflera kraemeri"
"1848","Schaefferia frutescens"
"1849","Schaefferia spp."
"1850","Samyda dodecandra"
"1851","Schefflera gleasonii"
"1852","Schefflera morototonii"
"1853","Schefflera samoensis"
"1854","Scaevola taccada"
"1855","Schinus molle"
"1856","Schinus terebinthifolius"
"1857","Schizolobium parahybum"
"1858","Schleichera oleosa"
"1859","Schoepfia arenaria"
"1860","Schoepfia obovata"
"1861","Schoepfia schreberi"
"1862","Scyphiphora hydrophyllacea"
"1863","Securinega flexuosa"
"1864","Semecarpus kraemeri"
"1865","Semecarpus venenosa"
"1866","Senna alata"
"1867","Senna atomaria"
"1868","Senna gaudichaudii"
"1869","Senna multijuga"
"1870","Senna pendula"
"1871","Senna polyphylla"
"1872","Senna septemtrionalis"
"1873","Senna siamea"
"1874","Senna spectabilis"
"1875","Senna spp."
"1876","Senna sulfurea"
"1877","Senna surattensis"
"1878","Serianthes kanehirae"
"1879","Serianthes nelsonii"
"1880","Sesbania grandiflora"
"1881","Sesbania sesban"
"1882","Sesbania spp."
"1883","Shirakiopsis indica"
"1884","Sida fallax"
"1885","Sida spp."
"1886","Sideroxylon cubense"
"1887","Sideroxylon celastrinum"
"1888","Sideroxylon obovatum"
"1889","Sideroxylon portoricense"
"1890","Sideroxylon lycioides"
"1891","Sideroxylon tenax"
"1892","Simarouba spp."
"1893","Sideroxylon laetevirens"
"1894","Simarouba tulae"
"1895","Siphoneugena densiflora"
"1896","Sideroxylon persimile"
"1897","Sloanea spp."
"1898","Sloanea amygdalina"
"1899","Sloanea berteriana"
"1900","Solanum bahamense"
"1901","Solanum donianum"
"1902","Solanum americanum"
"1903","Solanum erianthum"
"1904","Solanum mauritianum"
"1905","Solanum nudum"
"1906","Solanum polygamum"
"1907","Solanum rugosum"
"1908","Solanum spp."
"1909","Solanum torvum"
"1910","Sonneratia alba"
"1911","Sophora chrysophylla"
"1912","Sophora spp."
"1913","Sophora tomentosa"
"1914","Spathodea campanulata"
"1915","Spathodea spp."
"1916","Spiraeanthemum samoense"
"1917","Styphnolobium japonicum"
"1918","Sophora secundiflora"
"1919","Spondias dulcis"
"1920","Spondias mombin"
"1921","Cordia boissieri"
"1922","Spondias purpurea"
"1923","Spondias spp."
"1924","Stahlia monosperma"
"1925","Stemonurus ammui"
"1926","Spondias pinnata"
"1927","Sorbaria spp."
"1928","Sorbus scopulina"
"1929","Sorbus sitchensis"
"1930","Soulamea amara"
"1931","Sterculia apetala"
"1932","Sterculia fanaiho"
"1933","Sterculia foetida"
"1934","Sterculia palauensis"
