Family,Genus,Species Name,Authority,*Taxonomic Notes,Country Distribution,Endemic,State Distribution,IUCN Red List Assessment,IUCN Red List Assessment Year,NatureServe Grank,NatureServe Grank Year,Federal Listing Status,Federal Listing Year,Ex-situ Collections
Pinaceae,Abies,Abies amabilis,Douglas ex J.Forbes,,"United States, Canada",No,"AK, CA, OR, WA",Least Concern,2013,G5,2015,Not listed,Not listed,60
Pinaceae,Abies,Abies balsamea,(L.) Mill.,,"Canada, Saint Pierre and Miquelon, United States",No,"CT, IA, MA, MD, ME, MI, MN, NH, NJ, NY, OH, PA, RI, VA, VT, WI, WV",Least Concern,2013,G5,2016,Not listed,Not listed,124
Pinaceae,Abies,Abies bracteata,(D.Don) A.Poit.,,United States,Yes,CA,Near Threatened,2013,G2,2017,Not listed,Not listed,31
Pinaceae,Abies,Abies concolor,(Gord.) Lindl.ex Hildebr.,,"Mexico, United States",No,"AZ, CA, CO, ID, MA, ME, NM, NV, OR, UT, WA, WY",Least Concern,2013,G5,1995,Not listed,Not listed,192
Pinaceae,Abies,Abies fraseri,(Pursh) Poir.,,United States,Yes,"GA, NC, TN, VA, WV",Endangered,2013,G2,2018,Not listed,Not listed,96
Pinaceae,Abies,Abies grandis,(Douglas ex D.Don) Lindl.,,"Canada, United States",No,"CA, ID, MT, OR, WA",Least Concern,2013,G5,2016,Not listed,Not listed,129
Pinaceae,Abies,Abies lasiocarpa,(Hook.) Nutt.,,"United States, Canada",No,"AK, AZ, CA, CO, ID, MT, NM, NV, OR, UT, WA, WY",Least Concern,2013,G5,2016,Not listed,Not listed,88
Pinaceae,Abies,Abies magnifica,A.Murray bis,,United States,Yes,"CA, NV, NY, OR",Least Concern,2013,G5,1997,Not listed,Not listed,31
Pinaceae,Abies,Abies procera,Rehd.,,United States,Yes,"CA, OR, WA",Least Concern,2013,G5,1997,Not listed,Not listed,88
Fabaceae,Acacia,Acacia rigidula,Benth.,,"Mexico, United States",No,TX,Least Concern,2019,G5,1989,Not listed,Not listed,12
Sapindaceae,Acer,Acer circinatum,Pursh,,"Canada, United States",No,"AK, CA, OR, WA",Least Concern,2017,G5,2016,Not listed,Not listed,122
Sapindaceae,Acer,Acer floridanum,(Chapm.) Pax,,United States,Yes,"AL, AR, FL, GA, IL, KY, LA, MO, MS, NC, OK, SC, TN, TX, VA",Least Concern,2017,G4,1988,Not listed,Not listed,3
Sapindaceae,Acer,Acer glabrum,Torr.,,"Canada, United States",No,"AK, AZ, CA, CO, ID, MT, NE, NM, NV, OR, SD, UT, WA, WY",Least Concern,2018,G5,2016,Not listed,Not listed,52
Sapindaceae,Acer,Acer grandidentatum,Nutt.,,"Mexico, United States",No,"AZ, CO, ID, NM, NV, OK, TX, UT, WA, WY",Least Concern,2017,G4,2004,Not listed,Not listed,31
Sapindaceae,Acer,Acer leucoderme,Small,,United States,Yes,"AL, AR, DC, FL, GA, LA, MS, NC, OK, SC, TN, TX",Least Concern,2017,G5,2003,Not listed,Not listed,23
Sapindaceae,Acer,Acer macrophyllum,Pursh,,"Canada, United States",No,"CA, OR, WA",Least Concern,2017,G5,2016,Not listed,Not listed,112
Sapindaceae,Acer,Acer negundo,L.,,"Guatemala, Honduras, Mexico, United States, Canada",No,"AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY",Least Concern,2017,G5,2016,Not listed,Not listed,232
Sapindaceae,Acer,Acer nigrum,F.Michx.,,"Canada, United States",No,"AL, AR, CT, DE, GA, IA, IL, IN, KS, KY, MA, MD, MI, MN, MO, NC, NH, NJ, NY, OH, PA, SD, TN, VA, VT, WI, WV",Least Concern,2017,G5,2016,Not listed,Not listed,38
Sapindaceae,Acer,Acer pensylvanicum,L.,,"Canada, United States",No,"CT, DC, GA, KY, MA, MD, ME, MI, NC, NH, NJ, NY, OH, PA, RI, SC, TN, VA, VT, WI, WV",Least Concern,2017,G5,2016,Not listed,Not listed,152
Sapindaceae,Acer,Acer rubrum,L.,,"Canada, United States",No,"AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV",Least Concern,2017,G5,2016,Not listed,Not listed,251
Sapindaceae,Acer,Acer saccharinum,L.,,"Canada, United States",No,"AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, VA, VT, WI, WV",Least Concern,2017,G5,2016,Not listed,Not listed,185
Sapindaceae,Acer,Acer saccharum,Marshall,,"Canada, United States",No,"AL, AR, CT, DC, DE, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, VA, VT, WI, WV",Least Concern,2017,G5,2016,Not listed,Not listed,227
Sapindaceae,Acer,Acer spicatum,Lam.,,"Canada, United States",No,"CT, GA, IA, KY, MA, MD, ME, MI, MN, NC, NH, NJ, NY, OH, PA, RI, TN, VA, VT, WI, WV",Least Concern,2018,G5,2016,Not listed,Not listed,95
Arecaceae,Acoelorraphe,Acoelorraphe wrightii,(Griseb. & H.Wendl.) H.Wendl. ex Becc.,,"Colombia, United States, Nicaragua, Mexico, Honduras, Guatemala, Costa Rica, Belize, Bahamas, Cuba",No,FL,Least Concern (ESTIMATED),ESTIMATED ASSESSMENT,G4,1998,Not listed,Not listed,14
Rosaceae,Adenostoma,Adenostoma sparsifolium,Torr.,,"Mexico, United States",No,CA,Least Concern,2020,G4,1988,Not listed,Not listed,13
Schisandraceae,Aesculus,Aesculus californica,(Spach) Nutt.,,United States,Yes,CA,Least Concern,2020,G5,1988,Not listed,Not listed,84
Schisandraceae,Aesculus,Aesculus flava,Sol.,,United States,Yes,"AL, GA, IL, IN, KY, MD, MS, NC, NJ, OH, PA, SC, TN, VA, WV",Least Concern,2018,G5,1996,Not listed,Not listed,146
Schisandraceae,Aesculus,Aesculus glabra,Willd.,,"United States, Canada",No,"AL, AR, GA, IA, IL, IN, KS, KY, ME, MI, MN, MO, MS, NE, NH, NJ, NY, OH, OK, PA, TN, TX, WI, WV, WY",Least Concern,2018,G5,1984,Not listed,Not listed,141
Schisandraceae,Aesculus,Aesculus parviflora,Walter,,United States,Yes,"AL, DC, GA, NJ, PA, SC",Least Concern,2020,G3,2004,Not listed,Not listed,207
Schisandraceae,Aesculus,Aesculus pavia,L.,,United States,Yes,"AL, AR, FL, GA, IL, KY, LA, MO, MS, NC, OK, SC, TN, TX, WV",Least Concern,2020,G5,1985,Not listed,Not listed,146
Schisandraceae,Aesculus,Aesculus sylvatica,W.Bartram,,United States,Yes,"AL, FL, GA, KY, NC, SC, TN, VA",Least Concern,2020,G5,1988,Not listed,Not listed,49
Betulaceae,Alnus,Alnus alnobetula,(Ehrh.) K.Koch,,"Switzerland, Monaco, Mongolia, Montenegro, Poland, Romania, Russian Federation, San Marino, Serbia, Slovenia, Ukraine, United States, Croatia, Moldova, Slovakia, China, Macedonia, the former Yugoslav Republic of, Belarus, Bosnia and Herzegovina, Canada, France, Czech Republic, Japan, Germany, Greenland, Hungary, Italy, Austria, Bulgaria, Liechtenstein",No,"AK, CA, ID, MA, ME, MI, MN, MT, NC, NH, NY, OR, PA, TN, VT, WA, WI, WY",Least Concern,2016,G5,2015,Not listed,Not listed,21
Betulaceae,Alnus,Alnus incana,(L.) Moench,,"Poland, Norway, Netherlands, Montenegro, Macedonia, the former Yugoslav Republic of, Romania, Ukraine, Moldova, Russian Federation, Saint Pierre and Miquelon, Serbia, Slovakia, Slovenia, Sweden, Turkey, Latvia, United States, Switzerland, Austria, Lithuania, Armenia, Liechtenstein, Azerbaijan, Belarus, Bosnia and Herzegovina, Bulgaria, Canada, Czech Republic, Estonia, Finland, France, Georgia, Germany, Hungary, Italy, Albania, Croatia",No,"AK, AZ, CA, CO, CT, IA, ID, IL, IN, MA, MD, ME, MI, MN, MT, ND, NH, NJ, NM, NV, NY, OH, OR, PA, RI, UT, VA, VT, WA, WI, WV, WY",Least Concern,2014,G5,2015,Not listed,Not listed,109
Betulaceae,Alnus,Alnus maritima,(Marshall) Muhl. ex Nutt.,,United States,Yes,"DE, GA, MD(.1), OK",Endangered,2016,G3,1997,Not listed,Not listed,31
Betulaceae,Alnus,Alnus oblongifolia,Torr.,,"Mexico, United States",No,"AZ, NM",Least Concern,2014,G3,1991,Not listed,Not listed,11
Betulaceae,Alnus,Alnus rhombifolia,Nutt.,,"United States, Mexico",No,"CA, ID, NV, OR, WA",Least Concern,2014,G5,1988,Not listed,Not listed,40
Betulaceae,Alnus,Alnus rubra,Bong.,,"Canada, United States",No,"AK, CA, ID, MT, OR, WA",Least Concern,2014,G5,2015,Not listed,Not listed,79
Betulaceae,Alnus,Alnus serrulata,(Aiton) Willd.,,"United States, Canada",No,"AL, AR, CT, DC, DE, FL, GA, IL, IN, KS, KY, LA, MA, MD, ME, MO, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WV",Least Concern,2014,G5,2015,Not listed,Not listed,74
Simaroubaceae,Alvaradoa,Alvaradoa amorphoides,Liebm.,,"United States, Nicaragua, Guatemala, Mexico, Honduras, Cuba, Costa Rica, Cayman Islands, Bahamas, Belize, El Salvador",No,FL,Least Concern,2019,G5,1996,Not listed,Not listed,11
Rosaceae,Amelanchier,Amelanchier alnifolia,(Nutt.) Nutt.,,United States,Yes,"AK, CA, CO, IA, ID, MN, MT, ND, NE, NV, OR, SD, UT, WA, WY",Least Concern,2018,G5,2015,Not listed,Not listed,119
Rosaceae,Amelanchier,Amelanchier arborea,(F.Michx.) Fernald,,"Canada, United States",No,"AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NE, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV",Least Concern,2020,G5,2015,Not listed,Not listed,92
Rosaceae,Amelanchier,Amelanchier bartramiana,(Tausch) M.Roem.,,"Saint Pierre and Miquelon, United States, Canada",No,"MA, ME, MI, MN, NH, NY, PA, VT, WI, WV",Least Concern,2018,G5,2015,Not listed,Not listed,29
Rosaceae,Amelanchier,Amelanchier canadensis,(L.) Medik.,,"Canada, United States",No,"CT, DC, DE, FL, GA, IA, LA, MA, MD, ME, NC, NH, NJ, NY, PA, RI, SC, TN, VA, VT, WV",Least Concern,2018,G5,2016,Not listed,Not listed,181
Rosaceae,Amelanchier,Amelanchier cusickii,Fernald,,"Canada, United States",No,"ID, MT, NV, OR, UT, WA, WY",Least Concern,2020,G5,2017,Not listed,Not listed,16
Rosaceae,Amelanchier,Amelanchier interior,E.L.Nielsen,,"Canada, United States",No,"IA, IL, ME, MI, MN, NY, OH, SD, VT, WI",Least Concern,2018,G5,2015,Not listed,Not listed,17
Rosaceae,Amelanchier,Amelanchier laevis,Wiegand,,"Saint Pierre and Miquelon, United States, Canada",No,"AL, CT, DC, GA, IA, IL, IN, KY, MA, MD, ME, MI, MN, NC, NH, NJ, NY, OH, PA, RI, SC, TN, VA, VT, WI, WV",Least Concern,2018,G5,2015,Not listed,Not listed,140
Rosaceae,Amelanchier,Amelanchier pallida,Greene,,United States,Yes,"CA, ID, NV, OR, WA",Least Concern,2020,G5,1988,Not listed,Not listed,3
Rosaceae,Amelanchier,Amelanchier sanguinea,(Pursh) DC.,,"Canada, United States",No,"AL, GA, IA, IL, KY, MA, MD, ME, MI, MN, NC, ND, NH, NJ, NY, OH, PA, TN, VA, VT, WI, WV",Least Concern,2020,G5,2016,Not listed,Not listed,47
Rosaceae,Amelanchier,Amelanchier utahensis,Koehne,,United States,Yes,"AZ, CA, CO, ID, MT, NM, NV, OR, TX, UT, WA, WY",Least Concern,2020,G5,1994,Not listed,Not listed,29
Bignoniaceae,Amphitecna,Amphitecna latifolia,(Mill.) A.H.Gentry,,"Jamaica, Martinique, Nicaragua, Panama, Puerto Rico, Saint Vincent and the Grenadines, United States, Virgin Islands, U.S., Honduras, Venezuela, Bolivarian Republic of, Cuba, Mexico, Haiti, Costa Rica, Dominica, Dominican Republic, Ecuador, Guadeloupe, Guatemala, Belize, Colombia",No,FL,Least Concern (ESTIMATED),ESTIMATED ASSESSMENT,G5,1993,Not listed,Not listed,14
Rutaceae,Amyris,Amyris balsamifera,L.,,"Haiti, Venezuela, Bolivarian Republic of, United States, Puerto Rico, Nicaragua, Mexico, Honduras, El Salvador, Ecuador, Dominican Republic, Cuba, Costa Rica, Colombia, Belize, Guatemala, Jamaica",No,FL(SX),Least Concern,2020,G4,1995,Not listed,Not listed,1
Rutaceae,Amyris,Amyris elemifera,L.,,"Venezuela, Bolivarian Republic of, Puerto Rico, Saint Bathélemy, Saint Kitts and Nevis, Virgin Islands, U.S., Saint Lucia, Dominica, Saint Vincent and the Grenadines, Trinidad and Tobago, United States, Virgin Islands, British, Montserrat, Turks and Caicos Islands, Belize, Mexico, Grenada, Bahamas, Anguilla, Cayman Islands, Cuba, Dominican Republic, Guadeloupe, Haiti, Honduras, Jamaica, Antigua and Barbuda",No,FL,Least Concern,2020,G5,1994,Not listed,Not listed,7
Rutaceae,Amyris,Amyris madrensis,S.Watson,,"Mexico, United States",No,TX,Least Concern,2021,G4,1994,Not listed,Not listed,2
Rutaceae,Amyris,Amyris texana,(Buckley) P.Wilson,,"Mexico, United States",No,TX,Least Concern,2021,G4,1989,Not listed,Not listed,4
Annonaceae,Annona,Annona glabra,L.,,"Liberia, Nigeria, Nicaragua, Mexico, Martinique, Jamaica, Honduras, Panama, Guyana, Suriname, Haiti, Puerto Rico, Saint Lucia, Saint Vincent and the Grenadines, Sao Tomé and Principe, Guinea-Bissau, Sierra Leone, French Guiana, Trinidad and Tobago, United States, Venezuela, Bolivarian Republic of, Virgin Islands, British, Virgin Islands, U.S., Senegal, Costa Rica, Antigua and Barbuda, Bahamas, Barbados, Belize, Brazil, Cameroon, Cayman Islands, Colombia, Gambia, Congo, The Democratic Republic of the, Guinea, Côte d'Ivoire, Cuba, Curaçao, Dominica, Dominican Republic, Ecuador, El Salvador, Gabon, Grenada, Guadeloupe, Guatemala, Congo",No,FL,Least Concern,2020,G5,1991,Not listed,Not listed,47
Araliaceae,Aralia,Aralia humilis,Cav.,,"Guatemala, United States, Nicaragua, Mexico, El Salvador, Honduras",No,"AZ, NM",Least Concern,2020,G3,2001,Not listed,Not listed,3
Araliaceae,Aralia,Aralia spinosa,L.,,United States,Yes,"AL, AR, CT, DC, DE, FL, GA, IL, IN, KY, LA, MA, MD, ME, MO, MS, NC, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, WV",Least Concern,2020,G5,1984,Not listed,Not listed,119
Ericaceae,Arbutus,Arbutus arizonica,(A.Gray) Sarg.,,"Mexico, United States",No,"AZ, NM",Least Concern,2019,G4,1996,Not listed,Not listed,4
Ericaceae,Arbutus,Arbutus menziesii,Pursh,,"Canada, United States",No,"CA, OR, WA",Least Concern,2018,G5,2019,Not listed,Not listed,50
Ericaceae,Arbutus,Arbutus xalapensis,Kunth,,"Guatemala, Mexico, United States",No,"NM, TX",Least Concern,2021,G5,1996,Not listed,Not listed,23
Ericaceae,Arctostaphylos,Arctostaphylos andersonii,A.Gray,,United States,Yes,CA,Endangered,2022,G2,2018,Not listed,Not listed,9
Ericaceae,Arctostaphylos,Arctostaphylos catalinae,P.V. Wells,,United States,Yes,CA,Endangered (ESTIMATED),ESTIMATED ASSESSMENT,G2,2018,Not listed,Not listed,9
Ericaceae,Arctostaphylos,Arctostaphylos columbiana,Piper,,"Canada, United States",No,"CA, OR, WA",Least Concern,2019,G5,2019,Not listed,Not listed,15
Ericaceae,Arctostaphylos,Arctostaphylos glauca,Lindl.,,"Mexico, United States",No,CA,Least Concern,2019,G5,1988,Not listed,Not listed,17
Ericaceae,Arctostaphylos,Arctostaphylos hooveri,P.V.Wells,,United States,Yes,CA,Vulnerable (ESTIMATED),ESTIMATED ASSESSMENT,G3,2014,Not listed,Not listed,5
Ericaceae,Arctostaphylos,Arctostaphylos nortensis,(P.V.Wells) P.V.Wells,,United States,Yes,CA,Least Concern,2020,G2,2014,Not listed,Not listed,3
Ericaceae,Arctostaphylos,Arctostaphylos obispoensis,Eastw.,,United States,Yes,CA,Least Concern,2020,G4,2014,Not listed,Not listed,8
Ericaceae,Arctostaphylos,Arctostaphylos pringlei,Parry,,"United States, Mexico",No,"AZ, CA, NV, UT",Least Concern,2019,G4,1995,Not listed,Not listed,5
Ericaceae,Arctostaphylos,Arctostaphylos pungens,Kunth,,"Mexico, United States",No,"AZ, CA, NM, NV, TX, UT",Least Concern,2019,G5,1996,Not listed,Not listed,17
Ericaceae,Arctostaphylos,Arctostaphylos viscida,Parry,,United States,Yes,"CA, OR",Least Concern (ESTIMATED),ESTIMATED ASSESSMENT,G5,1988,Not listed,Not listed,10
Primulaceae,Ardisia+,Ardisia escallonioides,Schltdl. & Cham.,,"Belize, United States, Mexico, Honduras, Guatemala, Cuba, Barbados, Bahamas, Antigua and Barbuda, Dominican Republic",No,FL,Least Concern,2020,G4,1991,Not listed,Not listed,Not on PlantSearch
Asteraceae,Artemisia,Artemisia tridentata,Nutt.,,"Canada, Mexico, United States",No,"AZ, CA, CO, ID, MA, MT, ND, NE, NM, NV, OR, SD, UT, WA, WY",Least Concern,2020,G5,2016,Not listed,Not listed,28
Annonaceae,Asimina,Asimina obovata,(Willd.) Nash,,United States,Yes,FL,Least Concern,2021,G3,2009,Not listed,Not listed,3
Annonaceae,Asimina,Asimina parviflora,(Michx.) Dunal,,United States,Yes,"AL, AR, FL, GA, LA, MS, NC, NJ, SC, TX, VA, WV",Least Concern,2019,G5,1985,Not listed,Not listed,16
Annonaceae,Asimina,Asimina tetramera,Small,,United States,Yes,FL,Endangered,2022,G1,2020,Endangered,1986,8
Annonaceae,Asimina,Asimina triloba,(L.) Dunal,,"Canada, United States",No,"AL, AR, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MD, MI, MO, MS, NC, NE, NJ, NY, OH, OK, PA, SC, TN, TX, VA, WI, WV",Least Concern,2018,G5,2015,Not listed,Not listed,195
Capparaceae,Atamisquea,Atamisquea emarginata,Miers ex Hook. & Arn.,,"Argentina, Bolivia, Plurinational State of, Chile, Mexico, United States",No,AZ,Least Concern,2019,G4,1999,Not listed,Not listed,Not on PlantSearch
Verbenaceae,Avicennia,Avicennia germinans,(L.) L.,,"Jamaica, Peru, Panama, Nigeria, Nicaragua, Montserrat, Mexico, Mauritania, Saint Kitts and Nevis, Equatorial Guinea, Sierra Leone, Honduras, Haiti, Guyana, Liberia, Saint Lucia, Saint Martin, Saint Vincent and the Grenadines, Senegal, Sint Maarten, Suriname, Togo, Trinidad and Tobago, Turks and Caicos Islands, United States, United States Minor Outlying Islands, Venezuela, Bolivarian Republic of, Virgin Islands, British, Guinea-Bissau, Sao Tomé and Principe, Congo, Gabon, Guinea, Angola, Antigua and Barbuda, Bahamas, Barbados, Belize, Benin, Bermuda, Bonaire, Sint Eustatius and Saba, Brazil, Cameroon, Colombia, Congo, The Democratic Republic of the, El Salvador, Guatemala, Guadeloupe, Grenada, Ghana, Gambia, Cayman Islands, French Guiana, Costa Rica, Ecuador, Dominican Republic, Dominica, Curaçao, Cuba, Côte d'Ivoire",No,"FL, LA, MS, TX",Not Evaluated,ESTIMATED ASSESSMENT,G5,1985,Not listed,Not listed,23
Asteraceae,Baccharis,Baccharis dioica,Vahl,,"Jamaica, United States, Bahamas, Puerto Rico, Montserrat, Virgin Islands, U.S., Dominican Republic, Cayman Islands, Antigua and Barbuda, Haiti, Cuba",No,FL(SX),Least Concern,2020,G4,1989,Not listed,Not listed,5
Asteraceae,Baccharis,Baccharis halimifolia,L.,,"Bahamas, Cuba, Mexico, United States",No,"AL, AR, CT, DC, DE, FL, GA, KY, LA, MA, MD, MS, NC, NJ, NY, OK, PA, RI, SC, TX, VA",Least Concern,2019,G5,1984,Not listed,Not listed,74
Fabaceae,Bauhinia,Bauhinia lunarioides,A.Gray ex S.Watson,,"Mexico, United States",No,"LA, TX",Data Deficient (ESTIMATED),ESTIMATED ASSESSMENT,G3,1999,Not listed,Not listed,11
Betulaceae,Betula,Betula alleghaniensis,Britton,,"United States, Canada, Saint Pierre and Miquelon",No,"CT, GA, IA, IL, IN, KY, MA, MD, ME, MI, MN, NC, NH, NJ, NY, OH, PA, RI, SC, TN, VA, VT, WI, WV",Least Concern,2014,G5,2015,Not listed,Not listed,163
Betulaceae,Betula,Betula cordifolia,Regel,,"United States, Canada, Saint Pierre and Miquelon",No,"CT, IA, IN, MA, ME, MI, MN, NC, ND, NH, NJ, NY, PA, TN, VA, VT, WI, WV",Least Concern,2014,G5,2015,Not listed,Not listed,18
Betulaceae,Betula,Betula lenta,L.,,"Canada, United States",No,"AL, CT, DE, GA, KY, MA, MD, ME, NC, NH, NJ, NY, OH, PA, RI, SC, TN, VA, VT, WV",Least Concern,2014,G5,2015,Not listed,Not listed,170
Betulaceae,Betula,Betula murrayana,B.V.Barnes & Dancik,,"Canada, United States",No,MI,Critically Endangered,2014,G1,2005,Not listed,Not listed,6
Betulaceae,Betula,Betula nigra,L.,,United States,Yes,"AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, NC, NH, NJ, NY, OH, OK, PA, SC, TN, TX, VA, VT, WI, WV",Least Concern,2014,G5,1984,Not listed,Not listed,195
Betulaceae,Betula,Betula occidentalis,Hook.,,"Canada, United States",No,"AK, AZ, CA, CO, ID, MT, ND, NE, NM, NV, OR, SD, UT, WA, WY",Least Concern,2014,G5,2015,Not listed,Not listed,80
Betulaceae,Betula,Betula papyrifera,Marshall,,"United States, Canada, Saint Pierre and Miquelon",No,"AK, CO, CT, IA, ID, IL, IN, MA, ME, MI, MN, MT, ND, NE, NH, NJ, NY, OR, PA, RI, SD, VA, VT, WA, WI, WY",Least Concern,2014,G5,2015,Not listed,Not listed,185
Betulaceae,Betula,Betula populifolia,Marshall,,"United States, Canada",No,"CT, DE, IL, IN, MA, MD, ME, MI, NC, NH, NJ, NY, OH, PA, RI, VA, VT, WV",Least Concern,2014,G5,2015,Not listed,Not listed,118
Betulaceae,Betula,Betula uber,(Ashe),,United States,Yes,VA,Not Evaluated,,G1,2021,Threatened,1978,35
Scrophulariaceae,Bontia,Bontia daphnoides,L.,,"Trinidad and Tobago, Virgin Islands, U.S., Virgin Islands, British, Venezuela, Bolivarian Republic of, Turks and Caicos Islands, Saint Vincent and the Grenadines, Saint Lucia, Saint Bathélemy, Puerto Rico, Montserrat, Martinique, Jamaica, Honduras, Cayman Islands, Aruba, Bahamas, Barbados, United States, Haiti, Antigua and Barbuda, Colombia, Cuba, Dominica, Dominican Republic, Guadeloupe, Guyana, Brazil",No,FL,Data Deficient (ESTIMATED),ESTIMATED ASSESSMENT,G5,2020,Not listed,Not listed,16
Boraginaceae,Bourreria,Bourreria cassinifolia,(A.Rich.) Griseb.,,"Cuba, United States",No,FL,Data Deficient,2021,G3,2001,Not listed,Not listed,8
Boraginaceae,Bourreria,Bourreria radula,(Poir.) G.Don,,"Puerto Rico, United States",No,FL,Endangered (ESTIMATED),ESTIMATED ASSESSMENT,G2,2003,Not listed,Not listed,2
Boraginaceae,Bourreria,Bourreria succulenta,Jacq.,,"Trinidad and Tobago, Mexico, Montserrat, Puerto Rico, Saint Bathélemy, Saint Kitts and Nevis, Saint Lucia, Virgin Islands, U.S., Saint Vincent and the Grenadines, Turks and Caicos Islands, United States, Antigua and Barbuda, Venezuela, Bolivarian Republic of, Virgin Islands, British, Martinique, Saint Martin, Bonaire, Sint Eustatius and Saba, Anguilla, Bahamas, Barbados, Jamaica, Cayman Islands, Cuba, Curaçao, Dominica, Dominican Republic, Grenada, Guadeloupe, Haiti, Honduras, Aruba",No,FL,Least Concern,2019,G4,1994,Not listed,Not listed,9
Combretaceae,Bucida,Bucida molinetii,(M.Gómez) Alwan & Stace,,"Cuba, Dominican Republic, Haiti, United States",No,FL,Least Concern,2020,G3,2020,Not listed,Not listed,2
Scrophulariaceae,Buddleja,Buddleja sessiliflora,Kunth,,"Mexico, United States",No,"AZ, TX",Least Concern,2021,G5,1994,Not listed,Not listed,4
Burseraceae,Bursera,Bursera fagaroides,(Kunth) Engl.,,"Mexico, United States",No,AZ,Least Concern,2020,G5,1999,Not listed,Not listed,71
Burseraceae,Bursera,Bursera microphylla,A.Gray,,"United States, Mexico",No,"AZ, CA",Least Concern,2019,G4,2005,Not listed,Not listed,46
Burseraceae,Bursera,Bursera simaruba,(L.) Sarg.,,"Saint Bathélemy, Haiti, Honduras, Jamaica, Martinique, Mexico, Montserrat, Nicaragua, Panama, Guyana, Puerto Rico, Saint Lucia, Saint Kitts and Nevis, Saint Martin, Trinidad and Tobago, Turks and Caicos Islands, United States, Venezuela, Bolivarian Republic of, Peru, Belize, Saint Vincent and the Grenadines, Guatemala, Anguilla, Antigua and Barbuda, Aruba, Barbados, Bonaire, Sint Eustatius and Saba, Cayman Islands, Colombia, French Guiana, Cuba, Curaçao, Guadeloupe, Dominica, Dominican Republic, El Salvador, Costa Rica, Grenada, Bahamas",No,FL,Least Concern,2019,G4,1988,Not listed,Not listed,54
Malpighiaceae,Byrsonima,Byrsonima lucida,(Mill.) DC.,,"Puerto Rico, Saint Martin, Turks and Caicos Islands, United States, Virgin Islands, U.S., Haiti, Cuba, Virgin Islands, British, Dominica, Barbados, Bahamas, Antigua and Barbuda, Anguilla, Dominican Republic, Guadeloupe",No,FL,Least Concern (ESTIMATED),ESTIMATED ASSESSMENT,G4,2002,Not listed,Not listed,10
Malpighiaceae,Callaeum,Callaeum macropterum,(Moc. & Sessé ex DC.) D.M.Johnson,,"Mexico, United States",No,AZ,Least Concern,2022,G4,2001,Not listed,Not listed,8
Cupressaceae,Callitropsis,Callitropsis nootkatensis,(D.Don) Oerst. ex D.P.Little,,"United States, Canada",No,"AK, CA, OR, WA",Least Concern (ESTIMATED),ESTIMATED ASSESSMENT,G4,2019,Not listed,Not listed,12
Cupressaceae,Calocedrus,Calocedrus decurrens,(Torr.) Florin,,"Mexico, United States",No,"CA, NV, OR, UT",Least Concern,2013,G5,1997,Not listed,Not listed,192
Canellaceae,Canella,Canella winterana,(L.) Gaertn.,,"Jamaica, Montserrat, Virgin Islands, U.S., Virgin Islands, British, Venezuela, Bolivarian Republic of, United States, Saint Vincent and the Grenadines, Saint Martin, Puerto Rico, Martinique, Bahamas, Haiti, Saint Lucia, Antigua and Barbuda, Barbados, Cayman Islands, Cuba, Dominica, Dominican Republic, Guadeloupe, Anguilla",No,FL,Least Concern,2020,G5,2002,Not listed,Not listed,24
Celastraceae,Canotia,Canotia holacantha,Torr.,,"Mexico, United States",No,AZ,Least Concern,2019,G5,1993,Not listed,Not listed,7
Cactaceae,Carnegiea,Carnegiea gigantea,(Engelm.) Britton & Rose,,"Mexico, United States",No,"AZ, CA",Least Concern,2017,G5,2013,Not listed,Not listed,104
Betulaceae,Carpinus,Carpinus caroliniana,Walter,,"Canada, United States",No,"AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV",Least Concern,2014,G5,2015,Not listed,Not listed,187
